Shazam Top 200 Algeria Chart
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"Abdoulhay","Galbi Mix Dofin Chirine"
2,"Cheb Nassim","Tayha Love (feat. Tchikou 22)"
3,"Haifa Wehbe","Woseltelha"
4,"Azzedine","lamhayane"
5,"Duke","Mimti"
6,"LXNGVX","Montagem Mysterious Game"
7,"Oualid, Norel & Yam","Di Mochkila"
8,"Yamê","Bécane - A Colors Show"
9,"Faycel cholé","تمشي و طلقي شعر راكي مع ولد البحر (feat. Hamouda Maradon)"
10,"Cheb Hichem TGV","Allo Oui"
11,"Kader Tirigou & Kader Zakzouk","Ki telfetlah bgha ykatefna"
12,"DYSTINCT","La"
13,"Morad & GIMS","Seya"
14,"Cheb Amine Tigre","Talbouna 3la Sajha (feat. Dib El3ajib)"
15,"Mouado Production","Cheb Mirou (عندي خوتي هوما كلشي)"
16,"The Weeknd & Madonna","Popular (feat. Playboi Carti) [Music from the HBO Original Series The Idol]"
17,"Eden Shalev","Papi (Bhabi)"
18,"ADAM","Zhurek"
19,"Xhoni Beats","Pse? (feat. Naldi & Aleks)"
20,"Jul","C'est la cité (feat. Naps)"
21,"Cheba Warda","Chakam Ya Taalam (feat. Dj Badro)"
22,"310babii","Soak City (Do it)"
23,"Merveille","Citadelle"
24,"Tam Sir","Coup du marteau (feat. Team Paiya, Ste Milano, Renard Barakissa, Tazeboy & PSK)"
25,"Edward Maya & Vika Jigulina","Stereo Love"
26,"Djalil Almani & Tchikou 22","Sraft Mlayin Rechka Ma Hkemthach"
27,"Chris Brown","Angel Numbers / Ten Toes"
28,"Sherine","Sabry 'Aalil"
29,"Jul","Battistu"
30,"DAK","Nouveau Riche"
31,"Mc Pissco","Ma3toub (feat. Phobia Isaac)"
32,"Cheb Mustapha","شاداك تبع زين قاتله خلصني بعشرين"
33,"Salim Louza","Yakarhoni Gololi Limada"
34,"cheb nadir 22","Nti meryoula w ana ktar"
35,"Katya Lel","Мой мармеладный (Я не права)"
36,"Kader Japonais","وحدي نداوي جروحي"
37,"Morad","Pelele"
38,"Cheb Mouiz","Malki Malki (feat. Yousri Oscar)"
39,"Sofiane Asla","La Relation Raha Ghi Dégradé"
40,"AriBeatz, Nimo & Lacrim","J-Lo"
41,"Modern Talking","Cheri Cheri Lady"
42,"AYOUB IDRI","Scketchosi9a 1 (feat. Soufiane Az)"
43,"Sunstroke Project","Run Away (feat. Olia Tira)"
44,"Lady Gaga","Bloody Mary"
45,"Mohamed Marsaoui & Tchikou 22","Kbert Fel Dik w Na3ref Cha Kayen"
46,"EMIN & JONY","Камин"
47,"Abdou Gambetta","الڤلب بيض و الزهر عيان"
48,"Nelly","Just a Dream (feat. Shireen Abdul Wahab) [Coke Studio Fusion Mix]"
49,"Eternxlkz","BRODYAGA FUNK (SLOWED + REVERB)"
50,"Bilel Tacchini","BiChoufou L’amour Madar Fiya"
51,"Watsebha","Someone Said"
52,"Loreen","Tattoo"
53,"DON XHONI & Dhurata Dora","Lej"
54,"Redouane Sghir","Denya Marahach Kima Mdari (feat. Manini Sahar) [Sayti Ghadi Ngarui]"
55,"Cheb Mustapha","Nedabzo Maalich Nsawtek Maalich (with Amirou 19)"
56,"JID","Surround Sound (feat. 21 Savage & Baby Tate)"
57,"Ace of Base","Happy Nation"
58,"Tate McRae","greedy"
59,"Kaaris","Panama (feat. Hamza)"
60,"Cheb Amine Tigre","Kharjet Khayna"
61,"SONIA","L'Algérie Ya Lomima (feat. Mohamed Sgheir)"
62,"Mourad Guerbas","Taseda-Inu"
63,"Cheba Warda","Gata3 Rassi w Navigi (feat. Dib El3ajib)"
64,"Cheba Chinou","bent kartier populair (feat. Oussama Torkish)"
65,"Mary J. Blige","Family Affair"
66,"Cheb Sisiyou","Mechi Chayfin Kbar W Halabin"
67,"Cheb Mustapha","Cheb Ghazel dayek dayek"
68,"Cheb Nassah","Tobssiy Hami w Omri Tani"
69,"Cheb Amine Tigre","نعطيها فالزورق معليش لابغا نغرق"
70,"He Is We","I Wouldn't Mind"
71,"Cheb Walid","قلبي دارلي لينار (feat. DJ ILyas)"
72,"Edition Platinum Production","Mohamed Benchenet 3andek rajlek baghya tbasini"
73,"Iñigo Quintero","Si No Estás"
74,"The Neighbourhood","Softcore"
75,"Djalil Palermo & Cheb Momo","Nsel Fik"
76,"Doja Cat","Agora Hills"
77,"DJ Snake","Let Me Love You (feat. Justin Bieber)"
78,"Çağan Şengül","Çok Yazık"
79,"Trap King","Dictator 3"
80,"Cheb Mourad & Cheb Nadir","Raha lasseka"
81,"cheb Bilel Babilo","Nasmah Bassah Manansache (feat. Tchikou 22)"
82,"Wawi","Om Satori"
83,"Eternxlkz","BRODYAGA FUNK"
84,"Djalil Almani","Ya galbi khtihoum ga3"
85,"Raï Mix","Tgouli Rani Ragda"
86,"The Weeknd, JENNIE & Lily Rose Depp","One Of The Girls"
87,"Cheb Mirou","Tgv Kan Mhalwi"
88,"Giggs","Incredible Sauce (feat. Dave)"
89,"Sidou Japonais & DJ Abed","Rana (En direct)"
90,"ElGrandeToto","BLUE LOVE"
91,"Creepy Nuts","Bling-Bang-Bang-Born"
92,"cheb rami","Kol youm ghadab lotorot manini khayef nmout (feat. manini sahar)"
93,"Jack Harlow","Lovin On Me"
94,"Peso Pluma & Anitta","BELLAKEO"
95,"Ariana Grande","bloodline"
96,"Cheb Mourad","Chira cheba (feat. Dj No Disc) [Remix]"
97,"Nassro Tlemcani","عقلي فيها تسهري و متحلبينيش"
98,"Cheb Iyad","Manini Manini Ntiya Cheba Wana Chbab (feat. Manini sahar)"
99,"Sofiane","Arafricain (feat. Maître Gims)"
100,"mikeeysmind & SANIKWAVE","VVV"
101,"Werenoi","Chemin d'or"
102,"Cheb Mustapha","شاداك تبع زين لافير كملت مال (feat. Manini Sahar)"
103,"Cheb iyad","Walah Mani En Couple (feat. Dib El3ajib)"
104,"Indila","Love Story"
105,"Egzod, Maestro Chives & Neoni","Royalty"
106,"21 Savage","redrum"
107,"TIF","MATHUSALEM (LIVE SESSION)"
108,"HVBEEN","ماس و لولي"
109,"Boa","Duvet"
110,"Didine Canon 16","Zero Distance"
111,"Djam","El Baloun Ydour Elkhadraoui"
112,"Dadju & Tayc","I love you"
113,"Teya Dora","Džanum"
114,"Chemsou Freeklane","Nheb Bladi"
115,"AbdbtZ","Trap Madahat (طراب مداحات)"
116,"Didou Parisien","Rohou Hawlouha \ Rani Mtwahchha"
117,"Crystal Castles","Kerosene"
118,"Repiet & Julia Kleijn","Feels Like (La La La)"
119,"Tom Odell","Another Love"
120,"Mohamed Benchenet","Narhen Omri La Bgha Belmout"
121,"Roddy Ricch","The Box"
122,"Khaltoum Lwrassia","Cheba Abla . Soltan - تيتنيك"
123,"Abdou Gambetta","Histoire Jedida"
124,"Travis Scott","MY EYES"
125,"Cravata","Ghbrti 3liya nouveauté (Cover libianca people - 2023 - nouveauté)"
126,"Sherine","El Watar El Hassas"
127,"Cheb Mustapha","Nass Dayra Tawil"
128,"Cheb Walid","راني ضاب 7 خطوطة (with DJ Ilyas)"
129,"Adele","Set Fire to the Rain"
130,"D-Block Europe & Central Cee","Overseas"
