Shazam Top 50 Adelaide
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"Teddy Swims","Lose Control"
2,"Jack Harlow","Lovin On Me"
3,"Morgan Wallen","Thinkin’ Bout Me"
4,"Fred again.. & Baby Keem","leavemealone"
5,"Noah Kahan","Stick Season"
6,"Troye Sivan","Got Me Started"
7,"Tyla","Water"
8,"Kenya Grace","Strangers"
9,"Olivia Rodrigo","vampire"
10,"Spectrum","I’ll Be Gone (Single Edit)"
11,"cassö, RAYE & D-Block Europe","Prada"
12,"Doechii","What It Is (Block Boy) [feat. Kodak Black]"
13,"Paul Russell","Lil Boo Thang"
14,"Solardo & Little Fritter","Follow"
15,"Taylor Swift","Is It Over Now? (Taylor's Version) [From The Vault]"
16,"Eliza Rose & Calvin Harris","Body Moving (Extended)"
17,"Sunset Bros & Kormak","Toxic"
18,"Sophie Ellis-Bextor","Murder On The Dancefloor"
19,"Dua Lipa","Houdini"
20,"The Stranglers","Golden Brown"
21,"Stevie T","Lovin On Me (Stevie T Bootleg)"
22,"Chase & Status","Selecta (feat. Stefflon Don)"
23,"David Kushner","Daylight"
24,"The Magician & A-Trak","Love On You (feat. Griff Clawson)"
25,"Ariana Grande","yes, and?"
26,"Miley Cyrus","Used To Be Young"
27,"Marshmello, P!nk & Sting","Dreaming"
28,"Doja Cat","Paint The Town Red"
29,"Joy Anonymous","JOY (Up The Street)"
30,"Tate McRae","greedy"
31,"CYRIL","Stumblin' In"
32,"Jim James","State Of The Art (A.E.I.O.U.)"
33,"Sammy Virji","If U Need It"
34,"Billie Eilish","What Was I Made For? (From The Motion Picture "Barbie")"
35,"venbee","rampage (feat. DJ SS)"
36,"PARISI","Believe In Myself"
37,"The Aston Shuffle","oh my god"
38,"Jessica Mauboy","Give You Love (feat. Jason Derulo)"
39,"Mia Wray","Tell Her"
40,"Goodboys & FAST BOY","Deepend"
41,"it's murph & Evalyn","High and I Like it"
42,"Tomcraft","Loneliness (Radio Cut)"
43,"Calvin Harris & Sam Smith","Desire"
44,"Selena Gomez","Single Soon"
45,"Snakehips","Bringing Me Home (feat. LAUREL)"
46,"Sia","Gimme Love"
47,"Ed Sheeran","American Town"
48,"Hayden James & SAYGRACE","Beggin' You"
49,"Tiësto, Tears for Fears, NIIKO X SWAE & GUDFELLA","Rule The World (Everybody)"
50,"Navos","The Garden"
