Shazam Top 50 Brisbane
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"Teddy Swims","Lose Control"
2,"Jack Harlow","Lovin On Me"
3,"Spectrum","I’ll Be Gone (Single Edit)"
4,"Morgan Wallen","Thinkin’ Bout Me"
5,"Noah Kahan","Stick Season"
6,"Troye Sivan","Got Me Started"
7,"The Stranglers","Golden Brown"
8,"Tyla","Water"
9,"Kenya Grace","Strangers"
10,"Marshmello, P!nk & Sting","Dreaming"
11,"Doechii","What It Is (Block Boy) [feat. Kodak Black]"
12,"cassö, RAYE & D-Block Europe","Prada"
13,"Fred again.. & Baby Keem","leavemealone"
14,"Dom Dolla","Saving Up"
15,"Sia","Gimme Love"
16,"Taylor Swift","Is It Over Now? (Taylor's Version) [From The Vault]"
17,"Paul Russell","Lil Boo Thang"
18,"Lynyrd Skynyrd","Simple Man"
19,"Tate McRae","greedy"
20,"Jim James","State Of The Art (A.E.I.O.U.)"
21,"Selena Gomez","Single Soon"
22,"Olivia Rodrigo","vampire"
23,"Ariana Grande","yes, and?"
24,"CYRIL","Stumblin' In"
25,"The Angels","Am I Ever Gonna See Your Face Again"
26,"Vance Joy","Rock It"
27,"Doja Cat","Paint The Town Red"
28,"venbee","rampage (feat. DJ SS)"
29,"Machinations","Pressure Sway"
30,"Dua Lipa","Houdini"
31,"Ed Sheeran","American Town"
32,"Labi Siffre","It Must Be Love"
33,"Miley Cyrus","Used To Be Young"
34,"Natasha Bedingfield","Unwritten"
35,"Townes Van Zandt","If I Needed You"
36,"Lil Nas X","J CHRIST"
37,"Colter Wall","Sleeping on the Blacktop"
38,"Paul Kelly","Dumb Things"
39,"Men At Work","Be Good Johnny"
40,"Zach Bryan","Something in the Orange"
41,"bbno$","edamame (feat. Rich Brian)"
42,"Eliza Rose & Calvin Harris","Body Moving (Extended)"
43,"Soul Coughing","Super Bon Bon"
44,"The Weeknd & Madonna","Popular (feat. Playboi Carti) [Music from the HBO Original Series The Idol]"
45,"Tate McRae","exes"
46,"Sophie Ellis-Bextor","Murder On The Dancefloor"
47,"Billie Eilish","bury a friend"
48,"Richard Michael Walker & Philippa Hanna","Try"
49,"Ed Sheeran","Life Goes On (feat. Luke Combs)"
50,"Sammy Virji","If U Need It"
