Shazam Top 50 Melbourne
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"Teddy Swims","Lose Control"
2,"Noah Kahan","Stick Season"
3,"Jack Harlow","Lovin On Me"
4,"Troye Sivan","Got Me Started"
5,"Tyla","Water"
6,"Kenya Grace","Strangers"
7,"Morgan Wallen","Thinkin’ Bout Me"
8,"Doechii","What It Is (Block Boy) [feat. Kodak Black]"
9,"Spectrum","I’ll Be Gone (Single Edit)"
10,"cassö, RAYE & D-Block Europe","Prada"
11,"Dom Dolla","Saving Up"
12,"Marshmello, P!nk & Sting","Dreaming"
13,"Tate McRae","greedy"
14,"Sia","Gimme Love"
15,"Taylor Swift","Is It Over Now? (Taylor's Version) [From The Vault]"
16,"Jim James","State Of The Art (A.E.I.O.U.)"
17,"Ariana Grande","yes, and?"
18,"The Stranglers","Golden Brown"
19,"Vance Joy","Rock It"
20,"Paul Russell","Lil Boo Thang"
21,"CYRIL","Stumblin' In"
22,"Voices of Fire","JOY (Unspeakable) [feat. Pharrell Williams]"
23,"Doja Cat","Paint The Town Red"
24,"Tomcraft","Loneliness (Radio Cut)"
25,"Dua Lipa","Houdini"
26,"Olivia Rodrigo","vampire"
27,"The Weeknd & Madonna","Popular (feat. Playboi Carti) [Music from the HBO Original Series The Idol]"
28,"Fred again.. & Baby Keem","leavemealone"
29,"Ed Sheeran","American Town"
30,"Selena Gomez","Single Soon"
31,"Lynyrd Skynyrd","Simple Man"
32,"Calvin Harris & Sam Smith","Desire"
33,"Eliza Rose & Calvin Harris","Body Moving (Extended)"
34,"Billie Eilish","bury a friend"
35,"Sammy Virji","If U Need It"
36,"Tate McRae","exes"
37,"Machinations","Pressure Sway"
38,"Sophie Ellis-Bextor","Murder On The Dancefloor"
39,"Zach Bryan","I Remember Everything (feat. Kacey Musgraves)"
40,"Troye Sivan","Rush"
41,"Natasha Bedingfield","Unwritten"
42,"Sonny Fodera & MK","Asking (feat. Clementine Douglas)"
43,"Peggy Gou","(It Goes Like) Nanana (Edit)"
44,"Hayden James & SAYGRACE","Beggin' You"
45,"Ricki-Lee","Ghost"
46,"Miley Cyrus","Used To Be Young"
47,"Rema","Calm Down"
48,"Post Malone","Chemical"
49,"Labi Siffre","It Must Be Love"
50,"Colter Wall","Sleeping on the Blacktop"
