Shazam Top 50 Perth
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"Teddy Swims","Lose Control"
2,"Morgan Wallen","Thinkin’ Bout Me"
3,"Jack Harlow","Lovin On Me"
4,"Tyla","Water"
5,"Noah Kahan","Stick Season"
6,"Troye Sivan","Got Me Started"
7,"Kenya Grace","Strangers"
8,"Doechii","What It Is (Block Boy) [feat. Kodak Black]"
9,"Fred again.. & Baby Keem","leavemealone"
10,"cassö, RAYE & D-Block Europe","Prada"
11,"Tate McRae","greedy"
12,"Spectrum","I’ll Be Gone (Single Edit)"
13,"venbee","rampage (feat. DJ SS)"
14,"Taylor Swift","Is It Over Now? (Taylor's Version) [From The Vault]"
15,"Paul Russell","Lil Boo Thang"
16,"The Stranglers","Golden Brown"
17,"Doja Cat","Paint The Town Red"
18,"Ariana Grande","yes, and?"
19,"Lynyrd Skynyrd","Simple Man"
20,"Olivia Rodrigo","vampire"
21,"Dua Lipa","Houdini"
22,"Zach Bryan","Something in the Orange"
23,"Natasha Bedingfield","Unwritten"
24,"Jim James","State Of The Art (A.E.I.O.U.)"
25,"Marshmello, P!nk & Sting","Dreaming"
26,"Ricki-Lee","Ghost"
27,"Sammy Virji","If U Need It"
28,"Ed Sheeran","American Town"
29,"Tate McRae","exes"
30,"Selena Gomez","Single Soon"
31,"The Weeknd & Madonna","Popular (feat. Playboi Carti) [Music from the HBO Original Series The Idol]"
32,"Rema","Calm Down"
33,"Sophie Ellis-Bextor","Murder On The Dancefloor"
34,"Hayden James & SAYGRACE","Beggin' You"
35,"Chase & Status & Bou","Baddadan (feat. IRah, Flowdan, Trigga & Takura)"
36,"Troye Sivan","Rush"
37,"Mia Wray","Tell Her"
38,"Billie Eilish","bury a friend"
39,"Sia","Gimme Love"
40,"Quaker City Night Hawks","Beat the Machine"
41,"Colter Wall","Sleeping on the Blacktop"
42,"Miley Cyrus","Used To Be Young"
43,"Lil Nas X","J CHRIST"
44,"Tomcraft","Loneliness (Radio Cut)"
45,"bbno$","edamame (feat. Rich Brian)"
46,"Curtis Mayfield","Move On Up"
47,"Dom Dolla","Saving Up"
48,"Ocean Alley","Confidence"
49,"RAYE & 070 Shake","Escapism."
50,"Snakehips","Bringing Me Home (feat. LAUREL)"
