Shazam Top 50 Sydney
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"Troye Sivan","Got Me Started"
2,"Jack Harlow","Lovin On Me"
3,"Tyla","Water"
4,"Kenya Grace","Strangers"
5,"Teddy Swims","Lose Control"
6,"Doechii","What It Is (Block Boy) [feat. Kodak Black]"
7,"Dom Dolla","Saving Up"
8,"Jim James","State Of The Art (A.E.I.O.U.)"
9,"Spectrum","I’ll Be Gone (Single Edit)"
10,"Tate McRae","greedy"
11,"The Stranglers","Golden Brown"
12,"Marshmello, P!nk & Sting","Dreaming"
13,"Billy Gillies","DNA (Loving You) [feat. Hannah Boleyn]"
14,"Noah Kahan","Stick Season"
15,"Sonny Fodera & MK","Asking (feat. Clementine Douglas)"
16,"Troye Sivan","Rush"
17,"Paul Russell","Lil Boo Thang"
18,"Taylor Swift","Is It Over Now? (Taylor's Version) [From The Vault]"
19,"cassö, RAYE & D-Block Europe","Prada"
20,"CYRIL","Stumblin' In"
21,"Doja Cat","Agora Hills"
22,"Ariana Grande","yes, and?"
23,"Lynyrd Skynyrd","Simple Man"
24,"Calvin Harris & Sam Smith","Desire"
25,"Morgan Wallen","Thinkin’ Bout Me"
26,"Sia","Gimme Love"
27,"The Weeknd, JENNIE & Lily Rose Depp","One Of The Girls"
28,"Zara Larsson & David Guetta","On My Love"
29,"The Weeknd & Madonna","Popular (feat. Playboi Carti) [Music from the HBO Original Series The Idol]"
30,"Sophie Ellis-Bextor","Murder On The Dancefloor"
31,"JID","Surround Sound (feat. 21 Savage & Baby Tate)"
32,"Fred again.. & Baby Keem","leavemealone"
33,"Drake","Rich Baby Daddy (feat. Sexyy Red & SZA)"
34,"Tomcraft","Loneliness (Radio Cut)"
35,"David Guetta, Ayra Starr & Lil Durk","Big FU (Extended)"
36,"Billie Eilish","bury a friend"
37,"Peggy Gou","(It Goes Like) Nanana (Edit)"
38,"Doja Cat","Paint The Town Red"
39,"Vance Joy","Rock It"
40,"Dua Lipa","Houdini"
41,"Curtis Mayfield","Move On Up"
42,"Olivia Rodrigo","vampire"
43,"bbno$","edamame (feat. Rich Brian)"
44,"Machinations","Pressure Sway"
45,"Eliza Rose & Calvin Harris","Body Moving (Extended)"
46,"Nicki Minaj","Needle (feat. Drake)"
47,"Natasha Bedingfield","Unwritten"
48,"Selena Gomez","Single Soon"
49,"Soul Coughing","Super Bon Bon"
50,"Harry Styles","Satellite"
