Shazam Top 200 Austria Chart
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"Jacob Elias","Situationship"
2,"Ofenbach","Overdrive (feat. Norma Jean Martine)"
3,"Wanda","Bei niemand anders"
4,"Marshmello, P!nk & Sting","Dreaming"
5,"BENNETT","Vois sur ton chemin (Techno Mix)"
6,"Kenya Grace","Strangers"
7,"Robin Schulz, Rita Ora & Tiago PZK","I'll Be There"
8,"Sia","Gimme Love"
9,"Folkshilfe","Schena Mensch"
10,"The Kolors","ITALODISCO"
11,"Josh.","Ich gehör repariert"
12,"Loi","Am I Enough"
13,"CYRIL","Stumblin' In"
14,"Sophie Ellis-Bextor","Murder On The Dancefloor"
15,"twocolors, Safri Duo & Chris de Sarandy","Cynical"
16,"He Is We","I Wouldn't Mind"
17,"Tate McRae","greedy"
18,"Dua Lipa","Houdini"
19,"Dimitri Vegas & Like Mike, Tiësto & Dido","Thank You (Not So Bad)"
20,"Imany","Wonderful Life (Stream Jockey Rework)"
21,"Toby Romeo & Declan J Donovan","Alive"
22,"Taylor Swift","Is It Over Now? (Taylor's Version) [From The Vault]"
23,"Jack Harlow","Lovin On Me"
24,"The Rolling Stones","Mess It Up"
25,"Chip & Dale","Tätowierer"
26,"Miley Cyrus","Used To Be Young"
27,"Alok, Mondello'G & Ceres","LET'S GET FKD UP (feat. Tribbs)"
28,"Natasha Bedingfield","Unwritten"
29,"Luca-Dante Spadafora, Niklas Dee, Octavian, Peter Plate & Ulf Leo Sommer","Mädchen auf dem Pferd"
30,"Edward Maya & Vika Jigulina","Stereo Love"
31,"James Arthur","Blindside"
32,"Yamê","Bécane - A Colors Show"
33,"Erasure","Oh L'Amour"
34,"cassö, RAYE & D-Block Europe","Prada"
35,"Die Südsteirer","Birknbam"
36,"Volbeat","For Evigt (feat. Johan Olsen)"
37,"David Guetta & Kim Petras","When We Were Young (The Logical Song)"
38,"Lynyrd Skynyrd","Simple Man"
39,"Amaru & Gringo Bamba","Blonde Chaya (Sped Up)"
40,"Ricchi & Poveri","Sarà Perché Ti Amo"
41,"Cigarettes After Sex","Apocalypse"
42,"Thirty Seconds to Mars","Seasons"
43,"AUT of ORDA","fix net normal"
44,"Nockis","Wie Zucker und wie Salz"
45,"Selena Gomez","Single Soon"
46,"Lost Frequencies & Bastille","Head Down"
47,"RAF Camora & Ski Aggu","Liebe Grüsse"
48,"Lost Frequencies","The Feeling"
49,"LXNGVX","Montagem Mysterious Game"
50,"Loreen","Tattoo"
51,"Sophie and the Giants & Purple Disco Machine","Paradise"
52,"Norman Langen & Natalie Holzner","Besser ohne Dich"
53,"ZERB & Sofiya Nzau","Mwaki"
54,"Doja Cat","Paint The Town Red"
55,"Nico Santos & FAST BOY","Where You Are"
56,"The Weeknd & Madonna","Popular (feat. Playboi Carti) [Music from the HBO Original Series The Idol]"
57,"Fred again.. & Baby Keem","leavemealone"
58,"Empire of the Sun","We Are The People"
59,"Gigi D'Agostino","L'amour Toujours"
60,"The Wombats","Let's Dance to Joy Division"
61,"Fritz Strobl & The Downhill Gang","Genie auf die Ski"
62,"Sherine","Sabry 'Aalil"
63,"Glockenbach & Ella Henderson","Lifeline"
64,"bbno$","edamame (feat. Rich Brian)"
65,"Benson Boone","Beautiful Things"
66,"Ella Henderson","Alibi (feat. Rudimental)"
67,"Lvbel C5","DOĞUŞTAN BERİ HAKLIYIM (tmm)"
68,"Tom Odell","Another Love"
69,"House of Pain","Jump Around"
70,"Chris Brown","Angel Numbers / Ten Toes"
71,"Mountain Crew & DJ Redblack","Ab auf die Piste (Sarà Perché Ti Amo) [APRES SKI VERSION]"
72,"Cleffy","Meet you at the Graveyard"
73,"Udo Lindenberg & Apache 207","Komet"
74,"Drake","Rich Baby Daddy (feat. Sexyy Red & SZA)"
75,"Nightwish","Nemo"
76,"Gym Class Heroes","Cupid's Chokehold / Breakfast In America"
77,"Taylor Swift","Cruel Summer"
