Shazam Top 200 Azerbaijan Chart
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"Xatuba","LaLay LaLay"
2,"Defkhan, NELLIE & Fredo","Kapak Olsun"
3,"TURAL EVEREST & Руслан Добрый","Yazdigim şeyirler"
4,"Lvbel C5","DOĞUŞTAN BERİ HAKLIYIM (tmm)"
5,"ADAM","Zhurek"
6,"DON XHONI & Dhurata Dora","Lej"
7,"Sherine","Sabry 'Aalil"
8,"M Lisa","ARABA"
9,"Eldar Mansurov & Aygün Kazımova","Mən Aygünəm"
10,"АИГЕЛ","Пыяла"
11,"Stromae","Formidable"
12,"Basta & HammAli & Navai","Где ты теперь и с кем"
13,"Aygün Kazımova","Bilmək Olmaz"
14,"Халиф Атуев","Ва Марьяна"
15,"Boranbeatz","Hesabını Soracağım"
16,"Saad Lamjarred & Shreya Ghoshal","Guli Mata (feat. Rajat Nagpal)"
17,"Ace of Base","Happy Nation"
18,"Ehsan Daryadel","Mahi"
19,"Savai","Dark Life (Instrumental)"
20,"Sickick","Intro (Infected)"
21,"Sherine","El Watar El Hassas"
22,"SİLAHSIZ KUVVET","2001 (feat. Ceza & Sahtiyan)"
23,"Yamê","Bécane - A Colors Show"
24,"Nikos Band","Georgian Disco (Live)"
25,"Aytaç Doğan","Alışamadım (Live)"
26,"Ziba Ahmadi","To Rafti"
27,"Hamit Karadeniz","Leyla"
28,"Modern Talking","Cheri Cheri Lady"
29,"Lady Gaga","Bloody Mary"
30,"RockA","Unutulur Her Şey"
31,"Gym Class Heroes","Cupid's Chokehold / Breakfast In America"
32,"Pitbull","Fireball (feat. John Ryan)"
33,"Çinarə Məlikzadə","Mən Özüm Gedərəm"
34,"Nilüfer","İnkar Etme"
35,"Cleffy","Meet you at the Graveyard"
36,"Elnur","Direniyorum"
37,"Özcan Deniz","Sevdanın Rengi"
38,"Tom Odell","Another Love"
39,"Nəsimi Məmmədov","Çağır"
40,"Vahram Vazyan","Суро (Памяти друга)"
41,"Antique","Why (Mellan)"
42,"Natavan Habibi","Məsafələr"
43,"Sourik Mehrabian","Sourb Sargis"
44,"Canozan","Ağlama ben ağlarım"
45,"Rafat Hasanlı","Kısa Mesafe"
46,"Ahmet Kaya","Katlime Ferman"
47,"JID","Surround Sound (feat. 21 Savage & Baby Tate)"
48,"glwzbll","Untitled #13 (Super Slowed)"
49,"Joel Sunny","Luminary (Sped Up)"
50,"Sertab Erener","Vur Yüreğim"
51,"Rəsul Əfəndiyev","Mənə Sevgi Göstər"
52,"Хасан Хамдиев","Не хулиган"
53,"Umut INC. & haashimovh","Səni Tanıyım"
54,"JANAGA","По сути"
55,"Farhan Ahmed","Arabic Music"
56,"The Weeknd & Madonna","Popular (feat. Playboi Carti) [Music from the HBO Original Series The Idol]"
57,"MOSART","Afrika Nadi (ARTMO'S EDIT) AFRO HOUSE))"
58,"Rammstein","Sonne"
59,"Barış Diri","Derinden / bazen hayat çok kötü gidiyor ve ben onu nasıl anlatacağımı bilemiyorum"
60,"Caiiro","The Akan"
61,"Farhad Jahangiri","Ali Gian"
62,"Katya Lel","Мой мармеладный (Я не права)"
63,"Gökhan Türkmen","Sen İstanbul'sun"
64,"Ümit Besen","Seni Unutmaya Ömrüm Yeter Mi (feat. Pamela Spence)"
65,"Mahsun Kirmizigül","Dinle"
66,"Mary J. Blige","Family Affair"
67,"The Weeknd","After Hours"
68,"حيدر البياتي","حبيبي راح"
69,"KALEO","Way Down We Go"
70,"Can Kazaz","Zifir Sessizlikte Bulursun"
71,"Elmira Rəhimova","İntizar"
72,"The Neighbourhood","Softcore"
73,"Jeyhun Samedov","Tufan Var"
74,"Röya","Bahar"
75,"Simge","Vicdanın Affetsin"
76,"Paptircem","Öl İçimde"
77,"DJ Kamran MM","Gözlərim Qurban (feat. Elçin Rahman)"
78,"Narkoz Ex","Tatlı Tecrübe"
79,"Xcho","Ты и Я"
80,"Taskin Yusuf","Agla Sevdam"
81,"Sagopa Kajmer","Merhametine Dön (2021 Tek Edit)"
82,"ADAM","Zhurek (Isko Alvarez remix)"
83,"6YNTHMANE & RXDXVIL","BRAZILIAN DANÇA PHONK"
84,"Sezen Aksu","Sarı Odalar"
85,"Ionut Cercel","Made in Romania"
86,"Nova Norda","Aşka Çarem Yok"
87,"Röya","Tut Əlimdən"
88,"George Michael","Careless Whisper"
89,"Sukran Abdullayev","Günahımsan"
90,"Müslüm Gürses","Affet"
91,"Rancido, AfroTura & Bun Xapa","Kibe (feat. Idd Aziz)"
92,"Sezen Aksu","Tükeneceğiz"
93,"Tate McRae","greedy"
94,"Simge","Yankı"
95,"Nazenin","Geri Donsen"
96,"Aygün Kazımova","Parol"
97,"Fajar Asia Music","Headlight (Slowed Version)"
98,"Diamond Platnumz","Jeje"
99,"Indila","Love Story"
100,"Edward Maya & Vika Jigulina","Stereo Love"
101,"Crystal Castles","Kerosene"
102,"ZERB & Sofiya Nzau","Mwaki"
103,"Elit Star Cəmilə","Ayrılığı Mənə Sən Öyrətmisən"
104,"Ömer Bükülmezoğlu","Cry"
105,"Onur Tuna","Bitik Yine"
106,"Ernest Ogannesyan","Милая"
107,"Mark Eliyahu & Cem Adrian","Kül"
108,"Elvana Gjata","Pow"
109,"Ariis","Manda Bala"
110,"Mansur Samed","Bir Nəfər"
111,"Loreen","Tattoo"
112,"Alok & Alan Walker","Headlights (feat. KIDDO)"
113,"Anar","Bero 02"
114,"Lely45","Моя душа"
115,"Amo988","Yüreğim Ağlar"
116,"Mavi Gri","İlaç Ol Yaralarıma"
117,"Amy Winehouse","Back To Black"
118,"Barış Manço","Aynalı Kemer"
119,"Harshavardhan Rameshwar","Abrar’s Entry Jamal Kudu (From "Animal")"
120,"Uzeyir Mehdizade","Boyuduk"
121,"Adele","Set Fire to the Rain"
122,"Гио ПиКа","Важные улики"
123,"RAYE & 070 Shake","Escapism."
124,"NAYMADA","Ты мой рай (feat. Anivar & Karen Туз)"
125,"Tuğçe Şenoğul","Bunu Sana Demiştim (Disco Tarantula Remix)"
126,"Teya Dora","Džanum"
127,"Sting","Shape Of My Heart"
128,"Semicenk & Rast","Canın Sağ Olsun"
129,"Kenya Grace","Strangers"
130,"shometyle","Alien Flame"
131,"The Weeknd, JENNIE & Lily Rose Depp","One Of The Girls"
132,"Sia","Snowman"
133,"Yalın","Herşey Sensin"
134,"loera, ZETH INC. & Flexyz","Montagem Coral"
135,"Lesley Gore","You Don't Own Me"
136,"Gülden Karaböcek","Sen Evlisin"
137,"Mark Eliyahu & Cem Adrian","Derinlerde"
138,"The Irrepressibles","In This Shirt"
139,"Inna","Hot"
140,"Ivan Afro5 & Spilulu","Wakanda"
141,"Cəlal Əhmədov","Kavkaz"
142,"Zeynep Bastık","Bundan Böyle"
143,"Empire of the Sun","We Are The People"
144,"Ирина Кайратовна","5000"
145,"Elçin Ağcabədili","Eşqimiz bir nağıl"
146,"ALSU","Azelow Style"
147,"Çağan Şengül","Çok Yazık"
148,"Osman Navruzov","Qolmadi Choram"
149,"Elnur Valeh","Kristal Seddam"
150,"Mabel Matiz","Fırtınadayım"
151,"Steve Lacy","Bad Habit"
152,"Akeem Healy","Доля воровская"
153,"Jeyhun Samedov","Getmə"
154,"Taylor Swift","cardigan"
155,"Izzamuzzic","lliinnee"
156,"Deeperise","Raf (feat. Jabbar)"
157,"Cartel de Santa","Shorty Party (feat. La Kelly)"
158,"Namiq Qaraçuxurlu","Tez Ele (Remix)"
159,"LXNGVX","Montagem Mysterious Game"
160,"Khrystyna Soloviy","Тримай"
161,"Kaspiyskiy Gruz","Доедешь - пиши"
162,"Zerrin Özer","Basit Numaralar"
163,"Akon","Smack That (feat. Eminem)"
164,"Ceza","Kim Bilir"
165,"İnzar Sur","Vay Benim Hayallerim"
166,"Dedublüman","Sakladığın Bir Şeyler Var"
167,"Richard Carter","Le Monde (From Talk to Me)"
168,"Misha Xramovi","В экстазе"
169,"Anıl Emre Daldal","B. (Acoustic)"
170,"Kənan Əliyev","Yandim Ele Yandim"
171,"Mert Demir","Ateşe Düştüm"
172,"G-Eazy & Halsey","Him & I"
173,"Gibran Alcocer","Idea 10"
174,"Rustem Yagmur","Kədərliyəm"
175,"Derya Uluğ & Asil Gök","Yansıma"
176,"Sagopa Kajmer","Ateşten Gömlek"
177,"Young Chop","Whole Thing (feat. Freddie Gibbs)"
178,"Kodaline","Everything Works Out in the End"
179,"Sherine","Kalam Eneih"
180,"Гио ПиКа","Буйно голова"
181,"Boranbeatz","Kopamam Senden"
182,"Beyoncé","Diva (Karmatronic Club Remix)"
183,"Kendrick Lamar","Swimming Pools (Drank)"
184,"Teddy Swims","Lose Control"
185,"Eternxlkz","BRODYAGA FUNK"
186,"Pure Negga","Cnv Sound, Vol. 14"
187,"JANAGA & Sevak","На грани"
188,"Adele","Skyfall"
189,"Kibariye","Lafımı Olur"
190,"dj Samir, Rodricci & Launch13","Louca Encubada"
191,"TARAS","Тебя нежно грубо"
192,"Probeats","Ruzigardan Küsər (feat. RelaxBeats, Vüqar Biləcəri & Rəşad Dağlı) [Remix]"
193,"J Capri & Charly Black","Whine & Kotch"
194,"Madrigal","Seni Dert Etmeler"
195,"Christell","Dubidubidu"
196,"Nijat010","Afri Nadi"
197,"Tarikdemirs","Nefret(Haykiriş)"
198,"Cəlal Əhmədov","Gülüm"
199,"Arctic Monkeys","I Wanna Be Yours"
200,"Sezen Aksu","Biliyorsun"
