Shazam Top 200 Belarus Chart
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"Ицык Цыпер","Дымок (feat. Игорь Цыба)"
2,"Cleffy","Meet you at the Graveyard"
3,"Ицык Цыпер","Нефертити (feat. Игорь Цыба)"
4,"Женя Трофимов & Комната культуры","Поезда"
5,"Nikos Band","Georgian Disco (Live)"
6,"Miyagi & Эндшпиль","Круговорот"
7,"VESNA305","Новая новогодняя"
8,"Kendrick Lamar","Swimming Pools (Drank)"
9,"Yamê","Bécane - A Colors Show"
10,"The Kolors","ITALODISCO"
11,"АИГЕЛ","Пыяла"
12,"Stromae","Formidable"
13,"Три дня дождя & MONA","Прощание"
14,"He Is We","I Wouldn't Mind"
15,"T-Fest","Ты хочешь жить / Go Loco"
16,"The Weeknd","House Of Balloons / Glass Table Girls (Original)"
17,"АлСми","Мадам"
18,"Wenzl McGowen & Enisa","Disco Cone (Take It High)"
19,"Tate McRae","greedy"
20,"Kenya Grace","Strangers"
21,"Ofenbach","Overdrive (feat. Norma Jean Martine)"
22,"Mosty","Тишина (feat. Fame, Макстар)"
23,"лампабикт & Элли на маковом поле","немерено"
24,"Teddy Swims","Lose Control"
25,"Skryptonite & FEDUK","Аста ла виста"
26,"DEAD BLONDE","Снег растаял на плечах"
27,"Miyagi & Эндшпиль","Голгофа"
28,"ADAM","Zhurek"
29,"5UTRA","Давай сбежим (Искорки)"
30,"shometyle","Alien Flame"
31,"Sarah de Warren, Charming Horses & Hanno","This Is The Life"
32,"ZERB & Sofiya Nzau","Mwaki"
33,"Big Baby Tape","Dayang"
34,"Sophie Ellis-Bextor","Murder On The Dancefloor"
35,"Creepy Nuts","Bling-Bang-Bang-Born"
36,"АИГЕЛ","Чудовище"
37,"R.Riccardo","Между нами города (Barabanov Remix)"
38,"Orange Sector","Farben"
39,"Dezko","Ascend"
40,"Moya Mishel","Ветер меняет направление"
41,"KOREL & NEEL","Она делит вайб"
42,"Xxanteria & isq","Funked Up (Slowed)"
43,"Edward Maya & Vika Jigulina","Stereo Love"
44,"Tiësto & BIA","BOTH (with 21 Savage)"
45,"Aarne, Big Baby Tape & kizaru","Haunted House"
46,"Denis RiDer","Моя фобия (feat. H1GH)"
47,"Egor Kreed","Таро (feat. Тenderlybae & Егорик)"
48,"ФОГЕЛЬ","ИСТЕРИЧКА"
49,"МЫ","Остров"
50,"Gym Class Heroes","Cupid's Chokehold / Breakfast In America"
51,"ЛЁНЯ","ЛЮБОВЬ КАЧАЕТ БАСЫ"
52,"Bonapart","F**k You (Freestyle)"
53,"Ivan Dorn","Бигуди (Slider & Magnit Remix)"
54,"LuckyProduction","Forget"
55,"Russ","I Love You Boy"
56,"Cartel de Santa","Shorty Party (feat. La Kelly)"
57,"Mirazh","Новый герой"
58,"JID","Surround Sound (feat. 21 Savage & Baby Tate)"
59,"Loreen","Tattoo"
60,"LXNGVX","Montagem Mysterious Game"
61,"Basta","На заре"
62,"Jung Kook & Jack Harlow","3D"
63,"PNAU & Empire of the Sun","AEIOU"
64,"Lely45","Моя душа"
65,"Clams Casino & Imogen Heap","I'm God"
66,"Guf & A.V.G","Спонсор твоих проблем"
67,"Ace of Base","Happy Nation"
68,"Empire of the Sun","We Are The People"
69,"NEMIGA","Молодость"
70,"WASSSUP","Я иду по городу"
71,"Rammstein","Sonne"
72,"Christell","Dubidubidu"
73,"ARKUSHA","Ушёл"
74,"Tom Odell","Another Love"
75,"Schnuffel","Häschenparty"
76,"Nicki Minaj","FTCU"
77,"J Balvin, USHER & DJ Khaled","Dientes"
78,"Lilithzplug","CLEARED - Remix"
79,"DPR IAN","Don't Go Insane"
80,"Lesley Gore","You Don't Own Me"
81,"Rich Amiri","One Call"
82,"TypeLuv","Всё хочу"
83,"HOMIE","В городе где нет тебя"
84,"Moya Mishel","Зима в сердце"
85,"ANNA ASTI","Царица"
86,"BODIEV","Аромат твоей души"
87,"5mewmet","Разноцветные таблетки"
88,"Doja Cat","Paint The Town Red"
89,"Marine Manasian","Доктор"
90,"Peggy Gou","(It Goes Like) Nanana (Edit)"
91,"Lucenzo","Danza Kuduro (feat. Don Omar)"
92,"George Michael","Careless Whisper"
93,"FRIENDLY THUG 52 NGG","Lost Angeles"
94,"Flume","Never Be Like You (feat. KAI)"
95,"Miyagi & Эндшпиль","Река"
96,"The Wellermen, Ebucs, Eric Hollaway & Daniel Brevik","Hoist the Colours"
97,"dj trippie flameboy","ee nado x)"
98,"Jakone & A.V.G","Заводит"
99,"BUSHIDO ZHO","Романтик и Вандал"
100,"Inna","Hot"
101,"Kim Petras","XXX"
102,"Lilly Wood & The Prick","Prayer In C"
103,"SALUKI","ОГНЕЙ"
104,"Neki, ALEMOND & Xcho","Моя"
105,"MC VN Cria & DJ Kayo Original","Priviet Priviet Funk"
106,"Miyagi & Эндшпиль","Пронзай"
107,"FRIENDLY THUG 52 NGG","Sladki Snov Rapper 2"
108,"Timbaland","The Way I Are (feat. Keri Hilson & D.O.E.)"
109,"Sherine","Sabry 'Aalil"
110,"requi3m","LIKE A"
111,"6YNTHMANE & RXDXVIL","BRAZILIAN DANÇA PHONK"
112,"XOLIDAYBOY","Мотыльки"
113,"GRILLYAZH & f0lk","В ГОРОДЕ"
114,"Dj Belite","All Eyes on Me"
115,"The Neighbourhood","Softcore"
116,"Miyagi & Andy Panda","Freeman"
117,"The Weeknd & Madonna","Popular (feat. Playboi Carti) [Music from the HBO Original Series The Idol]"
118,"Bryansanon","Move Yo Body"
119,"Маракеш & Maksim Aprel","Улица мама"
120,"Miyagi & Эндшпиль & NERAK","Именно та"
121,"Chernoburkv","Сутками"
122,"Palina","Кока-кола"
123,"Artik & Asti","Мне не нужны"
124,"Патология","Протест"
125,"Baby Gang","Mentalité"
126,"Татьяна Куртукова","Матушка"
127,"Robert Cristian & Alis Shuka","The Day Before"
128,"OG BUDA","Крит (feat. Toxi$)"
129,"Sunstroke Project","Run Away (feat. Olia Tira)"
130,"Rihanna","Pour It Up"
131,"Maksim","Croatian Rhapsody"
132,"Dua Lipa","Houdini"
133,"NILETTO, Oleg Miami & Lesha Svik","Не вспоминай"
134,"Ariis","Manda Bala"
135,"TARAS","Тебя нежно грубо"
136,"Memphis Cult, Groove Dealers & SPLYXER","9mm"
137,"KALEO","Way Down We Go"
138,"REDCHINAWAVE","Отменяй"
139,"NLO & Katya Lel","Тони"
140,"Dionnysuss","Fangs (Slowed Down)"
141,"Yeah Yeah Yeahs","Heads Will Roll (A-Trak Remix)"
142,"Lolita","Раневская"
143,"James Hype & Kim Petras","Drums"
144,"Mikhail Grebenshchikov","Хочешь закурить"
145,"Lady Gaga","Bloody Mary"
146,"Camila Cabello","Shameless"
147,"ЧИНА","Дай мне побольше"
148,"Тото","Баяноммай (KalashnikOFF Remix)"
149,"Bryansanon","Move Yo Body (sped up)"
150,"XOLIDAYBOY & Иван Рейс","Тупая"
151,"Lauv","Love U Like That"
152,"Yuliya Savicheva","От его голоса"
153,"Joe Layne","Portrait"
154,"The Motans","Inainte Sa Ne Fi Nascut (Dirty Nano Remix)"
155,"Sasha Santa","Счастливыми"
156,"Lil Wayne","Love Me (feat. Drake & Future)"
157,"Айки","Ты моя бро"
158,"Bakhtin","Целовала"
159,"XOLIDAYBOY","Океаны"
160,"Bakhtin","Малая"
161,"OG BUDA & Egor Kreed","Плачут небеса (feat. Доминик Джокер)"
162,"Gotye","Somebody That I Used to Know (feat. Kimbra)"
163,"Kamazz","На белом покрывале января"
164,"SUICIDAL-IDOL","ecstacy (super slowed)"
165,"HATEGOD","Я бросил"
166,"Eternxlkz","BRODYAGA FUNK"
167,"Artemas","if u think i'm pretty"
168,"21 Savage","redrum"
169,"Gala","Freed From Desire"
170,"Tomcraft","Loneliness (Radio Cut)"
171,"Crystal Castles","Vanished"
172,"Marenberg Kollektiv","Sun Goes Down"
173,"uniqe, nkeeei & ARTEM SHILOVETS","ХОЧУ 18+ (feat. Voskresenskii)"
174,"Kombinatsiya","Не забывай"
175,"kennycarter & yung dexn","Your Mind"
176,"twenty one pilots","Stressed Out"
177,"Egzod, Maestro Chives & Neoni","Royalty"
178,"Galazar","Funk Up XXANTERIA+ISQ LOOP"
179,"Iggy Azalea","Work"
180,"МОТ","Случайности не случайны"
181,"Barbara Pravi","Voilà"
182,"Ed Sheeran","Perfect"
183,"Pepel Nahudi","Целую"
184,"DJ Tons","Always Remember Us This Way"
185,"Aleksandr Serov","Как Быть"
186,"phamhoang anh","It Was Mild"
187,"Crystal Castles","Kerosene"
188,"Måneskin","HONEY (ARE U COMING?)"
189,"Гио ПиКа","Где ты?"
190,"Klamydia","Pilke silmäkulmassa"
191,"Jah Khalib","Тату на твоем теле"
192,"LOVV66","10М ОТ ДОМА"
193,"The Weeknd, JENNIE & Lily Rose Depp","One Of The Girls"
194,"DJ Snake","Let Me Love You (feat. Justin Bieber)"
195,"Tyla","Water"
196,"Mari Kraymbreri","Случилась осень"
197,"Gamuel Sori & Lovespeake","Us"
198,"mikeeysmind & SANIKWAVE","VVV"
199,"David Guetta","Lovers on the Sun (feat. Sam Martin)"
200,"Basta & HammAli & Navai","Где ты теперь и с кем"
