Shazam Top 200 Belgium Chart
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"Teddy Swims","Lose Control"
2,"Billy Gillies","DNA (Loving You) [feat. Hannah Boleyn]"
3,"ZERB & Sofiya Nzau","Mwaki"
4,"Noah Kahan","Stick Season"
5,"Dimitri Vegas & Like Mike, Tiësto & Dido","Thank You (Not So Bad)"
6,"cassö, RAYE & D-Block Europe","Prada"
7,"SANTA","Popcorn Salé"
8,"Ofenbach","Overdrive (feat. Norma Jean Martine)"
9,"BENNETT","Vois sur ton chemin (Techno Mix)"
10,"David Guetta & Kim Petras","When We Were Young (The Logical Song)"
11,"Jungeli, Imen Es & Alonzo","Petit génie (feat. Abou Debeing & Lossa)"
12,"Kenya Grace","Strangers"
13,"Iñigo Quintero","Si No Estás"
14,"Mint Royale","Sexiest Man in Jamaica"
15,"Alok, The Chainsmokers & Mae Stephens","Jungle"
16,"Sophie Ellis-Bextor","Murder On The Dancefloor"
17,"P!nk","All Out Of Fight"
18,"Kaaris","Panama (feat. Hamza)"
19,"Jack Harlow","Lovin On Me"
20,"Lost Frequencies & Bastille","Head Down"
21,"ZERB & Sofiya Nzau","Mwaki (Tiësto's VIP Mix)"
22,"Yamê","Bécane - A Colors Show"
23,"Snow Patrol","Chasing Cars"
24,"Sia","Gimme Love"
25,"Mentissa","Et Bam"
26,"Louane","Les étoiles"
27,"Imany","Wonderful Life (Stream Jockey Rework)"
28,"Tyla","Water"
29,"Loreen","Is It Love"
30,"Dua Lipa","Houdini"
31,"Tate McRae","greedy"
32,"Chris Brown","Angel Numbers / Ten Toes"
33,"Dadju & Tayc","I love you"
34,"Nathan Dawe & Bebe Rexha","Heart Still Beating"
35,"Dean Lewis","Trust Me Mate (Acoustic)"
36,"Sherine","Sabry 'Aalil"
37,"Teddy Swims","The Door"
38,"Used & Jamie McCool","You Say"
39,"Tom Odell","Black Friday"
40,"He Is We","I Wouldn't Mind"
41,"The Weeknd & Madonna","Popular (feat. Playboi Carti) [Music from the HBO Original Series The Idol]"
42,"AriBeatz, Nimo & Lacrim","J-Lo"
43,"Tam Sir","Coup du marteau (feat. Team Paiya, Ste Milano, Renard Barakissa, Tazeboy & PSK)"
44,"Ariana Grande","yes, and?"
45,"Purple Disco Machine, Duke Dumont & Nothing But Thieves","Something On My Mind (Extended)"
46,"Cigarettes After Sex","Apocalypse"
47,"Tourist LeMC","De Ander"
48,"LXNGVX","Montagem Mysterious Game"
49,"Dinah Washington","What A Difference A Day Made"
50,"Joseph Kamel","Celui qui part"
51,"Berre","Happier"
52,"Olivia Rodrigo","Can’t Catch Me Now (from The Hunger Games: The Ballad of Songbirds & Snakes)"
53,"Peggy Gou","(It Goes Like) Nanana (Edit)"
54,"Calvin Harris & Sam Smith","Desire"
55,"MAKSIM & Emma Heesters","Dat Hadden Wij Moeten Zijn"
56,"Eddy de Pretto","LOVE'n'TENDRESSE"
57,"Fred again.. & Baby Keem","leavemealone"
58,"Kris Kross Amsterdam, SERA & Conor Maynard","Stay (Never Leave)"
59,"Paul Russell","Lil Boo Thang"
60,"Slimane","Mon amour"
61,"Lewis Capaldi","Strangers"
62,"Cleffy","Meet you at the Graveyard"
63,"Alphaville","Big In Japan"
64,"David Kushner","Daylight"
65,"Netsky & Jazmine Johnson","Hell in High Heels"
66,"J Balvin, USHER & DJ Khaled","Dientes"
67,"Tom Odell","Another Love"
68,"Anne-Marie","UNHEALTHY (feat. Shania Twain)"
69,"Hoshi","Puis t'as dansé avec moi"
70,"Green Day","One Eyed Bastard"
71,"Loreen","Tattoo"
72,"Miley Cyrus","Used To Be Young"
73,"Fleetwood Mac","Everywhere"
74,"Doja Cat","Agora Hills"
75,"twocolors, Safri Duo & Chris de Sarandy","Cynical"
76,"Morad & GIMS","Seya"
77,"Disclosure","You & Me (feat. Eliza Doolittle) [Rivo Remix]"
78,"Argy & Omnya","Aria"
79,"Merveille","Citadelle"
80,"Bad Bunny","MONACO"
81,"Marshmello, P!nk & Sting","Dreaming"
82,"Ella Henderson","Alibi (feat. Rudimental)"
83,"Edward Maya & Vika Jigulina","Stereo Love"
84,"Flume","Never Be Like You (feat. KAI)"
85,"Lil Nas X","J CHRIST"
86,"Zara Larsson","Lush Life"
87,"Loïc Nottet","Beaux rêves (feat. Prinzly)"
88,"Tiësto & FAST BOY","All My Life"
89,"Metejoor","Eigen Schuld"
90,"Bazart & Pommelien Thijs","Hou Mij Vast"
91,"Jul","J'fais plaisir à la zone (feat. SDM)"
92,"Ricchi & Poveri","Sarà Perché Ti Amo"
93,"Peggy Gou & Lenny Kravitz","I Believe In Love Again"
94,"DYSTINCT","La"
95,"Emkal","Pépita"
96,"Jul","Oh qu'elle est belle (feat. Dystinct)"
97,"Gustaph","Already Know"
98,"Robin Schulz, Rita Ora & Tiago PZK","I'll Be There"
99,"JID","Surround Sound (feat. 21 Savage & Baby Tate)"
100,"Abdoulhay","Galbi Mix Dofin Chirine"
101,"Drake","Rich Baby Daddy (feat. Sexyy Red & SZA)"
102,"Gotye","Somebody That I Used to Know (feat. Kimbra)"
103,"Françoise Hardy","Tous les garçons et les filles (Slow)"
104,"Mitski","My Love Mine All Mine"
105,"Empire of the Sun","We Are The People"
106,"Harry Styles","Sign of the Times"
107,"Jain","Night Heights"
108,"Sting","Shape Of My Heart"
109,"Doja Cat","Paint The Town Red"
110,"Marco Schuitmaker","Engelbewaarder"
111,"Camille","Ademnood"
112,"Gotan Project","Santa María (Del Buen Ayre)"
113,"Lykke Li","I Follow Rivers (The Magician Remix)"
114,"Eelke Kleijn","Transmission (Joris Voorn Remix)"
