Shazam Top 50 Brasília
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"Rosa Linn","SNAP"
2,"Lauana Prado","Me Leva Pra Casa / Escrito Nas Estrelas / Saudade (Ao Vivo)"
3,"Manu & Simone Mendes","Daqui pra Sempre (Ao Vivo)"
4,"Secos & Molhados","Fala"
5,"Lynyrd Skynyrd","Simple Man"
6,"Guilherme Silva","Barquinha de Ouro"
7,"Pedrinha Moraes","Pi Po Po Po Ro Po"
8,"Simon & Garfunkel","El Condor Pasa (If I Could)"
9,"Tyla","Water"
10,"Harry Styles","As It Was"
11,"RÁAE","Fields of Gold (Terra e Paixão)"
12,"Yamê","Bécane - A Colors Show"
13,"Rihanna","Redemption Song (For Haiti Relief) [Live from Oprah]"
14,"Sevdaliza","Marilyn Monroe"
15,"DJ Tons","Always Remember Us This Way"
16,"P!nk","A Million Dreams"
17,"Gigi D'Agostino","L'amour Toujours"
18,"Simple Minds","Don't You (Forget About Me)"
19,"Gotye","Somebody That I Used to Know (feat. Kimbra)"
20,"Chitãozinho & Xororó & Ana Castela","Sinônimos"
21,"Alok & Bebe Rexha","Deep In Your Love"
22,"Sophie Ellis-Bextor","Murder On The Dancefloor"
23,"The Handsome Family","Far from Any Road"
24,"Rema","Calm Down"
25,"Tate McRae","greedy"
26,"The Outfield","Your Love"
27,"Wiz Khalifa","See You Again (feat. Charlie Puth)"
28,"Keane","Somewhere Only We Know"
29,"Miley Cyrus","Flowers"
30,"Hungria Hip Hop","Preta (feat. João Carlos Martins)"
31,"Jim James","State Of The Art (A.E.I.O.U.)"
32,"Imany","Wonderful Life (Stream Jockey Rework)"
33,"Israel & Rodolffo & Hugo & Guilherme","Amor Não Dá Em Copo (Ao Vivo)"
34,"Billy Idol","Eyes Without A Face"
35,"Creedence Clearwater Revival","Have You Ever Seen The Rain"
36,"Billie Eilish","bury a friend"
37,"MC PH, MC Ryan SP & MC Luki","Let's Go 4 (feat. Mc Davi, Mc Don Juan, Mc Kadu, MC Gh do 7, MC GP, TrapLaudo, DJ Gbr & Mc IG)"
38,"4 Non Blondes","What's Up?"
39,"Tears for Fears","Everybody Wants To Rule The World"
40,"Angelina Jordan","Love Don't Let Me Go"
41,"RÜFÜS DU SOL","Innerbloom"
42,"Quaker City Night Hawks","Beat the Machine"
43,"Cigarettes After Sex","Apocalypse"
44,"The Wellermen, Ebucs, Eric Hollaway & Daniel Brevik","Hoist the Colours"
45,"George Michael","Careless Whisper"
46,"Mary J. Blige","Family Affair"
47,"Foster the People","Pumped Up Kicks"
48,"a-ha","Take On Me"
49,"OneRepublic","I Ain't Worried"
50,"Deavele Santos","Quero Mais"
