Shazam Top 200 Brazil Chart
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"Yamê","Bécane - A Colors Show"
2,"21 Savage","redrum"
3,"Rosa Linn","SNAP"
4,"Justin Timberlake","Mirrors"
5,"Pedrinha Moraes","Pi Po Po Po Ro Po"
6,"Lauana Prado","Me Leva Pra Casa / Escrito Nas Estrelas / Saudade (Ao Vivo)"
7,"Sophie Ellis-Bextor","Murder On The Dancefloor"
8,"MC PH, MC Ryan SP & MC Luki","Let's Go 4 (feat. Mc Davi, Mc Don Juan, Mc Kadu, MC Gh do 7, MC GP, TrapLaudo, DJ Gbr & Mc IG)"
9,"Manu & Simone Mendes","Daqui pra Sempre (Ao Vivo)"
10,"DJ WN, Mc Hariel, MC Ryan SP, MC Paulin da Capital, Mc Lipi, MC Vinny, Gabb MC, Mc Kadu, Mc Daniel, MC Gh do 7 & Nog","Ritmista 1.0 (feat. Love Funk)"
11,"MC PH, Borges, WIU, Pedro Lotto & WEY","Tenho Que Me Decidir"
12,"MC LUUKY, Mc Don Juan & MC Ryan SP","Desacato (feat. MC Davi, TrapLaudo, MC Kadu & MC Gui Da Norte)"
13,"Pineapple StormTv, Salve Malak, Mc Poze do Rodo, Luiz Lins, Mc Hariel, Azzy, JayA Luuck, Oruam, Slipmami, MC Cabelinho & Chefin","Poesia Acústica 15"
14,"Iñigo Quintero","Si No Estás"
15,"Tyla","Water"
16,"Tate McRae","greedy"
17,"Gotye","Somebody That I Used to Know (feat. Kimbra)"
18,"Lynyrd Skynyrd","Simple Man"
19,"DJ RYAN LS","Eletrofunk baby eu tava na rua da água (feat. Tr)"
20,"George Michael","Careless Whisper"
21,"Borges, MC Cabelinho, Veigh, Ruxn, Palma & Kizzy","Loucura"
22,"DJ GM, Mc Paiva ZS, Triz, MC Paulin da Capital, Mc Lipi, MC Lele JP, MC Ryan SP, Gabb MC, Mc Daniel, MC Cebezinho, MC Gh do 7, MC Marks, Grego & Mc Negão Original","Set Dj Gm 6.0"
23,"The Weeknd, JENNIE & Lily Rose Depp","One Of The Girls"
24,"Mary J. Blige","Family Affair"
25,"JID","Surround Sound (feat. 21 Savage & Baby Tate)"
26,"Marina Sena & Japãozin","Dano Sarrada (Remix)"
27,"JC no beat, DJ F7 & MC Meno Dani","Maria Mariah (feat. Silva MC)"
28,"Flume","Never Be Like You (feat. KAI)"
29,"Peggy Gou","(It Goes Like) Nanana (Edit)"
30,"Gigi D'Agostino","L'amour Toujours"
31,"YG Marley","Praise Jah In the Moonlight"
32,"Rema","Calm Down"
33,"Mc GP, DJ Victor & Mc IG","Modo Esquece (feat. TrapLaudo, MC Menor da VG, Lil Kid 777, Aaron Modesto, MC Gui Da Norte & MC Tuto)"
34,"Harry Styles","As It Was"
35,"LXNGVX","Montagem Mysterious Game"
36,"Wiz Khalifa","See You Again (feat. Charlie Puth)"
37,"RÁAE","Fields of Gold (Terra e Paixão)"
38,"Dj Wesley Gonzaga","Mega a Cura Antidepressiva"
39,"Tom Odell","Another Love"
40,"DJ DIDI Dj Rayan Mc Fopi Mc Gw Mc Fabinho Osk","Vem de flecha"
41,"Keane","Somewhere Only We Know"
42,"Isadora Pompeo","Bênçãos Que Não Têm Fim (Counting My Blessings)"
43,"Billy Idol","Eyes Without A Face"
44,"Chitãozinho & Xororó & Ana Castela","Sinônimos"
45,"Oasis","Stop Crying Your Heart Out"
46,"The Outfield","Your Love"
