Shazam Top 50 Rio de Janeiro
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"Rosa Linn","SNAP"
2,"Tyla","Water"
3,"RÁAE","Fields of Gold (Terra e Paixão)"
4,"Peggy Gou","(It Goes Like) Nanana (Edit)"
5,"Manu & Simone Mendes","Daqui pra Sempre (Ao Vivo)"
6,"Chitãozinho & Xororó & Ana Castela","Sinônimos"
7,"Anitta, PEDRO SAMPAIO & DENNIS","Joga Pra Lua"
8,"Lynyrd Skynyrd","Simple Man"
9,"Sophie Ellis-Bextor","Murder On The Dancefloor"
10,"Yamê","Bécane - A Colors Show"
11,"Miley Cyrus","Flowers"
12,"P!nk","A Million Dreams"
13,"Lauana Prado","Me Leva Pra Casa / Escrito Nas Estrelas / Saudade (Ao Vivo)"
14,"Tate McRae","greedy"
15,"Sevdaliza","Marilyn Monroe"
16,"MC PH, MC Ryan SP & MC Luki","Let's Go 4 (feat. Mc Davi, Mc Don Juan, Mc Kadu, MC Gh do 7, MC GP, TrapLaudo, DJ Gbr & Mc IG)"
17,"Rema","Calm Down"
18,"Pedrinha Moraes","Pi Po Po Po Ro Po"
19,"Rihanna","Redemption Song (For Haiti Relief) [Live from Oprah]"
20,"Harry Styles","As It Was"
21,"Simon & Garfunkel","El Condor Pasa (If I Could)"
22,"Wiz Khalifa","See You Again (feat. Charlie Puth)"
23,"Jim James","State Of The Art (A.E.I.O.U.)"
24,"Gigi D'Agostino","L'amour Toujours"
25,"The Weeknd & Madonna","Popular (feat. Playboi Carti) [Music from the HBO Original Series The Idol]"
26,"Simone Mendes","Erro Gostoso (Ao Vivo)"
27,"Filipe Ret","Amor Livre (Ao Vivo)"
28,"Creedence Clearwater Revival","Have You Ever Seen The Rain"
29,"Grupo Menos É Mais & Matheus Fernandes","Lapada Dela (Ao Vivo)"
30,"Gotye","Somebody That I Used to Know (feat. Kimbra)"
31,"Eurythmics","Sweet Dreams (Are Made of This)"
32,"Curtis Mayfield","Move On Up"
33,"Metro Boomin, The Weeknd & Diddy","Creepin' (Remix) [feat. 21 Savage]"
34,"Ivete Sangalo & LUDMILLA","Macetando"
35,"Hozier","Take Me to Church"
36,"MC PH, Borges, WIU, Pedro Lotto & WEY","Tenho Que Me Decidir"
37,"DENNIS & MC Kevin O Chris","Tá OK"
38,"MC Cabelinho","Carta Aberta"
39,"Billie Eilish","bury a friend"
40,"Sorriso Maroto & LUDMILLA","Coração Deserto / Ninguém Merece Amar Sozinho / A Primeira Namorada (Ao Vivo)"
41,"David Guetta & Bebe Rexha","I'm Good (Blue)"
42,"Imany","Wonderful Life (Stream Jockey Rework)"
43,"Sorriso Maroto & Ferrugem","Ela (Ao Vivo)"
44,"Doce Encontro","Alucinado (Ao Vivo)"
45,"Quaker City Night Hawks","Beat the Machine"
46,"Keane","Everybody's Changing"
47,"The Weeknd","Save Your Tears"
48,"Mariana Nolasco","Quem É Ela?"
49,"Alok & Bebe Rexha","Deep In Your Love"
50,"Marília Mendonça","Leão"
