Shazam Top 50 São Paulo
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"Rosa Linn","SNAP"
2,"Lauana Prado","Me Leva Pra Casa / Escrito Nas Estrelas / Saudade (Ao Vivo)"
3,"Sophie Ellis-Bextor","Murder On The Dancefloor"
4,"Manu & Simone Mendes","Daqui pra Sempre (Ao Vivo)"
5,"Lynyrd Skynyrd","Simple Man"
6,"Tyla","Water"
7,"Tate McRae","greedy"
8,"RÁAE","Fields of Gold (Terra e Paixão)"
9,"P!nk","A Million Dreams"
10,"Rema","Calm Down"
11,"Angelina Jordan","Love Don't Let Me Go"
12,"Chitãozinho & Xororó & Ana Castela","Sinônimos"
13,"Miley Cyrus","Flowers"
14,"Harry Styles","As It Was"
15,"Rihanna","Redemption Song (For Haiti Relief) [Live from Oprah]"
16,"Gotye","Somebody That I Used to Know (feat. Kimbra)"
17,"Jim James","State Of The Art (A.E.I.O.U.)"
18,"Sevdaliza","Marilyn Monroe"
19,"Simon & Garfunkel","El Condor Pasa (If I Could)"
20,"Wiz Khalifa","See You Again (feat. Charlie Puth)"
21,"Pedrinha Moraes","Pi Po Po Po Ro Po"
22,"Curtis Mayfield","Move On Up"
23,"MC PH, MC Ryan SP & MC Luki","Let's Go 4 (feat. Mc Davi, Mc Don Juan, Mc Kadu, MC Gh do 7, MC GP, TrapLaudo, DJ Gbr & Mc IG)"
24,"Hozier","Take Me to Church"
25,"Imany","Wonderful Life (Stream Jockey Rework)"
26,"Depeche Mode","Enjoy the Silence"
27,"Billie Eilish","bury a friend"
28,"Yamê","Bécane - A Colors Show"
29,"The Weeknd","Blinding Lights"
30,"Metro Boomin, The Weeknd & Diddy","Creepin' (Remix) [feat. 21 Savage]"
31,"Ana Castela","Solteiro Forçado (Boiadeira Internacional)"
32,"Quaker City Night Hawks","Beat the Machine"
33,"Luke Combs","Fast Car"
34,"Luan Santana & Ana Castela","DEJA VU"
35,"Keane","Somewhere Only We Know"
36,"Michael Bolton & Justin Jesso","Beautiful World"
37,"The Handsome Family","Far from Any Road"
38,"Doechii","What It Is (Block Boy) [feat. Kodak Black]"
39,"Paul Russell","Lil Boo Thang"
40,"The Outfield","Your Love"
41,"Disturbed","The Sound of Silence"
42,"Stephen Sanchez","Until I Found You"
43,"DJ Tons","Always Remember Us This Way"
44,"R.E.M.","Losing My Religion"
45,"Grupo Menos É Mais & Matheus Fernandes","Lapada Dela (Ao Vivo)"
46,"DJ WN, Mc Hariel, MC Ryan SP, MC Paulin da Capital, Mc Lipi, MC Vinny, Gabb MC, Mc Kadu, Mc Daniel, MC Gh do 7 & Nog","Ritmista 1.0 (feat. Love Funk)"
47,"Taylor Swift","Anti-Hero"
48,"Dua Lipa","Houdini"
49,"Tears for Fears","Everybody Wants To Rule The World"
50,"Lewis Capaldi","Someone You Loved"
