Shazam Top 200 Bulgaria Chart
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"ZERB & Sofiya Nzau","Mwaki"
2,"Ofenbach","Overdrive (feat. Norma Jean Martine)"
3,"ADAM","Zhurek"
4,"Toka & Carine","Zilevo"
5,"Konstantinos Argiros","Elpida"
6,"Tyla","Water"
7,"David Guetta & Kim Petras","When We Were Young (The Logical Song)"
8,"Joezi","7 Seconds (feat. Coco & Pape Diouf)"
9,"Jack Harlow","Lovin On Me"
10,"Dara Ekimova","Дишам"
11,"DON XHONI & Dhurata Dora","Lej"
12,"Dimitri Vegas & Like Mike, Tiësto & Dido","Thank You (Not So Bad)"
13,"Teya Dora","Džanum"
14,"Kenya Grace","Strangers"
15,"Dara & Bobo","Няма да ми липсваш"
16,"BAER","Not Nice"
17,"Cleffy","Meet you at the Graveyard"
18,"Tate McRae","greedy"
19,"Medi","Надежда"
20,"Dj Damyan & Mile Kitic","Ти си топ"
21,"The Weeknd & Madonna","Popular (feat. Playboi Carti) [Music from the HBO Original Series The Idol]"
22,"Sherine","Sabry 'Aalil"
23,"Doja Cat","Paint The Town Red"
24,"Mabel Matiz","Fırtınadayım"
25,"Mihaela Marinova","Такава любов"
26,"Mandi & Bes Kallaku","Sarile"
27,"Dua Lipa","Houdini"
28,"Jason Derulo","Slow Low"
29,"CYRIL","Stumblin' In"
30,"Eleni Foureira & Mc daddy","Oh Mami"
31,"Hayit Murat","Na Ti Xerese"
32,"Peggy Gou","(It Goes Like) Nanana (Edit)"
33,"Loreen","Tattoo"
34,"J Balvin, USHER & DJ Khaled","Dientes"
35,"ADAM","Zhurek (Isko Alvarez remix)"
36,"NICKA","Дишай"
37,"Tedi Aleksandrova & Don Mario","Центрофуга"
38,"Lil Nas X","J CHRIST"
39,"Alan Walker & Daya","Heart over Mind"
40,"Emre Aydın & Model","Bir Pazar Kahvaltısı"
41,"Tiësto","Lay Low"
42,"Roger Sanchez","Again"
43,"Djena","Не е любов"
44,"cassö, RAYE & D-Block Europe","Prada"
45,"Natasha Bedingfield","Unwritten"
46,"Lepa Brena","Boliš I Ne Prolaziš"
47,"Troye Sivan","Rush"
48,"Cem Adrian","Keskin"
49,"He Is We","I Wouldn't Mind"
50,"Ihito","Mnogo qka"
51,"Yamê","Bécane - A Colors Show"
52,"STEFCHO BEND","Takti Po Takti"
53,"Dj Belite","All Eyes on Me"
54,"Teddy Swims","Lose Control"
55,"Christell","Dubidubidu"
56,"Purple Disco Machine & Kungs","Substitution (feat. Julian Perretta)"
57,"Edward Maya & Vika Jigulina","Stereo Love"
58,"Melody Gardot","C’est Magnifique (feat. António Zambujo)"
59,"Ace of Base","Happy Nation"
60,"Triantafillos","Se Perno Gia Na Sou Po"
61,"Dara","Заминавам"
62,"JID","Surround Sound (feat. 21 Savage & Baby Tate)"
63,"Teddy Swims & Freak Freely","Lose Control (Live)"
64,"Eneli, Kállay Saunders & Claydee","If You Never (feat. Christian Eberhard) [Christian Eberhard Remix]"
65,"Fiki","Майко"
66,"Flori Mumajesi","Nallane 2 (feat. Vicky DJ)"
67,"RAIKAHO","Из чёрного мерина (feat. Soul)"
68,"Nikos Vertis","S' Agapao"
69,"Nathan Dawe & Bebe Rexha","Heart Still Beating"
70,"Kendrick Lamar","Swimming Pools (Drank)"
71,"VICTORIA","bloom"
72,"Ina Gayardi","Без любов"
73,"Нели Рангелова & Георги Христов","Когато Се Огледам В Очите Ти"
74,"Stromae","Formidable"
75,"Gym Class Heroes","Cupid's Chokehold / Breakfast In America"
76,"DJ Burlak","Ban Go Ban Ga"
77,"Güldiyar Tanrıdağlı & Eda Güney","Umutsuz Aşk Sözlü (Yalı Çapkını Original Soundtrack)"
78,"Måneskin","HONEY (ARE U COMING?)"
79,"Loreen","Is It Love"
80,"Ella Henderson","Alibi (feat. Rudimental)"
81,"Henny & Breskvica","Ko To Tamo"
82,"Tsvetelina Yaneva","По Живота"
83,"Torino, Pashata & Преслава","Ако ти върна"
84,"Ariana Grande","yes, and?"
85,"Iordanis Agapitos","Pou Pou Pou (feat. Gogo Lidaki)"
86,"Defkhan, NELLIE & Fredo","Kapak Olsun"
87,"George Michael","Careless Whisper"
88,"Playmen & Klavdia","Movin' Too Fast"
89,"Doppelgänger","Blkn Bld VI"
90,"Fabrizio Parisi, The Editor & ALMA","Don't Run"
91,"Inna & Bob Taylor","Deja Vu (feat. Bob Taylor)"
92,"Sanja Vucic & Nucci","Ruzmarin"
93,"Руши","Без багаж"
94,"Alex Parker & ALMA","Hold You Down"
