Shazam Top 200 Cameroon Chart
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"Tam Sir","Coup du marteau (feat. Team Paiya, Ste Milano, Renard Barakissa, Tazeboy & PSK)"
2,"RJ Kanierra","Tia"
3,"Isaac BUKASA","Les bontés de l’Éternel"
4,"Dadju & Tayc","I love you"
5,"Jungeli, Imen Es & Alonzo","Petit génie (feat. Abou Debeing & Lossa)"
6,"Kizz Daniel","Twe Twe"
7,"One Peace","el vino"
8,"Chike & MohBad","Egwu"
9,"Magic System, Yemi Alade & محمد رمضان","Akwaba"
10,"shiley","On part la-bas"
11,"Asake","Lonely At The Top"
12,"Boy Spyce","Pepe"
13,"Fally Ipupa","Alliance"
14,"Yamê","Bécane - A Colors Show"
15,"Khaid","Anabella"
16,"Majeeed","Cry (shayo) [feat. Lojay]"
17,"Omah Lay","Holy Ghost"
18,"Aveiro Djess","developper"
19,"Peroo & Renard Barakissa","Maman matchôtchô"
20,"Chris Brown","Angel Numbers / Ten Toes"
21,"Tyla","Water"
22,"Marvel","Don't Let Me Down"
23,"Shallipopi","Cast (feat. ODUMODUBLVCK)"
24,"Fally Ipupa","MH"
25,"Eva Praise","Biggi Somtin"
26,"Gazo & Tiakola","CARTIER"
27,"Luis Bila","Zulu Prayer"
28,"Priscilia Twambi","Medley (live)"
29,"Afara Tsena","Afro Mbokalisation"
30,"Omah Lay","reason"
31,"TEAM DÉCALÉ","Ambiance"
32,"The Real Prechly, Dj Lux & Dj Guti BPM","A Collision of Two Worlds"
33,"Crayon & Ayra Starr","Ngozi"
34,"Franck DS","Pour Le Kior (feat. Ziba)"
35,"Nasboi","Umbrella (feat. Wande Coal)"
36,"Fally Ipupa","Afsana"
37,"Vanister Enama","Ma Vie Sera Top"
38,"Fally Ipupa","Mayday"
39,"Doja Cat","Agora Hills"
40,"MohBad","Ronaldo"
41,"King Rapsodi","Ashawo"
42,"Miles Away & Miles Away VIP","Bring Me Back (feat. Claire Ridgely) [Sped Up]"
43,"Fally Ipupa","SL"
44,"Himra & SK 07","Toi As Dit"
45,"Dadju & Tayc","Makila : Wablé"
46,"Patoranking","Babylon (feat. Victony)"
47,"Emma'a","Toi d'abord"
48,"MohBad","Peace"
49,"DJ Neptune & Joeboy","Mumu"
50,"Dinez B","Paris London"
51,"Ebuka Songs","Calling My Name (I'm a Soldier) [Live]"
52,"Jeady Jay","Truc en plus / Hold You (Medley)"
53,"Khaid & Boy Spyce","Carry Me Go"
54,"Krys M","Il va donner pour moi"
55,"SenSey'","Coco & Chanel"
56,"PETIT KANTE","wize man"
57,"KCee","Ojapiano"
58,"Sarkodie","Otan"
59,"MPUTU MEYA","Loketo (feat. Rebo Tchulo & Innoss'B) [Remix]"
60,"Spyro & Tiwa Savage","Who Is Your Guy? (Remix)"
61,"Paulo Chakal","Y'a Dieu dedans (feat. Didi B)"
62,"Fireboy DML & Asake","Bandana"
63,"Baladji Kwata","CÔTE D'IVOIRE on arrive (feat. Zota)"
64,"AJ BAHBOY","Real Life"
65,"B Young","Ride for Me"
66,"Kizz Daniel","Too Busy To Be Bae"
67,"Dj Bentoa","YESHUA (dance cruise)"
68,"Password","Amaghimo"
69,"Ayra Starr","Rush"
70,"Mink's","Ton comportement (feat. Ko-C)"
71,"Salatiel","Closer (feat. Charlotte Dipanda)"
72,"Fally Ipupa","Marlène"
73,"Blanche Bailly","Le Feu (feat. Elow'n)"
74,"Dj Yk Beats","Soja Beat"
75,"Fally Ipupa","Seul amour"
76,"Kamo Mphela, Tyler ICU & Khalil Harrison","Dalie (feat. Baby S.O.N)"
77,"JZyNO","Butta My Bread (feat. Lasmid)"
78,"Tim Godfrey X Fearless Community","Big God (feat. Anderson)"
79,"Merveille","Citadelle"
80,"PhillBill","Malova (feat. Krys M)"
81,"Fally Ipupa","Lady D"
82,"Lil Durk","All My Life (feat. J. Cole)"
83,"MohBad","Feel Good"
84,"Gyakie","Rent Free"
85,"Davido","FEEL"
86,"MRKING","Acolyte (feat. Yitou)"
87,"Ulanda","Mon Mari"
88,"Omah Lay","soso"
89,"Conor Maynard","Someone You Loved"
90,"Iyanya","One Side"
91,"Merveille","Ghetto"
92,"Larry Gaaga","Doe (feat. Davido)"
93,"Flavour","Game Changer (Dike)"
94,"Kizz Daniel","My G"
95,"Fally Ipupa","cœur Amoureux"
96,"Tyler ICU & Tumelo.za","Mnike (feat. DJ Maphorisa, Nandipha808, Ceeka RSA & Tyron Dee)"
97,"Roseline Layo","Amour Kôyô Kôyô"
98,"Josey","VENEZ BOUGER"
99,"MPUTU MEYA","Loketo"
100,"Diamond Platnumz","Shu! (feat. Chley)"
101,"Camidoh, Mayorkun & Darkoo","Sugarcane (feat. King Promise) [Remix]"
102,"Joly garçon","VANESSA"
103,"Mavins, Crayon & Ayra Starr","Overloading (OVERDOSE) [feat. LADIPOE, Magixx & Boy Spyce]"
104,"Victony & Tempoe","Soweto (Sped up)"
105,"Jungeli & DYSTINCT","Rashel"
106,"DJ Y.T","Que du sal commence - Pongi (feat. Ave Le Roi & Master Virus) [Instrumental]"
107,"Mr Shyne","Ils vont aimer (feat. Tiesco le sultan & Fadil le sorcier)"
108,"Khaid","Marry (feat. Shallipopi)"
109,"Lil Tjay","2 Grown (feat. The Kid LAROI)"
110,"Jeady Jay","Truc en plus"
111,"310babii","Soak City (Do it)"
112,"Johnny Drille","How Are You (My Friend)"
113,"Rema","Charm"
114,"Fally Ipupa","Disqualifié"
115,"Josey","Je te kala pas"
116,"DJ Luna Maserati & Kratos Beat","Palala (Instrumental)"
117,"Ruger","Girlfriend"
118,"Burna Boy","Common Person"
119,"DJ KEROZEN","Arc de triomphe (feat. Didi B)"
120,"Zlatan","10 Bottles"
121,"Petit Virus","L'amour du mbolé (feat. Watto De Souza)"
122,"Fally Ipupa","Mal accompagné"
123,"Teejay & Davido","Drift (Remix)"
124,"Meiitod","Adieu"
125,"Cysoul","Piqué"
126,"Ruger","Asiwaju"
127,"Tzy Panchak","L'homme Est Mauvais (feat. Salatiel, Cleo Grae & Vivid)"
128,"Dydy Yeman","La Pression"
129,"Alec Benjamin","Let Me Down Slowly"
130,"Flavour","Big Baller"
131,"Kabral & Bovann","Ma décision"
132,"JID","Surround Sound (feat. 21 Savage & Baby Tate)"
133,"Fally Ipupa","Bakalos"
134,"Spyro","Only Fine Girl"
135,"Iyanya, Mayorkun & Tekno","One Side (Remix)"
136,"Jules Ysok","Mata Kuna Yo (feat. Rebo)"
137,"Qing Madi","American Love"
138,"Sandra Mbuyi","Goodness"
139,"Fally Ipupa","Se Yo"
140,"Omo Ebira Beatz","Happiest Year (Afro Mara)"
141,"Victony & Tempoe","Soweto"
142,"Ninho & Omah Lay","Bad"
143,"Kizz Daniel","﻿﻿Anchovy"
144,"Elisha K & Rinyu","Loner"
145,"Ste Milano","VROUM VROUM"
146,"Stanley Enow","Take Ova"
147,"Blanche Bailly","Dieu Donné"
148,"Zahara","Loliwe"
149,"Jeady Jay","Ma woman"
150,"Victony","Ohema (feat. Crayon & Bella Shmurda)"
151,"Vanister Enama","Je m'en fous"
152,"Fally Ipupa","Centième dossier"
153,"Alan Cavé","Se Pa Pou Dat"
154,"Grace Decca","CHALLENGE"
155,"Ninho & Ayra Starr","No love"
156,"Dave & Tiakola","Meridian"
157,"Ali Gatie","What If I Told You That I Love You"
158,"Ayra Starr","Sability"
159,"Ali Jita","Saminai Rmx"
160,"Madano","Les Choses de l'Amour"
161,"Fally Ipupa","Garde du cœur (feat. Charlotte Dipanda)"
162,"Gazo & Tiakola","MAMI WATA"
163,"Holy Drill","Joy in Chaos"
164,"Fally Ipupa","De La Renta"
165,"Jux & Diamond Platnumz","Enjoy"
166,"King Promise","Terminator (feat. Young Jonn)"
167,"Jogga","SKEU SKEU (feat. wilsko & 7ia)"
168,"Ste Milano","Vroum! Vroum!"
169,"RETLAW LMB","Petit Papa Noël (Cameroun)"
170,"S.O.N Music & Neeja","Darling Jesus"
171,"El Jay & Didi B","Tout Laisse"
172,"Fally Ipupa","Éternité"
173,"Dj Kawest & Gaëlle","Serre-moi fort"
174,"Fally Ipupa","Noctambule"
175,"Faveur Mukoko","Rémunérateur (feat. Rolly Kasonga Jr & Tehilla Vin's) [Live Recording]"
176,"Kedjevara & Extra Musica Nouvel Horizon","Tia Lokolo"
177,"Lucky + 2","Donne ma part"
178,"ODUMODUBLVCK & Black Sherif","WOTOWOTO SEASONING"
179,"Blacky star","Sors ta part je sors ma part"
180,"Nimix & Philipiano","Sapa No Fit Catch Me"
181,"Omah Lay","i'm a mess"
182,"ODUMODUBLVCK, Bloody Civilian & Wale","BLOOD ON THE DANCE FLOOR"
183,"Burna Boy","City Boys"
184,"Nicki Minaj","Are You Gone Already"
185,"Asake","Only Me"
186,"Roga Roga","Bokoko (feat. Extra Musica)"
187,"Rema","Calm Down"
188,"Toofan","C pas normal"
189,"Koffi Olomidé","Legende (feat. Davido)"
190,"Master KG","Ntlo Ea Swa"
191,"Fally Ipupa","Boulé"
192,"Indila","Love Story"
193,"Chike & Simi","Running (To You)"
194,"Roseline Layo","C'est la même phase"
195,"Axel Merryl","Kimi"
196,"Faveur Mukoko","Rémunérateur"
197,"Locko","SOS"
198,"Bnxn, Kizz Daniel & Seyi Vibez","GWAGWALADA"
199,"The Wellermen, Ebucs, Eric Hollaway & Daniel Brevik","Hoist the Colours"
200,"Tom Odell","Another Love"
