Shazam Top 50 Calgary
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"Teddy Swims","Lose Control"
2,"Jim James","State Of The Art (A.E.I.O.U.)"
3,"Lynyrd Skynyrd","Simple Man"
4,"Jack Harlow","Lovin On Me"
5,"Billie Eilish","bury a friend"
6,"Charlotte Cardin","Confetti"
7,"Jelly Roll","Save Me (with Lainey Wilson)"
8,"Zach Bryan","I Remember Everything (feat. Kacey Musgraves)"
9,"Quaker City Night Hawks","Beat the Machine"
10,"LU KALA","Hotter Now"
11,"Soul Coughing","Super Bon Bon"
12,"Paul Russell","Lil Boo Thang"
13,"Taylor Swift","Is It Over Now? (Taylor's Version) [From The Vault]"
14,"Tate McRae","greedy"
15,"Billie Eilish","What Was I Made For? (From The Motion Picture "Barbie")"
16,"TALK","Run Away to Mars"
17,"Sophie Ellis-Bextor","Murder On The Dancefloor"
18,"bbno$","edamame (feat. Rich Brian)"
19,"Jamie Fine","If Anything's Left"
20,"Chris Stapleton","White Horse"
21,"Kenya Grace","Strangers"
22,"Noah Kahan","Stick Season"
23,"Miley Cyrus","Used To Be Young"
24,"Dua Lipa","Houdini"
25,"Christine and the Queens","Full of life"
26,"Noah Kahan & Post Malone","Dial Drunk"
27,"Rema","Calm Down"
28,"Tyla","Water"
29,"Doja Cat","Paint The Town Red"
30,"The Unthanks","Magpie"
31,"Luke Combs","Where the Wild Things Are"
32,"Marshmello, P!nk & Sting","Dreaming"
33,"4 Non Blondes","What's Up?"
34,"Benson Boone","Beautiful Things"
35,"Bronski Beat","Smalltown Boy"
36,"Sum 41","Landmines"
37,"Tomcraft","Loneliness (Radio Cut)"
38,"The Crutch","Keep on Risin'"
39,"Ed Sheeran","Overpass Graffiti"
40,"Skydiggers","I Will Give You Everything"
41,"Olivia Rodrigo","vampire"
42,"MGMT","Time to Pretend"
43,"Owen Riegling","Old Dirt Roads"
44,"Chayce Beckham","23"
45,"Loud Luxury, Two Friends & Bebe Rexha","If Only I"
46,"Rêve","Contemporary Love"
47,"Lainey Wilson","Wildflowers and Wild Horses"
48,"Morgan Wallen","Thinkin’ Bout Me"
49,"MONOWHALES","Hear Me Out"
50,"Ariana Grande","yes, and?"
