Shazam Top 200 Canada Chart
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"Teddy Swims","Lose Control"
2,"Jack Harlow","Lovin On Me"
3,"Sophie Ellis-Bextor","Murder On The Dancefloor"
4,"He Is We","I Wouldn't Mind"
5,"Benson Boone","Beautiful Things"
6,"Tate McRae","greedy"
7,"LU KALA","Hotter Now"
8,"Tyla","Water"
9,"Jim James","State Of The Art (A.E.I.O.U.)"
10,"Zach Bryan","I Remember Everything (feat. Kacey Musgraves)"
11,"Lynyrd Skynyrd","Simple Man"
12,"Noah Kahan","Stick Season"
13,"Paul Russell","Lil Boo Thang"
14,"4batz","Act ii: Date @ 8"
15,"Charlotte Cardin","Confetti"
16,"21 Savage","redrum"
17,"Billie Eilish","bury a friend"
18,"Yamê","Bécane - A Colors Show"
19,"Kenya Grace","Strangers"
20,"Taylor Swift","Is It Over Now? (Taylor's Version) [From The Vault]"
21,"YG Marley","Praise Jah In the Moonlight"
22,"Billie Eilish","What Was I Made For? (From The Motion Picture "Barbie")"
23,"Drake","Rich Baby Daddy (feat. Sexyy Red & SZA)"
24,"Marshmello & Manuel Turizo","El Merengue"
25,"JID","Surround Sound (feat. 21 Savage & Baby Tate)"
26,"Flume","Never Be Like You (feat. KAI)"
27,"bbno$","edamame (feat. Rich Brian)"
28,"Noah Kahan & Post Malone","Dial Drunk"
29,"Doja Cat","Agora Hills"
30,"Dua Lipa","Houdini"
31,"Chris Stapleton","White Horse"
32,"Afsana Khan","Koi Si"
33,"TALK","Run Away to Mars"
34,"Jelly Roll","Save Me (with Lainey Wilson)"
35,"The Weeknd & Madonna","Popular (feat. Playboi Carti) [Music from the HBO Original Series The Idol]"
36,"Quaker City Night Hawks","Beat the Machine"
37,"Flo Milli","Never Lose Me"
38,"Jamie Fine","If Anything's Left"
39,"Rema","Calm Down"
40,"Soul Coughing","Super Bon Bon"
41,"Natasha Bedingfield","Unwritten"
42,"Ariana Grande","yes, and?"
43,"Marshmello, P!nk & Sting","Dreaming"
44,"Michael Marcagi","Scared To Start"
45,"Morgan Wallen","Thinkin’ Bout Me"
46,"Miley Cyrus","Used To Be Young"
47,"Chris Brown","Angel Numbers / Ten Toes"
48,"MGMT","Time to Pretend"
49,"Preston Pablo","Dance Alone"
50,"Doja Cat","Paint The Town Red"
51,"J Balvin, USHER & DJ Khaled","Dientes"
52,"Edward Maya & Vika Jigulina","Stereo Love"
53,"Christine and the Queens","Full of life"
54,"Sherine","Sabry 'Aalil"
55,"Olivia Rodrigo","vampire"
56,"Cigarettes After Sex","Apocalypse"
57,"Lvbel C5","DOĞUŞTAN BERİ HAKLIYIM (tmm)"
58,"Travis Scott","MY EYES"
59,"LXNGVX","Montagem Mysterious Game"
60,"21 Savage, Travis Scott & Metro Boomin","née-nah"
61,"The Weeknd, JENNIE & Lily Rose Depp","One Of The Girls"
62,"Luke Combs","Where the Wild Things Are"
63,"Bronski Beat","Smalltown Boy"
64,"Drake","You Broke My Heart"
65,"Cash Cash & Taylor Dayne","Tell It To My Heart"
66,"Tom Odell","Another Love"
67,"Milky Chance","Living In A Haze"
68,"Cleffy","Meet you at the Graveyard"
69,"Mary J. Blige","Family Affair"
70,"Lil Nas X","J CHRIST"
71,"Sunstroke Project","Run Away (feat. Olia Tira)"
72,"The Unthanks","Magpie"
73,"Nickelback","How You Remind Me"
74,"D-Block Europe & Central Cee","Overseas"
75,"Rêve","Contemporary Love"
76,"Katya Lel","Мой мармеладный (Я не права)"
77,"Empire of the Sun","We Are The People"
78,"Nicki Minaj","Needle (feat. Drake)"
79,"Charlotte Cardin","99 Nights"
80,"Nicki Minaj","FTCU"
81,"Luke Combs","Fast Car"
82,"Chayce Beckham","23"
83,"blink-182","ONE MORE TIME"
84,"Muni Long","Made For Me"
85,"David Kushner","Daylight"
86,"Taylor Swift","Cruel Summer"
87,"Alexander Stewart","i wish you cheated"
88,"Travis Scott","TIL FURTHER NOTICE (feat. James Blake & 21 Savage)"
89,"Peggy Gou","(It Goes Like) Nanana (Edit)"
90,"Teddy Swims & Freak Freely","Lose Control (Live)"
91,"Loud Luxury, Two Friends & Bebe Rexha","If Only I"
92,"TALK","A Little Bit Happy"
93,"Tate McRae","exes"
94,"Cody Johnson","The Painter"
95,"Curtis Mayfield","Move On Up"
96,"Clams Casino & Imogen Heap","I'm God"
97,"Zeddy Will","Cha Cha"
98,"Ocean Alley","Confidence"
99,"Morgan Wallen","Last Night"
100,"Olivia Rodrigo","get him back!"
101,"Ayra Starr","Rush"
102,"Keane","Somewhere Only We Know"
103,"Owen Riegling","Old Dirt Roads"
104,"Ed Sheeran","Overpass Graffiti"
105,"Rich Amiri","One Call"
106,"Gym Class Heroes","Cupid's Chokehold / Breakfast In America"
107,"Imany","Wonderful Life (Stream Jockey Rework)"
108,"310babii","Soak City (Do it)"
109,"Lainey Wilson","Wildflowers and Wild Horses"
110,"George Michael","Careless Whisper"
111,"Creed","One Last Breath"
112,"Bad Bunny","MONACO"
113,"KALEO","Way Down We Go"
114,"Frank Walker","Missing You (feat. Nate Smith)"
115,"Maestro Fresh-Wes","Stick To Your Vision"
116,"Tomcraft","Loneliness (Radio Cut)"
117,"4 Non Blondes","What's Up?"
118,"50 Cent","Baby By Me (feat. Ne-Yo)"
119,"Shaya Zamora","Cigarette"
120,"Mike Demero, Aloe Blacc & Alexe","Night in Paris (Version française)"
121,"mikeeysmind & SANIKWAVE","VVV"
122,"Miley Cyrus","Flowers"
123,"M83","Midnight City"
124,"Mitski","My Love Mine All Mine"
125,"DJ Snake","Let Me Love You (feat. Justin Bieber)"
126,"Fleetwood Mac","Everywhere"
127,"Don Toliver","Private Landing (feat. Justin Bieber & Future)"
128,"Olivia Rodrigo","Can’t Catch Me Now (from The Hunger Games: The Ballad of Songbirds & Snakes)"
129,"Loud Luxury","Young & Foolish (feat. charlieonnafriday)"
130,"Doechii","What It Is (Block Boy) [feat. Kodak Black]"
131,"Kendrick Lamar","Swimming Pools (Drank)"
132,"Gotye","Somebody That I Used to Know (feat. Kimbra)"
133,"Farruko","Pepas"
134,"Lucenzo","Danza Kuduro (feat. Don Omar)"
135,"Reneé Rapp & Megan Thee Stallion","Not My Fault"
136,"Jelly Roll","Need A Favor"
137,"Beat Mob","Fly wit Me"
138,"Good Neighbours","Home"
139,"R.E.M.","Oh My Heart"
140,"Edward Sharpe & The Magnetic Zeros","Home"
141,"Yeah Yeah Yeahs","Burning"
142,"Lil Wayne","Love Me (feat. Drake & Future)"
143,"Jagwar Twin","Bad Feeling (Oompa Loompa)"
144,"Tam Sir","Coup du marteau (feat. Team Paiya, Ste Milano, Renard Barakissa, Tazeboy & PSK)"
145,"Ariana Grande","bloodline"
146,"Boa","Duvet"
147,"Skydiggers","I Will Give You Everything"
148,"David Guetta & Bebe Rexha","I'm Good (Blue)"
149,"Tears for Fears","Everybody Wants To Rule The World"
150,"Jay Hound, Jay5ive & SweepersENT","Ukraine"
151,"Lewis Capaldi","Someone You Loved"
152,"Preston Pablo & Banx & Ranx","Flowers Need Rain"
153,"Nicki Minaj","Everybody (feat. Lil Uzi Vert)"
154,"Harry James","It's Been a Long, Long Time"
155,"HARDY","TRUCK BED"
156,"Creepy Nuts","Bling-Bang-Bang-Born"
157,"RAYE & 070 Shake","Escapism."
158,"Dua Lipa","Dance The Night (From Barbie The Album)"
159,"Travis Scott","I KNOW ?"
160,"The Wellermen, Ebucs, Eric Hollaway & Daniel Brevik","Hoist the Colours"
161,"The Crutch","Keep on Risin'"
162,"Jungeli, Imen Es & Alonzo","Petit génie (feat. Abou Debeing & Lossa)"
163,"Charlotte Cardin","Jim Carrey"
164,"JACE Carrillo & Alyko","Eclipse"
165,"Lesley Gore","You Don't Own Me"
166,"ZERB & Sofiya Nzau","Mwaki"
167,"Jade LeMac","Constellations (Piano Version)"
168,"That Mexican OT","02.02.99"
169,"David Guetta & Kim Petras","When We Were Young (The Logical Song)"
170,"Snoh Aalegra","Nothing Burns Like The Cold (feat. Vince Staples)"
171,"Aerosmith","Dream On"
172,"Dimitri Vegas & Like Mike, Tiësto & Dido","Thank You (Not So Bad)"
173,"Kanye West","Runaway (feat. Pusha T)"
174,"Gunna","fukumean"
175,"Haddaway","What Is Love"
176,"Harry Styles","As It Was"
177,"Timbaland","The Way I Are (feat. Keri Hilson & D.O.E.)"
178,"21 Savage & Summer Walker","prove it"
179,"Sum 41","Landmines"
180,"OneRepublic","I Ain't Worried"
181,"The Neighbourhood","Softcore"
182,"The Red Clay Strays","Wondering Why"
183,"DIVINE & Karan Aujla","100 Million"
184,"Connor Price & Haviah Mighty","Trendsetter"
185,"The Handsome Family","Far from Any Road"
186,"Icona Pop","I Love It (feat. Charli XCX)"
187,"Lady Gaga","Bloody Mary"
188,"Lewis Capaldi","Wish You The Best"
189,"Peso Pluma & Anitta","BELLAKEO"
190,"Roach Killa, Arif Lohar & Deep Jandu","Aa"
191,"Kali Uchis & Peso Pluma","Igual Que Un Ángel"
192,"Hoobastank","The Reason"
193,"ODECORE","HYPNOTIC DATA (feat. Odetari) [Slowed & Reverbed]"
194,"The Outfield","Your Love"
195,"Journey","Don't Stop Believin'"
196,"Nate Smith","World on Fire"
197,"USHER","Yeah! (feat. Lil Jon & Ludacris)"
198,"Ed Sheeran","Shivers"
199,"Loud Luxury & DVBBS","Next To You (feat. Kane Brown)"
200,"Savi Kahlon","Apa Fer Milaange (LIVE)"
