Shazam Top 50 Edmonton
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"Teddy Swims","Lose Control"
2,"Jack Harlow","Lovin On Me"
3,"Skydiggers","I Will Give You Everything"
4,"Jim James","State Of The Art (A.E.I.O.U.)"
5,"Noah Kahan","Stick Season"
6,"Charlotte Cardin","Confetti"
7,"Quaker City Night Hawks","Beat the Machine"
8,"Lynyrd Skynyrd","Simple Man"
9,"Billie Eilish","What Was I Made For? (From The Motion Picture "Barbie")"
10,"Taylor Swift","Is It Over Now? (Taylor's Version) [From The Vault]"
11,"Jelly Roll","Save Me (with Lainey Wilson)"
12,"Soul Coughing","Super Bon Bon"
13,"Jamie Fine","If Anything's Left"
14,"Paul Russell","Lil Boo Thang"
15,"Tate McRae","greedy"
16,"Zach Bryan","I Remember Everything (feat. Kacey Musgraves)"
17,"bbno$","edamame (feat. Rich Brian)"
18,"Noah Kahan & Post Malone","Dial Drunk"
19,"Sophie Ellis-Bextor","Murder On The Dancefloor"
20,"Billie Eilish","bury a friend"
21,"Luke Combs","Where the Wild Things Are"
22,"Doja Cat","Paint The Town Red"
23,"Lainey Wilson","Wildflowers and Wild Horses"
24,"Yeah Yeah Yeahs","Burning"
25,"David Kushner","Daylight"
26,"LU KALA","Hotter Now"
27,"Owen Riegling","Old Dirt Roads"
28,"Dua Lipa","Houdini"
29,"TALK","Run Away to Mars"
30,"Alexander Stewart","i wish you cheated"
31,"TALK","Wasteland"
32,"Cigarettes After Sex","Apocalypse"
33,"Cannons","Loving You"
34,"Rêve","Contemporary Love"
35,"Miley Cyrus","Used To Be Young"
36,"blink-182","ONE MORE TIME"
37,"Bronski Beat","Smalltown Boy"
38,"Chayce Beckham","23"
39,"Ed Sheeran","Overpass Graffiti"
40,"Chris Stapleton","White Horse"
41,"Tyla","Water"
42,"Lil Nas X","J CHRIST"
43,"Christine and the Queens","Full of life"
44,"Josh Ross","Ain't Doin' Jack"
45,"Olivia Rodrigo","vampire"
46,"The Unthanks","Magpie"
47,"The Afters","When You're with Me"
48,"Loud Luxury","Young & Foolish (feat. charlieonnafriday)"
49,"Ariana Grande","yes, and?"
50,"Mumford & Sons & Pharrell Williams","Good People"
