Shazam Top 50 London
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"Teddy Swims","Lose Control"
2,"Jack Harlow","Lovin On Me"
3,"Zach Bryan","I Remember Everything (feat. Kacey Musgraves)"
4,"Lynyrd Skynyrd","Simple Man"
5,"Quaker City Night Hawks","Beat the Machine"
6,"Paul Russell","Lil Boo Thang"
7,"Jelly Roll","Save Me (with Lainey Wilson)"
8,"Tyla","Water"
9,"Charlotte Cardin","Confetti"
10,"Jim James","State Of The Art (A.E.I.O.U.)"
11,"Billie Eilish","bury a friend"
12,"LU KALA","Hotter Now"
13,"Tate McRae","greedy"
14,"Noah Kahan & Post Malone","Dial Drunk"
15,"Taylor Swift","Is It Over Now? (Taylor's Version) [From The Vault]"
16,"Soul Coughing","Super Bon Bon"
17,"Luke Combs","Where the Wild Things Are"
18,"Jamie Fine","If Anything's Left"
19,"Preston Pablo","Dance Alone"
20,"Billie Eilish","What Was I Made For? (From The Motion Picture "Barbie")"
21,"Lil Nas X","J CHRIST"
22,"Owen Riegling","Old Dirt Roads"
23,"Dua Lipa","Houdini"
24,"Christine and the Queens","Full of life"
25,"Sophie Ellis-Bextor","Murder On The Dancefloor"
26,"Noah Kahan","Stick Season"
27,"Chris Stapleton","White Horse"
28,"Miley Cyrus","Used To Be Young"
29,"Taylor Swift","Cruel Summer"
30,"Lainey Wilson","Wildflowers and Wild Horses"
31,"Charlotte Cardin","99 Nights"
32,"Kenya Grace","Strangers"
33,"Loud Luxury, Two Friends & Bebe Rexha","If Only I"
34,"Ariana Grande","yes, and?"
35,"TALK","Run Away to Mars"
36,"bbno$","edamame (feat. Rich Brian)"
37,"Rema","Calm Down"
38,"Luke Combs","Fast Car"
39,"Morgan Wallen","Thinkin’ Bout Me"
40,"Nate Smith","World on Fire"
41,"Rêve","Contemporary Love"
42,"Alexander Stewart","i wish you cheated"
43,"blink-182","ONE MORE TIME"
44,"Nicki Minaj","Needle (feat. Drake)"
45,"Benson Boone","Beautiful Things"
46,"R.E.M.","Oh My Heart"
47,"Tate McRae","exes"
48,"Olivia Rodrigo","vampire"
49,"Doja Cat","Paint The Town Red"
50,"Sum 41","Landmines"
