Shazam Top 50 Montréal
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"Teddy Swims","Lose Control"
2,"Marshmello & Manuel Turizo","El Merengue"
3,"Jack Harlow","Lovin On Me"
4,"J Balvin, USHER & DJ Khaled","Dientes"
5,"Tyla","Water"
6,"LU KALA","Hotter Now"
7,"Cash Cash & Taylor Dayne","Tell It To My Heart"
8,"JACE Carrillo & Alyko","Eclipse"
9,"Marshmello, P!nk & Sting","Dreaming"
10,"Noah Kahan","Stick Season"
11,"Chris Stapleton","White Horse"
12,"DJ Cassidy & Shaggy","If You Like Pina Coladas (feat. Rayvon)"
13,"Tate McRae","greedy"
14,"Dua Lipa","Houdini"
15,"Mike Demero, Aloe Blacc & Alexe","Night in Paris (Version française)"
16,"TALK","Run Away to Mars"
17,"TALK","A Little Bit Happy"
18,"Milky Chance","Living In A Haze"
19,"Paul Russell","Lil Boo Thang"
20,"Sophie Ellis-Bextor","Murder On The Dancefloor"
21,"Lynyrd Skynyrd","Simple Man"
22,"Ayra Starr","Rush"
23,"Billie Eilish","What Was I Made For? (From The Motion Picture "Barbie")"
24,"Teddy Swims & Freak Freely","Lose Control (Live)"
25,"Noah Kahan & Post Malone","Dial Drunk"
26,"Imany","Wonderful Life (Stream Jockey Rework)"
27,"Jim James","State Of The Art (A.E.I.O.U.)"
28,"Cigarettes After Sex","Apocalypse"
29,"Taylor Swift","Is It Over Now? (Taylor's Version) [From The Vault]"
30,"Rema","Calm Down"
31,"Charlotte Cardin","Jim Carrey"
32,"Preston Pablo","Dance Alone"
33,"Morgan Wallen","Thinkin’ Bout Me"
34,"Rêve","Contemporary Love"
35,"bbno$","edamame (feat. Rich Brian)"
36,"Tiësto","Lay Low"
37,"Charlotte Cardin","Confetti"
38,"Ariana Grande","yes, and?"
39,"Curtis Mayfield","Move On Up"
40,"Miley Cyrus","Used To Be Young"
41,"Lewis Capaldi","Wish You The Best"
42,"Kenya Grace","Strangers"
43,"Bronski Beat","Smalltown Boy"
44,"Miley Cyrus","Flowers"
45,"Tom Odell","Another Love"
46,"Mike Demero & Aloe Blacc","Night in Paris"
47,"Billie Eilish","bury a friend"
48,"Olivia Rodrigo","vampire"
49,"Pitbull & Nile Rodgers","Freak 54 (Freak Out)"
50,"Cody Johnson","The Painter"
