Shazam Top 50 Ottawa
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"Teddy Swims","Lose Control"
2,"Jack Harlow","Lovin On Me"
3,"Lynyrd Skynyrd","Simple Man"
4,"Jim James","State Of The Art (A.E.I.O.U.)"
5,"LU KALA","Hotter Now"
6,"Noah Kahan","Stick Season"
7,"Quaker City Night Hawks","Beat the Machine"
8,"Jelly Roll","Save Me (with Lainey Wilson)"
9,"Frank Walker","Missing You (feat. Nate Smith)"
10,"Billie Eilish","bury a friend"
11,"Sophie Ellis-Bextor","Murder On The Dancefloor"
12,"Zach Bryan","I Remember Everything (feat. Kacey Musgraves)"
13,"Tate McRae","greedy"
14,"Billie Eilish","What Was I Made For? (From The Motion Picture "Barbie")"
15,"Lil Nas X","J CHRIST"
16,"Doja Cat","Paint The Town Red"
17,"Alexander Stewart","i wish you cheated"
18,"Drake","Rich Baby Daddy (feat. Sexyy Red & SZA)"
19,"Tyla","Water"
20,"Preston Pablo","Dance Alone"
21,"TALK","Run Away to Mars"
22,"Paul Russell","Lil Boo Thang"
23,"Dua Lipa","Houdini"
24,"Teddy Swims & Freak Freely","Lose Control (Live)"
25,"Noah Kahan & Post Malone","Dial Drunk"
26,"Taylor Swift","Is It Over Now? (Taylor's Version) [From The Vault]"
27,"Chris Stapleton","White Horse"
28,"Charlotte Cardin","Confetti"
29,"Luke Combs","Where the Wild Things Are"
30,"Rêve","Contemporary Love"
31,"The Unthanks","Magpie"
32,"Miley Cyrus","Used To Be Young"
33,"Doja Cat","Agora Hills"
34,"bbno$","edamame (feat. Rich Brian)"
35,"Soul Coughing","Super Bon Bon"
36,"Kenya Grace","Strangers"
37,"blink-182","ONE MORE TIME"
38,"Ariana Grande","yes, and?"
39,"Dom Dolla & Nelly Furtado","Eat Your Man"
40,"Christine and the Queens","Full of life"
41,"Charlotte Cardin","99 Nights"
42,"Tate McRae","exes"
43,"Skydiggers","I Will Give You Everything"
44,"Owen Riegling","Old Dirt Roads"
45,"Bronski Beat","Smalltown Boy"
46,"Curtis Mayfield","Move On Up"
47,"Olivia Rodrigo","vampire"
48,"Kygo & Ava Max","Whatever"
49,"Cigarettes After Sex","Apocalypse"
50,"Mike Demero, Aloe Blacc & Alexe","Night in Paris (Version française)"
