Shazam Top 50 Québec
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"Teddy Swims","Lose Control"
2,"TALK","Run Away to Mars"
3,"Noah Kahan","Stick Season"
4,"Milky Chance","Living In A Haze"
5,"Marshmello & Manuel Turizo","El Merengue"
6,"Marshmello, P!nk & Sting","Dreaming"
7,"TALK","A Little Bit Happy"
8,"Teddy Swims & Freak Freely","Lose Control (Live)"
9,"Mike Demero, Aloe Blacc & Alexe","Night in Paris (Version française)"
10,"Zach Bryan","I Remember Everything (feat. Kacey Musgraves)"
11,"Noah Kahan & Post Malone","Dial Drunk"
12,"Phil Lauzon","The Climb"
13,"Paul Russell","Lil Boo Thang"
14,"Andréanne A. Malette","Le reste du temps"
15,"Lynyrd Skynyrd","Simple Man"
16,"Cigarettes After Sex","Apocalypse"
17,"James Blunt","Beside You"
18,"blink-182","ONE MORE TIME"
19,"Sophie Ellis-Bextor","Murder On The Dancefloor"
20,"bbno$","edamame (feat. Rich Brian)"
21,"Olivia Rodrigo","vampire"
22,"Imany","Wonderful Life (Stream Jockey Rework)"
23,"Cash Cash & Taylor Dayne","Tell It To My Heart"
24,"LU KALA","Hotter Now"
25,"Tate McRae","greedy"
26,"Ashes of Billy","Feel you around"
27,"Shinedown","A Symptom Of Being Human"
28,"Miley Cyrus","Used To Be Young"
29,"Luke Combs","Fast Car"
30,"Charlotte Cardin","Feel Good"
31,"Mike Demero & Aloe Blacc","Night in Paris"
32,"Cody Johnson","The Painter"
33,"Rema","Calm Down"
34,"Dua Lipa","Houdini"
35,"Morgan Wallen","Thinkin’ Bout Me"
36,"Miley Cyrus","Flowers"
37,"David Kushner","Daylight"
38,"Led Zeppelin","Stairway to Heaven"
39,"Luke Combs","The Kind of Love We Make"
40,"Jelly Roll","Need A Favor"
41,"Bronski Beat","Smalltown Boy"
42,"Fleetwood Mac","Everywhere"
43,"Ed Sheeran","Life Goes On"
44,"Quaker City Night Hawks","Beat the Machine"
45,"KALEO","Way Down We Go"
46,"Fall Out Boy","We Didn’t Start The Fire"
47,"A.A.Williams","Where Is My Mind?"
48,"Morgan Wallen","Last Night"
49,"Charlotte Cardin","Jim Carrey"
50,"MIKA","C’est la Vie"
