Shazam Top 50 Vancouver
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"Jim James","State Of The Art (A.E.I.O.U.)"
2,"Teddy Swims","Lose Control"
3,"Billie Eilish","bury a friend"
4,"Jack Harlow","Lovin On Me"
5,"Sophie Ellis-Bextor","Murder On The Dancefloor"
6,"Lynyrd Skynyrd","Simple Man"
7,"The Unthanks","Magpie"
8,"Charlotte Cardin","Confetti"
9,"Quaker City Night Hawks","Beat the Machine"
10,"Soul Coughing","Super Bon Bon"
11,"Billie Eilish","What Was I Made For? (From The Motion Picture "Barbie")"
12,"Kenya Grace","Strangers"
13,"Jamie Fine","If Anything's Left"
14,"Paul Russell","Lil Boo Thang"
15,"Zach Bryan","I Remember Everything (feat. Kacey Musgraves)"
16,"LU KALA","Hotter Now"
17,"Tate McRae","greedy"
18,"Noah Kahan","Stick Season"
19,"Cigarettes After Sex","Apocalypse"
20,"bbno$","edamame (feat. Rich Brian)"
21,"Doja Cat","Agora Hills"
22,"Tyla","Water"
23,"Doja Cat","Paint The Town Red"
24,"Taylor Swift","Is It Over Now? (Taylor's Version) [From The Vault]"
25,"Ariana Grande","yes, and?"
26,"Dua Lipa","Houdini"
27,"Ed Sheeran","Overpass Graffiti"
28,"Christine and the Queens","Full of life"
29,"Tomcraft","Loneliness (Radio Cut)"
30,"Miley Cyrus","Used To Be Young"
31,"TALK","Run Away to Mars"
32,"Jelly Roll","Save Me (with Lainey Wilson)"
33,"JID","Surround Sound (feat. 21 Savage & Baby Tate)"
34,"Curtis Mayfield","Move On Up"
35,"Loud Luxury, Two Friends & Bebe Rexha","If Only I"
36,"Noah Kahan & Hozier","Northern Attitude"
37,"The Handsome Family","Far from Any Road"
38,"Rema","Calm Down"
39,"Charlotte Cardin","99 Nights"
40,"Skydiggers","I Will Give You Everything"
41,"R.E.M.","Oh My Heart"
42,"Lil Nas X","J CHRIST"
43,"Bronski Beat","Smalltown Boy"
44,"Imany","Wonderful Life (Stream Jockey Rework)"
45,"Ed Sheeran","Bad Habits"
46,"Neil Finn & Eddie Vedder","Throw Your Arms Around Me"
47,"Noah Kahan & Post Malone","Dial Drunk"
48,"Ben Rogers","Steady Going Nowhere"
49,"Taylor Swift","Cruel Summer"
50,"Cannons","Loving You"
