Shazam Top 200 Chile Chart
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"Xavi","La Diabla"
2,"Feid & ATL Jacob","LUNA"
3,"Jere Klein, Nickoog Clk, Lucky Brown & El Bai","PRINCESITA DE ..."
4,"Gaby Music, Luar La L & Lunay","No Te Quieren Conmigo"
5,"Myke Towers","LA FALDA"
6,"Sophie Ellis-Bextor","Murder On The Dancefloor"
7,"Bizarrap & Young Miko","Young Miko: Bzrp Music Sessions, Vol. 58"
8,"Mesita, NICKI NICOLE & Tiago PZK","Una Foto Remix (feat. Emilia)"
9,"Yamê","Bécane - A Colors Show"
10,"Kidd Voodoo & Pablo Chill-E","Ese Guille"
11,"Iñigo Quintero","Si No Estás"
12,"Cris Mj","Daytona"
13,"Kali Uchis & Peso Pluma","Igual Que Un Ángel"
14,"Kidd Voodoo & Daiko 02","Minnie <3"
15,"New West","Those Eyes"
16,"Maluma & Carin Leon","Según Quién"
17,"Peggy Gou","(It Goes Like) Nanana (Edit)"
18,"Pitbull","Guantanamera (She's Hot)"
19,"Carin Leon","La Primera Cita"
20,"Ankhal","Déjame Saber (feat. Full Harmony & Panda Black)"
21,"Sunstroke Project","Run Away (feat. Olia Tira)"
22,"Lucky Brown & Nickoog Clk","Ay Parcera"
23,"Creepy Nuts","Bling-Bang-Bang-Born"
24,"Milo j","M.A.I"
25,"Calle 24, Chino Pacas & Fuerza Regida","Qué Onda"
26,"Peso Pluma & Anitta","BELLAKEO"
27,"Simon & Garfunkel","El Condor Pasa (If I Could)"
28,"El Joan & Celso El Potente","Le Gustan lo' Flaites"
29,"Jere Klein & Cris Mj","LOCA FARANDULERA"
30,"Noriel","La Paso C****n (feat. Gigolo Y La Exce, Falsetto y Sammy, Mike Duran & Baby Angel)"
31,"Grupo Frontera & Ke personajes","OJITOS ROJOS"
32,"Flyxswn","Se Que Te Gustan Menority (feat. jerkle)"
33,"Maria Becerra, Chencho Corleone & Ovy On the Drums","Piscina"
34,"Big One, FMK & Ke personajes","Un Finde  CROSSOVER #2"
35,"Gotye","Somebody That I Used to Know (feat. Kimbra)"
36,"George Michael","Careless Whisper"
37,"He Is We","I Wouldn't Mind"
38,"Electric Light Orchestra","Last Train to London"
39,"The Weeknd, JENNIE & Lily Rose Depp","One Of The Girls"
40,"DJ Tons","Always Remember Us This Way"
41,"iZaak, Luar La L & Omar Courtz","BONNIE AND CLYDE (REMIX)"
42,"Sofia Castro","Te Juro No Te Miento"
43,"Mitski","My Love Mine All Mine"
44,"Tears for Fears","Everybody Wants To Rule The World"
45,"Katteyes & Kidd Voodoo","Tas Texteándome"
46,"C. Tangana","Mala Mujer"
47,"Chris Isaak","Wicked Game"
48,"Tate McRae","greedy"
49,"Dj Luizito officially","AMORES COMO EL NUESTRO"
50,"Rauw Alejandro","DILUVIO"
51,"Sayian Jimmy & Nysix Music","Bad Boy"
52,"Bryartz & Kidd Voodoo","Heridas"
53,"Eugenio Esquivel, Grupo Marca Registrada & Sebastian Esquivel","Alucin"
54,"Jere Klein & Gittobeatz","ANDO"
55,"Rio Romeo","Nothing's New"
56,"Gigi D'Agostino","L'amour Toujours"
57,"Harry Nach, ITHAN NY & Galee Galee","Prende el Party (feat. Julianno Sosa)"
58,"Keane","Somewhere Only We Know"
59,"Billy Idol","Eyes Without A Face"
60,"Tom Odell","Another Love"
61,"Christell","Dubidubidu"
62,"Katya Lel","Мой мармеладный (Я не права)"
63,"Becky G","POR EL CONTRARIO (with Leonardo Aguilar & Ángela Aguilar)"
64,"The Weeknd & Madonna","Popular (feat. Playboi Carti) [Music from the HBO Original Series The Idol]"
65,"Ozuna, Anuel AA & Chris Jedi","Pa Ti Estoy"
66,"Los Charros de Luchito y Rafael","Ser Por Que Te Amo"
67,"Xavi","La Víctima"
68,"DobleP, Lauty Gram & Gusty dj","Me Escapé"
69,"LIT killah, Tiago PZK, Maria Becerra, Duki, Emilia, Rusherking, Big One & FMK","Los del Espacio"
70,"Billie Eilish","What Was I Made For? (From The Motion Picture "Barbie")"
71,"LATIN MAFIA & Humbe","Patadas de Ahogado"
72,"Darell","Lollipop"
73,"JID","Surround Sound (feat. 21 Savage & Baby Tate)"
74,"Lesley Gore","You Don't Own Me"
75,"Edward Maya & Vika Jigulina","Stereo Love"
76,"Los Ángeles Azules & Maria Becerra","El Amor De Mi Vida"
77,"Ñengo Flow","Ya Sanó El Dolor"
78,"KAROL G & Peso Pluma","QLONA"
79,"Luck Ra & BM","La Morocha"
80,"Kidd Voodoo & Young Cister","Fashion Girl (Remix)"
81,"Emilia & TINI","La_Original.mp3"
82,"Oscar Ortiz & Edgardo Nuñez","First Love"
83,"Ariana Grande","yes, and?"
84,"Mazzy Star","Fade into You"
85,"RÜFÜS DU SOL","Innerbloom"
86,"Foreigner","I Want To Know What Love Is (Live)"
87,"Quevedo","Columbia"
88,"Jere Klein & NICKI NICOLE","X ESO BB"
89,"Zion, Jory Boy & Ken-Y","More"
90,"Harry Styles","As It Was"
91,"Imany","Wonderful Life (Stream Jockey Rework)"
92,"The Outfield","Your Love"
93,"Haddaway","What Is Love"
94,"Oasis","Stop Crying Your Heart Out"
95,"Anuel AA, Quevedo & Maluma","OA (feat. Mambo Kingz & DJ Luian)"
96,"Hoobastank","The Reason"
97,"Lynyrd Skynyrd","Free Bird"
98,"Mawell","La Triple M"
99,"LXNGVX","Montagem Mysterious Game"
100,"YSY A, Jere Klein & Oniria","24/7 6.5"
101,"Jere Klein & Taiko","NO SÉ AMAR"
102,"Creedence Clearwater Revival","Have You Ever Seen The Rain"
103,"Gym Class Heroes","Cupid's Chokehold / Breakfast In America"
104,"Marshmello & Manuel Turizo","El Merengue"
105,"Ed Sheeran","Perfect"
106,"Feid & Rema","BUBALU"
107,"Lady Gaga","Always Remember Us This Way"
108,"Ke personajes & Onda Sabanera","Pobre Corazón (En Vivo)"
109,"The Wellermen, Ebucs, Eric Hollaway & Daniel Brevik","Hoist the Colours"
110,"Cutting Crew","(I Just) Died in Your Arms"
111,"The Alan Parsons Project","Eye In the Sky"
112,"Ladilla Rusa","KITT y los Coches del Pasado (feat. Joan Colomo, Los Ganglios, Laura Santos & Lady Gipsy)"
113,"Empire of the Sun","We Are The People"
114,"Yoari","TRUE"
115,"Lewis Capaldi","Someone You Loved"
116,"s0mbra pr","Rojo 27 (feat. PRESSURE & GRANDE)"
117,"Lamelodiadelhampa, Renaglock & Youngglizzy","Peñalolen Cuna de Ladrones"
118,"Adan La Amenaza, Jairo Vera & Bayriton","Te Encanta"
119,"Myke Towers","LALA"
120,"The Goo Goo Dolls","Iris"
121,"Rihanna","Love on the Brain"
122,"The Weeknd","Blinding Lights"
123,"21 Savage","redrum"
124,"Uzielito Mix, Yeri Mua & El Jordan 23","Linea del Perreo (feat. Dj Kiire)"
125,"Gino Mella, Jairo Vera & Best","EL AMOR DE TU VIDA"
126,"Fer Vazquez & Flor Alvarez","Sin Querer"
127,"Lucky Brown & Jere Klein","¿Cuál Es Su Nombre?"
128,"Mary J. Blige","Family Affair"
129,"Morad & GIMS","Seya"
130,"4 Non Blondes","What's Up?"
131,"Mikel Erentxun","A Un Minuto de Ti"
132,"Curtis Mayfield","Move On Up"
133,"Gnarls Barkley","Crazy"
134,"Lana Del Rey","Margaret (feat. Bleachers)"
135,"Humbe","fantasmas"
136,"Arcángel","Pa' Que La Pases Bien"
137,"Cigarettes After Sex","Apocalypse"
138,"Kidd Voodoo","Fashion Girl"
139,"twocolors, Safri Duo & Chris de Sarandy","Cynical"
140,"Eminem","Love The Way You Lie (feat. Rihanna)"
141,"Prince Royce","La Carretera"
142,"Jung Kook","Standing Next to You"
143,"Bad Bunny","NO ME QUIERO CASAR"
144,"Toto Cutugno","L'italiano"
145,"Ke personajes","Adiós Amor & Oye Mujer"
146,"Ayra Starr","Rush"
147,"Bad Bunny & Feid","PERRO NEGRO"
148,"Cris Mj & Dei V","Diabólica"
149,"Foster the People","Pumped Up Kicks"
150,"Anuel AA","En el Castillo"
151,"Ariana Grande","bloodline"
152,"Kidd.Kleiiin","Tanta Envidia"
153,"Dei V & Bryant Myers","Narcotics"
154,"Gino Mella & Jairo Vera","DE LA P*TA"
155,"Lady Gaga","Bloody Mary"
156,"Bayron Fire","Bloqueado (feat. Jottv)"
157,"Boa","Duvet"
158,"Young the Giant","Mind Over Matter"
159,"Men At Work","Down Under"
160,"Melendi","Tu Jardín Con Enanitos"
161,"KAROL G","MI EX TENÍA RAZÓN"
162,"Jósean Log","Chachachá"
163,"Kreamly, Kidd Voodoo & Julianno Sosa","REBULEO"
164,"a-ha","Take On Me"
165,"Saiko","COSAS QUE NO TE DIJE"
166,"MC Feoli","Já Tomou Botada"
167,"Laura Branigan","Self Control"
168,"Marcianeke & El Bai","Wirinikini"
169,"Flume","Never Be Like You (feat. KAI)"
170,"Chayanne","Bailando Bachata"
171,"ORO600 & Pablo Chill-E","Nena Sad (feat. 0-600 & Orodembow)"
172,"Alice Deejay","Better Off Alone"
173,"Fleetwood Mac","Everywhere"
174,"The Weeknd","Save Your Tears"
175,"6YNTHMANE & RXDXVIL","BRAZILIAN DANÇA PHONK"
176,"Ñengo Flow, Jory Boy & Gotay “El Autentiko"","X2"
177,"Charles & Eddie","Would I Lie To You?"
178,"The Police","Every Breath You Take"
179,"Radiohead","Creep"
180,"DJ Snake","Let Me Love You (feat. Justin Bieber)"
181,"Pressure 9X19","VVS Switch"
182,"Crowded House","Don't Dream It's Over"
183,"Rema","Calm Down"
184,"Synapson","Hide Away (feat. Holly)"
185,"Bob Sinclar","World, Hold On (feat. Steve Edwards)"
186,"R.E.M.","Losing My Religion"
187,"Infeed & INNERGATE RECORDS","Freedom Inside Your Illness (LS41 Remix)"
