Shazam Top 50 Santiago
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"Myke Towers","LA FALDA"
2,"Iñigo Quintero","Si No Estás"
3,"Feid & ATL Jacob","LUNA"
4,"Jere Klein, Nickoog Clk, Lucky Brown & El Bai","PRINCESITA DE ..."
5,"Simon & Garfunkel","El Condor Pasa (If I Could)"
6,"Sophie Ellis-Bextor","Murder On The Dancefloor"
7,"Peggy Gou","(It Goes Like) Nanana (Edit)"
8,"Maluma & Carin Leon","Según Quién"
9,"Katteyes & Kidd Voodoo","Tas Texteándome"
10,"Maria Becerra, Chencho Corleone & Ovy On the Drums","Piscina"
11,"DobleP, Lauty Gram & Gusty dj","Me Escapé"
12,"Carin Leon","La Primera Cita"
13,"Grupo Frontera & Ke personajes","OJITOS ROJOS"
14,"Xavi","La Diabla"
15,"Big One, FMK & Ke personajes","Un Finde  CROSSOVER #2"
16,"Gaby Music, Luar La L & Lunay","No Te Quieren Conmigo"
17,"Bizarrap & Young Miko","Young Miko: Bzrp Music Sessions, Vol. 58"
18,"Curtis Mayfield","Move On Up"
19,"Imany","Wonderful Life (Stream Jockey Rework)"
20,"Billie Eilish","bury a friend"
21,"Sunstroke Project","Run Away (feat. Olia Tira)"
22,"Yamê","Bécane - A Colors Show"
23,"Jim James","State Of The Art (A.E.I.O.U.)"
24,"Gotye","Somebody That I Used to Know (feat. Kimbra)"
25,"Emilia & TINI","La_Original.mp3"
26,"Harry Styles","As It Was"
27,"Peso Pluma & Anitta","BELLAKEO"
28,"LIT killah, Tiago PZK, Maria Becerra, Duki, Emilia, Rusherking, Big One & FMK","Los del Espacio"
29,"Mesita, NICKI NICOLE & Tiago PZK","Una Foto Remix (feat. Emilia)"
30,"Christell","Dubidubidu"
31,"twocolors, Safri Duo & Chris de Sarandy","Cynical"
32,"Tears for Fears","Everybody Wants To Rule The World"
33,"Myke Towers","LALA"
34,"Tate McRae","greedy"
35,"Ariana Grande","yes, and?"
36,"Mawell","La Triple M"
37,"Play-N-Skillz, Gente de Zona & Dale Pututi","Somos Latinos"
38,"Foreigner","I Want To Know What Love Is (Live)"
39,"Quevedo","Columbia"
40,"Jere Klein & NICKI NICOLE","X ESO BB"
41,"Marshmello & Manuel Turizo","El Merengue"
42,"Beéle & Farruko","Santorini"
43,"Darell","Lollipop"
44,"Billie Eilish","What Was I Made For? (From The Motion Picture "Barbie")"
45,"Rauw Alejandro","DILUVIO"
46,"Jere Klein & Gittobeatz","ANDO"
47,"Dua Lipa","Houdini"
48,"Billy Idol","Eyes Without A Face"
49,"4 Non Blondes","What's Up?"
50,"George Michael","Careless Whisper"
