Shazam Top 200 China Chart
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"莫叫姐姐","不该用情(DJ女声版伴奏)"
2,"杨小壮","姑娘啊姑娘 (DJ版伴奏)"
3,"JYJ","BACK SEAT"
4,"Nanfang Kai","Parting blossoms"
5,"刘诗人","每当我 (伴奏)"
6,"Jacky Cheung","偷心"
7,"Professor Green","In the Shadow of the Sun"
8,"Rokit Bay","Huruu"
9,"The Weeknd","After Hours"
10,"Athletics","III"
11,"By Heart","執迷不悔 (Instrumental)"
12,"闻人听书_","一笑江湖 (DJ弹鼓版)"
13,"KARTASHOW & Mari Kraymbreri","Золото (Rakurs & Ramirez Remix)"
14,"Yoari","TRUE"
15,"郑润泽","瞬"
16,"曾至锋","谁(DJR7版)"
17,"J.Tajor","Like I Do"
18,"Dream Tunes","Every Time We Touch"
19,"Ailee","Heaven"
20,"G.E.M.","Full Stop"
21,"Deric Wen","隨緣"
22,"Dengshenmejun","赤伶 (DJ名龙 Remix)"
23,"Boa","Duvet"
24,"Leah Marie Perez","Nothin' on Me"
25,"Edison Chen, Chef & MC Yan","Everywhere We Go (feat. 應采兒)"
26,"Christell","Dubidubidu"
27,"葛东琪","悬溺"
28,"Max Elto","Shadow of the Sun"
29,"Chester Young & Rave Republic","Repeat (feat. Kris Kiss)"
30,"Wanting","最好的安排"
31,"Dave Wang","你是我胸口永遠的痛 (Remastered)"
32,"Tanir & Tyomcha","Da Da Da (Remix by Mikis)"
33,"Silence Wang","我想念"
34,"Doja Cat","Paint The Town Red"
35,"宋冬野","安和桥"
36,"JORDANN","Dehors"
37,"Sean Kingston & Justin Bieber","Eenie Meenie"
38,"The Weeknd, JENNIE & Lily Rose Depp","One Of The Girls"
39,"Akon","Right Now (Na Na Na)"
40,"Tyla","Water"
41,"Wanting","Jar of Love"
42,"Emozioni Libere","Per te (Stephan F Remix)"
43,"matryoshka","Sacred Play Secret Place"
44,"G.E.M.","Where Did U Go"
45,"秦海清","诛心"
46,"Hua Jie","爱你一万年 (DJ版1伴奏)"
47,"Maroon 5","Payphone (feat. Wiz Khalifa)"
48,"薛松","嗖嗖哒"
49,"Taylor Swift","Call It What You Want"
50,"Dia","Goodbye"
51,"盛哲","在你的身边"
52,"21 Savage","redrum"
53,"Fish Leong","情歌"
54,"PONCHET","พี่ชอบหนูที่สุดเลย (feat. วาลิน) [Sped Up Version]"
55,"Doja Cat","Agora Hills"
56,"NUEKI, TOLCHONOV & Glichery","TIRED OF PROBLEMS"
57,"Guo Ding","淒美地"
58,"Mike Candys","Baby"
59,"叫我乔宝就好","一个傻子 (粤语版)"
60,"Zhao Lei","我记得"
61,"Kelly Clarkson","Catch My Breath"
62,"略略略","鸳鸯戏 (0.9X Dj苏天伦版)"
63,"JVKE","golden hour"
64,"KALEO","Way Down We Go"
65,"Selena Gomez & The Scene","Love You Like A Love Song"
66,"Sun Nan & Chen Chu Sheng","Obscurity"
67,"Lil Uzi Vert","Red Moon"
68,"Kazumasa Oda","Love Story Wa Totsuzen Ni"
69,"Taylor Swift","Enchanted (Taylor's Version)"
70,"Miaoge Zhang","我期待的不是雪"
71,"sunwoojunga","Darling"
72,"JID","Surround Sound (feat. 21 Savage & Baby Tate)"
73,"Mitski","My Love Mine All Mine"
74,"VodKe & HSHK","lll Do lt (PHONK)"
75,"Jay Chou","Christmas Star (feat. Gary Yang)"
76,"云音阁","零度结冰(Dj阿豪 Electro Mix) (伴奏)"
77,"Katya Lel","Мой мармеладный (Я не права)"
78,"Coems","Coems X Carson"
79,"Hedley","Lose Control"
80,"Dax","Dear Alcohol"
81,"makro mikro","La La La Suki"
82,"Queena Cui","Divination"
83,"Swedish House Mafia & The Weeknd","Moth To A Flame"
84,"晚晚有晴","我对烟花许愿 (伴奏)"
85,"Fatrik","Fainted Priest"
86,"曾至锋","谁"
87,"BOL4","Hard To Love"
88,"Hillsong Young & Free","Wake (Live)"
89,"Taylor Swift","You're On Your Own, Kid"
90,"Lala Hsu","Riding a White Horse"
91,"Chopsticks Brother","小苹果"
92,"Lil Wayne","Love Me (feat. Drake & Future)"
93,"DAISHI DANCE","Take Me Hands (feat. Cécile Corbel)"
94,"Chen Li","虚拟"
95,"Love and Deepspace & Sarah Brightman","Love and Deepspace"
96,"Bruno Mars","That's What I Like"
97,"Glichery","Sea Of Problems"
98,"808Monster","Money in My Pocket"
99,"The Weeknd","Starboy (feat. Daft Punk)"
100,"Juice WRLD","All Girls Are The Same"
101,"Fabio Mek","Lotta Lovin' (feat. Barbara Evans) [Dani B. & Enrico Prevosti Remix]"
102,"邵帅ShaoShuai","南风北巷"
103,"DJABU","哒哒哒 (DJ版)"
104,"M83","Midnight City"
105,"Dongran Yu","其实都没有"
106,"FloruitShow","我用什么把你留住"
107,"Dada","Lollipop (feat. Sandy Rivera & Trix)"
108,"MYNAME","Baby I'm Sorry"
109,"Clean Bandit","Rather Be (feat. Jess Glynne)"
110,"JJ Lin","我還想她"
111,"Blue Bird Flying Fish","此生不換"
112,"Hayd","Head In The Clouds"
113,"Tungevaag & Raaban","All For Love (feat. Richard Smitth)"
114,"Oliver Tree","Life Goes On"
115,"Tate McRae","greedy"
116,"Justin Bieber","Beauty and a Beat (feat. Nicki Minaj)"
117,"Kanita","Don't Let Me Go (Gon Haziri Remix)"
118,"Justin Bieber","Baby (feat. Ludacris)"
119,"Taylor Swift","Cruel Summer"
120,"Jinwon","I Don't Want a you'r Mind (feat. Inthe7li)"
