Shazam Top 50 Shanghai
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"By Heart","執迷不悔 (Instrumental)"
2,"Deric Wen","隨緣"
3,"Tyla","Water"
4,"Jacky Cheung","偷心"
5,"Dave Wang","你是我胸口永遠的痛 (Remastered)"
6,"Doja Cat","Agora Hills"
7,"Jim James","State Of The Art (A.E.I.O.U.)"
8,"Dua Lipa","Houdini"
9,"Kazumasa Oda","Love Story Wa Totsuzen Ni"
10,"Tate McRae","greedy"
11,"Billie Eilish","bury a friend"
12,"Jack Harlow","Lovin On Me"
13,"Seo In Guk","Even If There's No Miracle"
14,"Mike Tsang","再回首 (電視劇《繁花》歌曲)"
15,"Rokit Bay","Huruu"
16,"Guo Ding","淒美地"
17,"Beyond","Bu Zai You Yu (Dian Ying "Beyond Ri Ji" Cha Qu)"
18,"Taylor Swift","Cruel Summer"
19,"葛東琪","悬溺"
20,"Escape Plan","夜空中最亮的星"
21,"Suxi Ren","王招君"
22,"bbno$","edamame (feat. Rich Brian)"
23,"88rising, Rich Brian & NIKI","California (feat. Jackson Wang & Warren Hue) [Remix]"
24,"Nicki Minaj","Last Time I Saw You"
25,"Taylor Swift","Is It Over Now? (Taylor's Version) [From The Vault]"
26,"Charli XCX & Sam Smith","In The City"
27,"Dove Cameron","Sand"
28,"Eliza Rose & Calvin Harris","Body Moving (Extended)"
29,"DJ Tons","Always Remember Us This Way"
30,"Ariana Grande","yes, and?"
31,"Sophie Ellis-Bextor","Murder On The Dancefloor"
32,"Jain","Makeba"
33,"JORDANN","Dehors"
34,"盛哲","在你的身边"
35,"CHROMANCE & Marcus Layton","Wrap Me In Plastic (Marcus Layton Radio Edit)"
36,"Achim Reichel","Aloha Heja He"
37,"Daniel Powter","Free Loop"
38,"La Jiao","The Wind"
39,"Lenka","Trouble Is a Friend"
40,"The xx","Intro"
41,"Frogmonster","Remember Our Summer"
42,"YOASOBI","Gunjou"
43,"Heidi Montag","I'll Do It"
44,"Harry Styles","As It Was"
45,"Anson Seabra","Peter Pan Was Right"
46,"Prep","As It Was"
47,"Zhao Lei","我记得"
48,"G.E.M.","泡沫"
49,"The Weeknd & Madonna","Popular (feat. Playboi Carti) [Music from the HBO Original Series The Idol]"
50,"闻人听书_","一笑江湖 (DJ弹鼓版)"
