Shazam Top 50 Bogotá
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"Xavi","La Diabla"
2,"Feid & ATL Jacob","LUNA"
3,"Myke Towers","LA FALDA"
4,"Carin Leon","La Primera Cita"
5,"Maluma & Carin Leon","Según Quién"
6,"Xavi","La Víctima"
7,"Fresto Music","Me Hace Daño Verte"
8,"Iñigo Quintero","Si No Estás"
9,"Yeison Jimenez","Vete"
10,"Feid & Pirlo","CUAL ES ESA"
11,"Yeison Jimenez & Pasabordo","Hasta La Madre"
12,"Darell","Lollipop"
13,"Yeison Jimenez","MLP"
14,"Luis Alfonso","Mi Palabra Contra la de Ellos (En Vivo)"
15,"Carin Leon & Grupo Frontera","Alch Si"
16,"Nicky Jam & Beéle","Calor"
17,"Yiyo Sarante","Manos de Tijera"
18,"Hernan Gómez, Luis Alfonso & Pipe Bueno","La Cantina (Remix)"
19,"Calibre 50","Si Te Pudiera Mentir"
20,"Grupo Niche","Algo Que Se Quede"
21,"Feid & Rema","BUBALU"
22,"Simon & Garfunkel","El Condor Pasa (If I Could)"
23,"Tyla","Water"
24,"Fuerza Regida & Marshmello","HARLEY QUINN"
25,"Olivia Rodrigo","vampire"
26,"Luke Combs","Fast Car"
27,"Creedence Clearwater Revival","Have You Ever Seen The Rain"
28,"Los Ángeles Azules","Nunca Es Suficiente (feat. Natalia Lafourcade)"
29,"Grupo Frontera & Grupo Firme","EL AMOR DE SU VIDA"
30,"Rema","Calm Down"
31,"Bad Bunny & Feid","PERRO NEGRO"
32,"Grupo Galé & Diego Gale","Amor, Cuánto Te Amo (En Vivo)"
33,"Jung Kook","Standing Next to You"
34,"Grupo Firme & Gerardo Coronel","Qué Onda Perdida"
35,"Jungle","Back On 74"
36,"Fred again.. & Obongjayar","adore u"
37,"Kany García & Carin Leon","Te Lo Agradezco"
38,"Mawell","La Triple M"
39,"Jack Harlow","Lovin On Me"
40,"Sophie Ellis-Bextor","Murder On The Dancefloor"
41,"Kenya Grace","Strangers"
42,"Nath, Pirlo & CHEZTOM","KLKNTOKI"
43,"Pedro Alonso & Tristan Ulloa","Felicidad (De La Serie 'berlin' De Netflix)"
44,"Tom Odell","Another Love"
45,"El Chico Jaramillo","Vete Aléjate de Mí"
46,"Black Sabbath","Paranoid"
47,"Luis Alfonso","El Precio de Tu Error (En Vivo)"
48,"Arcángel & Grupo Frontera","ALV"
49,"Calle 24, Chino Pacas & Fuerza Regida","Qué Onda"
50,"Jere Klein & Gittobeatz","ANDO"
