Shazam Top 200 Colombia Chart
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"Xavi","La Diabla"
2,"Feid & ATL Jacob","LUNA"
3,"Xavi","La Víctima"
4,"Myke Towers","LA FALDA"
5,"Eugenio Esquivel, Grupo Marca Registrada & Sebastian Esquivel","Alucin"
6,"Yamê","Bécane - A Colors Show"
7,"Luis Alfonso","Mi Palabra Contra la de Ellos (En Vivo)"
8,"Carin Leon","La Primera Cita"
9,"Maluma & Carin Leon","Según Quién"
10,"Gaby Music, Luar La L & Lunay","No Te Quieren Conmigo"
11,"Peggy Gou","(It Goes Like) Nanana (Edit)"
12,"Jere Klein & Gittobeatz","ANDO"
13,"Feid & Pirlo","CUAL ES ESA"
14,"Feid & Mañas Ru-Fino","LA VUELTA"
15,"Kali Uchis & Peso Pluma","Igual Que Un Ángel"
16,"Yeison Jimenez & Pasabordo","Hasta La Madre"
17,"Fresto Music","Me Hace Daño Verte"
18,"Iñigo Quintero","Si No Estás"
19,"Yeison Jimenez","MLP"
20,"Feid & Jhay P","YO AK"
21,"Darell","Lollipop"
22,"Yiyo Sarante","Manos de Tijera"
23,"Calle 24, Chino Pacas & Fuerza Regida","Qué Onda"
24,"Bizarrap & Young Miko","Young Miko: Bzrp Music Sessions, Vol. 58"
25,"Bad Bunny","NO ME QUIERO CASAR"
26,"Fuerza Regida & Marshmello","HARLEY QUINN"
27,"Ankhal","Déjame Saber (feat. Full Harmony & Panda Black)"
28,"El Chico Jaramillo","Vete Aléjate de Mí"
29,"Pitbull","Guantanamera (She's Hot)"
30,"Feid","ALAKRAN"
31,"iZaak, Luar La L & Omar Courtz","BONNIE AND CLYDE (REMIX)"
32,"Blessd, Ryan Castro & Bryant Myers","PALABRAS SOBRAN (feat. Hades66) [REMIX]"
33,"Sophie Ellis-Bextor","Murder On The Dancefloor"
34,"21 Savage","redrum"
35,"Noriel","La Paso C****n (feat. Gigolo Y La Exce, Falsetto y Sammy, Mike Duran & Baby Angel)"
36,"LATIN MAFIA & Humbe","Patadas de Ahogado"
37,"Yeison Jimenez","Vete"
38,"Blessd","VISAJE"
39,"Grupo Origen","C****n Yo Puedo"
40,"Bad Bunny & Feid","PERRO NEGRO"
41,"Milo j","M.A.I"
42,"Luis Alfonso","Caso Cerrado"
43,"Michael Bublé","Feeling Good"
44,"Tom Odell","Another Love"
45,"Calibre 50","Si Te Pudiera Mentir"
46,"s0mbra pr","Rojo 27 (feat. PRESSURE & GRANDE)"
47,"Dei V & Bryant Myers","Narcotics"
48,"Gigi D'Agostino","L'amour Toujours"
49,"Los inquietos del vallenato","Recuérdame"
50,"Binomio de Oro de América","No Puedo Olvidarla"
51,"Sossa, Bruno Marcelo & Young Kelly","Gyal Ushh (feat. Jey Joe)"
52,"Grupo Niche","Algo Que Se Quede"
53,"Nicky Jam & Beéle","Calor"
54,"Pressure 9X19","VVS Switch"
55,"YOVNGCHIMI & Dei V","Tu$$I"
56,"Nath, Pirlo & CHEZTOM","KLKNTOKI"
57,"Al2 El Aldeano & Jhamy","Quiero Verme"
58,"Ayra Starr","Rush"
59,"Elder Dayán Díaz & Lucas Dangond","Reina Guajira"
60,"Edward Maya & Vika Jigulina","Stereo Love"
61,"Feid & Rema","BUBALU"
62,"Grupo Frontera & Grupo Firme","EL AMOR DE SU VIDA"
63,"JID","Surround Sound (feat. 21 Savage & Baby Tate)"
64,"Sunstroke Project","Run Away (feat. Olia Tira)"
65,"Los Ángeles Azules","Nunca Es Suficiente (feat. Natalia Lafourcade)"
66,"Katya Lel","Мой мармеладный (Я не права)"
67,"Carin Leon & Grupo Frontera","Alch Si"
68,"Milky Chance","Stolen Dance"
69,"Bad Bunny","MONACO"
70,"Wakyin","Beso (Fruta Fresca) [feat. Carlos Vives]"
71,"George Michael","Careless Whisper"
72,"Gotye","Somebody That I Used to Know (feat. Kimbra)"
73,"Mary J. Blige","Family Affair"
74,"Creedence Clearwater Revival","Have You Ever Seen The Rain"
75,"He Is We","I Wouldn't Mind"
76,"New West","Those Eyes"
77,"Kany García & Carin Leon","Te Lo Agradezco"
78,"Peso Pluma & Anitta","BELLAKEO"
79,"Hernan Gómez, Luis Alfonso & Pipe Bueno","La Cantina (Remix)"
80,"Creepy Nuts","Bling-Bang-Bang-Born"
81,"Julión Álvarez y su Norteño Banda","Lo Tienes Todo"
82,"Fuerza Regida","CRAZYZ"
83,"Binomio de Oro de América","No Pude Olvidarte"
84,"Zaider","Vive La Vida"
85,"Joaquin Guiller, Maycol Rosero & Beren","No Sufriré por Nadie (Remix)"
86,"Binomio de Oro de América","Mi Segunda Vida"
87,"C. Tangana","Mala Mujer"
88,"Lesley Gore","You Don't Own Me"
89,"Rio Romeo","Nothing's New"
90,"Luis Alfonso","El Precio de Tu Error (En Vivo)"
91,"Eminem","Mockingbird"
92,"The Wellermen, Ebucs, Eric Hollaway & Daniel Brevik","Hoist the Colours"
93,"Eden Muñoz","Como En Los Viejos Tiempos"
94,"Oscar Ortiz & Edgardo Nuñez","First Love"
95,"Peso Pluma","NUEVA VIDA"
96,"Zion, Jory Boy & Ken-Y","More"
97,"Binomio de Oro","No Me Resignare"
98,"Eladio Carrión","TQMQA"
99,"Grupo Galé & Diego Gale","Amor, Cuánto Te Amo (En Vivo)"
100,"El Andariego","La Foto De Los Dos"
101,"Blaiz Fayah & Tribal Kush","Bad"
102,"Niche","Entrega"
103,"Los inquietos del vallenato","Me Matará el Sentimiento"
104,"Juan Duque & Ryan Castro","María (Remix)"
105,"Luis Mateus","Confundido"
106,"Prince Royce","La Carretera"
107,"Pedro Alonso & Tristan Ulloa","Felicidad (De La Serie 'berlin' De Netflix)"
108,"Ñengo Flow","Ya Sanó El Dolor"
109,"Pressure 9X19","El Rey De La Rápidas"
110,"Grupo Firme & Gerardo Coronel","Qué Onda Perdida"
111,"Sonyk El Dragón","Mi Vida Eres Tú"
112,"Ele a el Dominio","Codeine Crazy (Spanish Remix)"
113,"Ele a el Dominio","Tu Chapo"
114,"Simon & Garfunkel","El Condor Pasa (If I Could)"
115,"Ozuna, Anuel AA & Chris Jedi","Pa Ti Estoy"
116,"The Weeknd, JENNIE & Lily Rose Depp","One Of The Girls"
117,"Becky G","POR EL CONTRARIO (with Leonardo Aguilar & Ángela Aguilar)"
118,"Raulín Rosendo","Uno Se Cura"
119,"Erick Franchesky","Fantasía Herida"
120,"Fuerza Regida","BARBIEZ"
121,"Keane","Somewhere Only We Know"
122,"Sean Paul","I'm Still in Love with You (feat. Sasha)"
123,"Dei V","Trending Remix (feat. Myke Towers)"
124,"Luis Mateus","Muero por Verla"
125,"Ben E. King","Stand By Me"
126,"Sofia Castro","Te Juro No Te Miento"
127,"Luis Alfonso","La Ex (En Vivo)"
128,"KAROL G","AMARGURA"
129,"UB40","Kingston Town"
130,"Jerry Rivera","Nada Sin Ti"
131,"David Tavaré","Hot Summer Night (Oh La La La) [feat. 2 Eivissa]"
132,"Victor Manuelle","No Quería Engañarte"
133,"Juan Formell & Los Van Van","Este Amor Que Se Muere"
134,"Andrés Calamaro","Flaca"
135,"Feid","50 PALOS"
136,"El Gran Combo de Puerto Rico","Regresa Ya"
137,"KAROL G & Peso Pluma","QLONA"
138,"DJ Tons","Always Remember Us This Way"
139,"Mackie & KEVIN ROLDAN","Las 12"
140,"Doble ONE Flow Letal","Mi Kryptonita"
141,"Melendi","Tu Jardín Con Enanitos"
142,"Bad Bunny, Arcángel, De La Ghetto & Ñengo Flow","ACHO PR"
143,"Zhamira Zambrano & Jay Wheeler","Extrañándote"
144,"La Combinación Vallenata & Jean Carlos Centeno","Ayer y Hoy"
145,"Gym Class Heroes","Cupid's Chokehold / Breakfast In America"
146,"Los Diablitos","Que Hago Si Te Pierdo"
147,"bbno$","edamame (feat. Rich Brian)"
148,"Fuerza Regida & Edgardo Nuñez","Billete Grande (En Vivo)"
149,"Binomio de Oro de América","Difícil de Igualar"
150,"Rema","Calm Down"
151,"Binomio de Oro de América","Realízame Mis Sueños"
152,"Natasha Bedingfield","Unwritten"
153,"Yandel, Bad Bunny & Noriel","Explícale (feat. Cosculluela & Brytiago) [Remix]"
154,"Adele","Set Fire to the Rain"
155,"Hadrian","No Me Rajo"
156,"Feid & Icon","FERXXO 151"
157,"Noriel","Me Pelea (feat. Baby Rasta, Lito Kirino, Miky Woodz, Juhn & Jochy)"
158,"RÜFÜS DU SOL","Innerbloom"
159,"Empire of the Sun","We Are The People"
160,"Eladio Carrión & Nach","Mamá's Boy"
161,"KALEO","Way Down We Go"
162,"Jaime Diaz","Perdió Su Turno"
163,"Conjunto Chaney","Amor De Primavera"
164,"Adolescent's Orquesta","Virgen"
165,"Shinedown","Sound of Madness"
166,"Mitski","My Love Mine All Mine"
167,"Binomio de Oro de América","Una Como Tu"
168,"Ryan Castro, Peso Pluma & SOG","QUEMA"
169,"Bob Sinclar","World, Hold On (feat. Steve Edwards)"
170,"Modern Talking","Cheri Cheri Lady"
171,"Myke Towers","LALA"
172,"Grupo Frontera & Bad Bunny","un x100to"
173,"Adalberto Santiago","La Noche Mas Linda"
174,"Blessd & SOG","Hagale Pues"
175,"Erick y La Decision Vallenata","Amor Sin Fronteras"
176,"Jay Wheeler, DJ Nelson & Feid","Cuando Fue"
177,"La Familia Andre","De Oro"
178,"Eminem","Love The Way You Lie (feat. Rihanna)"
179,"Lynyrd Skynyrd","Free Bird"
180,"Willie Colón","Oh Qué Será?"
181,"Lady Gaga","Bloody Mary"
182,"Peso Pluma, Gabito Ballesteros & Junior H","LADY GAGA"
183,"Arcángel & Grupo Frontera","ALV"
184,"Gnarls Barkley","Crazy"
185,"Black Sabbath","Paranoid"
186,"Rauw Alejandro","DILUVIO"
