Shazam Top 50 Medellín
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"Feid & ATL Jacob","LUNA"
2,"Xavi","La Diabla"
3,"Maluma & Carin Leon","Según Quién"
4,"Fresto Music","Me Hace Daño Verte"
5,"El Chico Jaramillo","Vete Aléjate de Mí"
6,"Carin Leon","La Primera Cita"
7,"Iñigo Quintero","Si No Estás"
8,"Los Ángeles Azules","Nunca Es Suficiente (feat. Natalia Lafourcade)"
9,"Feid & Pirlo","CUAL ES ESA"
10,"Blessd, Ryan Castro & Bryant Myers","PALABRAS SOBRAN (feat. Hades66) [REMIX]"
11,"Yiyo Sarante","Manos de Tijera"
12,"Peggy Gou","(It Goes Like) Nanana (Edit)"
13,"Myke Towers","LA FALDA"
14,"Darell","Lollipop"
15,"Grupo Niche","Algo Que Se Quede"
16,"Fuerza Regida & Marshmello","HARLEY QUINN"
17,"Luis Mateus","Confundido"
18,"Xavi","La Víctima"
19,"Kany García & Carin Leon","Te Lo Agradezco"
20,"Bad Bunny & Feid","PERRO NEGRO"
21,"Yeison Jimenez & Pasabordo","Hasta La Madre"
22,"Calibre 50","Si Te Pudiera Mentir"
23,"Joaquin Guiller, Maycol Rosero & Beren","No Sufriré por Nadie (Remix)"
24,"Carin Leon & Grupo Frontera","Alch Si"
25,"KAROL G","AMARGURA"
26,"Becky G","POR EL CONTRARIO (with Leonardo Aguilar & Ángela Aguilar)"
27,"Luis Alfonso","El Precio de Tu Error (En Vivo)"
28,"Bad Bunny","MONACO"
29,"Los inquietos del vallenato","Recuérdame"
30,"La Combinación Vallenata & Jean Carlos Centeno","Ayer y Hoy"
31,"Luis Alfonso","Mi Palabra Contra la de Ellos (En Vivo)"
32,"KAROL G & Peso Pluma","QLONA"
33,"Grupo Origen","C****n Yo Puedo"
34,"Yamê","Bécane - A Colors Show"
35,"Eladio Carrión","TQMQA"
36,"Feid & Rema","BUBALU"
37,"Hernan Gómez, Luis Alfonso & Pipe Bueno","La Cantina (Remix)"
38,"Nath, Pirlo & CHEZTOM","KLKNTOKI"
39,"Ryan Castro, Peso Pluma & SOG","QUEMA"
40,"Feid & Mañas Ru-Fino","LA VUELTA"
41,"Grupo Frontera & Bad Bunny","un x100to"
42,"Myke Towers","LALA"
43,"Simon & Garfunkel","El Condor Pasa (If I Could)"
44,"Eichem","Miss Independent"
45,"a-ha","Take On Me"
46,"Nicky Jam & Beéle","Calor"
47,"Binomio de Oro de América","Realízame Mis Sueños"
48,"Grupo Firme & Gerardo Coronel","Qué Onda Perdida"
49,"Feid & Young Miko","CLASSY 101"
50,"Yandel & Feid","Yandel 150"
