Shazam Top 200 Costa Rica Chart
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"Becky G","POR EL CONTRARIO (with Leonardo Aguilar & Ángela Aguilar)"
2,"Feid & ATL Jacob","LUNA"
3,"Xavi","La Diabla"
4,"Iñigo Quintero","Si No Estás"
5,"Arcángel & Grupo Frontera","ALV"
6,"Carin Leon","La Primera Cita"
7,"LATIN MAFIA & Humbe","Patadas de Ahogado"
8,"Maluma & Carin Leon","Según Quién"
9,"Grupo Frontera & Grupo Firme","EL AMOR DE SU VIDA"
10,"Kany García & Carin Leon","Te Lo Agradezco"
11,"Bizarrap & Young Miko","Young Miko: Bzrp Music Sessions, Vol. 58"
12,"Barbel","La Niña Consentida (feat. Kevin Ice)"
13,"s0mbra pr","Rojo 27 (feat. PRESSURE & GRANDE)"
14,"Darell","Lollipop"
15,"Blaiz Fayah & Tribal Kush","Bad"
16,"Kali Uchis & Peso Pluma","Igual Que Un Ángel"
17,"Enrique Iglesias & Maria Becerra","ASI ES LA VIDA"
18,"Yamê","Bécane - A Colors Show"
19,"Oscar Ortiz & Edgardo Nuñez","First Love"
20,"Calle 24, Chino Pacas & Fuerza Regida","Qué Onda"
21,"Gaby Music, Luar La L & Lunay","No Te Quieren Conmigo"
22,"Eden Muñoz","Como En Los Viejos Tiempos"
23,"Sophie Ellis-Bextor","Murder On The Dancefloor"
24,"Los Ángeles Azules & Maria Becerra","El Amor De Mi Vida"
25,"Fuerza Regida & Marshmello","HARLEY QUINN"
26,"Barbel","Besitos"
27,"Feid & Rema","BUBALU"
28,"iZaak, Luar La L & Omar Courtz","BONNIE AND CLYDE (REMIX)"
29,"JID","Surround Sound (feat. 21 Savage & Baby Tate)"
30,"Ankhal","Déjame Saber (feat. Full Harmony & Panda Black)"
31,"Eugenio Esquivel, Grupo Marca Registrada & Sebastian Esquivel","Alucin"
32,"Jere Klein & Gittobeatz","ANDO"
33,"Xavi","La Víctima"
34,"21 Savage","redrum"
35,"Creedence Clearwater Revival","Have You Ever Seen The Rain"
36,"Chayanne","Bailando Bachata"
37,"Peso Pluma & Anitta","BELLAKEO"
38,"Yahritza Y Su Esencia & Grupo Frontera","Frágil"
39,"KAROL G","MI EX TENÍA RAZÓN"
40,"Pitbull","Guantanamera (She's Hot)"
41,"Carlos Rivera","Para Ti"
42,"Christian Nodal","Un Cumbión Dolido"
43,"Laid Back","Sunshine Reggae (Mix '82)"
44,"Gyptian","Slr"
45,"Bad Bunny & Feid","PERRO NEGRO"
46,"T.O.K","You Ah Murder"
47,"Pressure 9X19","VVS Switch"
48,"Marshmello & Manuel Turizo","El Merengue"
49,"Dua Lipa","Houdini"
50,"Grupo Firme & Gerardo Coronel","Qué Onda Perdida"
51,"He Is We","I Wouldn't Mind"
52,"Quevedo","Columbia"
53,"Dei V & Bryant Myers","Narcotics"
54,"Chuy Lizárraga y Su Banda Tierra Sinaloense","Partido en Dos (Mariachi)"
55,"Christian Nodal & TINI","Por el Resto de Tu Vida"
56,"The Weeknd & Madonna","Popular (feat. Playboi Carti) [Music from the HBO Original Series The Idol]"
57,"Don Omar, Wisin & Yandel","SANDUNGA"
58,"Myke Towers","LA FALDA"
59,"Edward Maya & Vika Jigulina","Stereo Love"
60,"Yuridia & Ángela Aguilar","Qué Agonía"
61,"Tom Odell","Another Love"
62,"George Michael","Careless Whisper"
63,"Gotye","Somebody That I Used to Know (feat. Kimbra)"
64,"Bad Bunny","MONACO"
65,"Creepy Nuts","Bling-Bang-Bang-Born"
66,"Pressure","Love and Affection"
67,"Milo j","M.A.I"
68,"Ayra Starr","Rush"
69,"Simon & Garfunkel","El Condor Pasa (If I Could)"
70,"Myke Towers","LALA"
71,"Mesita, NICKI NICOLE & Tiago PZK","Una Foto Remix (feat. Emilia)"
72,"Sunstroke Project","Run Away (feat. Olia Tira)"
73,"Technotronic","Pump Up the Jam"
74,"Marc Anthony & Pepe Aguilar","Ojalá Te Duela"
75,"Beenie Man","Fassyhole Medley"
76,"Lewis Capaldi","Someone You Loved"
77,"Men At Work","Down Under"
78,"MYA & Dread Mar I","MYA LIVE P3: Qué Pasará"
79,"The Hollies","Long Cool Woman (In a Black Dress)"
80,"Gaza Slim","One Man (feat. Vybz Kartel)"
81,"Foreigner","I Want To Know What Love Is (Live)"
82,"Mavado","When U Feel Lonely"
83,"Bad Bunny","NO ME QUIERO CASAR"
84,"Pressure 9X19","El Rey De La Rápidas"
85,"Keane","Somewhere Only We Know"
86,"KAROL G & Peso Pluma","QLONA"
87,"Tears for Fears","Everybody Wants To Rule The World"
88,"The Weeknd, JENNIE & Lily Rose Depp","One Of The Girls"
89,"Popcaan & Notnice","Feel Good"
90,"Sean Paul","I'm Still in Love with You (feat. Sasha)"
91,"Burna Boy & Byron Messia","Talibans II"
92,"The Wellermen, Ebucs, Eric Hollaway & Daniel Brevik","Hoist the Colours"
93,"KAROL G","AMARGURA"
94,"Lipps, Inc.","Funkytown"
95,"World Worship","Unción en el aire (feat. Cales Louima)"
96,"Peso Pluma & Grupo Frontera","TULUM"
97,"Harry Styles","Sign of the Times"
98,"J Capri & Charly Black","Whine & Kotch"
99,"Starship","Nothing's Gonna Stop Us Now"
100,"Tyla","Water"
101,"Billie Eilish","What Was I Made For? (From The Motion Picture "Barbie")"
102,"Diego Torres","Mejor Que Ayer"
103,"Passenger","Let Her Go"
104,"Mary J. Blige","Family Affair"
105,"DJ Tons","Always Remember Us This Way"
106,"Grupo Frontera & Bad Bunny","un x100to"
107,"Grupo Frontera & Manuel Turizo","DE LUNES A LUNES"
108,"Noriel","La Paso C****n (feat. Gigolo Y La Exce, Falsetto y Sammy, Mike Duran & Baby Angel)"
109,"Michael Bublé","Feeling Good"
110,"New West","Those Eyes"
111,"4 Non Blondes","What's Up?"
112,"C. Tangana","Mala Mujer"
113,"Rauw Alejandro","DILUVIO"
114,"The Alan Parsons Project","Eye In the Sky"
115,"Ariana Grande","yes, and?"
116,"Dirtsman","Hot This Year"
117,"Rio Romeo","Nothing's New"
118,"Chris Isaak","Wicked Game"
119,"Sofia Castro","Te Juro No Te Miento"
120,"Sabu","Pequeña y Frágil"
121,"LAGOS & Reik","No Se Acaba Hasta Que Acabe"
122,"Grupo Firme & Luis Mexía","Calidad"
123,"Katya Lel","Мой мармеладный (Я не права)"
124,"Harry Styles","As It Was"
125,"Chayanne","Necesito Un Segundo"
126,"Patricia Teheran","Tarde Lo Conocí"
127,"Doble ONE Flow Letal","Mi Kryptonita"
128,"Adalberto Santiago","La Noche Mas Linda"
129,"Lesley Gore","You Don't Own Me"
130,"Laura Branigan","Self Control"
131,"Fuerza Regida","CRAZYZ"
132,"Yuridia","Sin Llorar"
133,"Yandel, Bad Bunny & Noriel","Explícale (feat. Cosculluela & Brytiago) [Remix]"
134,"The Goo Goo Dolls","Iris"
135,"The Police","Every Breath You Take"
136,"YG Marley","Praise Jah In the Moonlight"
137,"Don Omar","Dutty Love (feat. Natti Natasha)"
138,"Foster the People","Pumped Up Kicks"
139,"DJ Snake","Let Me Love You (feat. Justin Bieber)"
140,"Macho LXIII","Bandida Con Diploma"
141,"Lady Gaga","Bloody Mary"
142,"Lady Gaga","Always Remember Us This Way"
143,"Bellakath & Dani Flow","Reggaeton Champagne"
144,"C Dobleta","Bellakita"
145,"Louchie Lou","Rich Girl (feat. Michie One)"
146,"Eminem","Mockingbird"
147,"Lynyrd Skynyrd","Free Bird"
148,"Jessi Uribe","Dulce Pecado"
149,"Mr. Vegas","Hot Fuk"
150,"Adriano Celentano","Prisencolinensinainciusol"
151,"Elton John & Dua Lipa","Cold Heart (PNAU Remix)"
152,"Oasis","Stop Crying Your Heart Out"
153,"Haddaway","What Is Love"
154,"Electric Light Orchestra","Last Train to London"
155,"Ele a el Dominio","Tu Chapo"
156,"Jey One","Onana"
157,"Daddy Yankee","BONITA"
158,"Bob Marley & The Wailers","Could You Be Loved"
159,"Grupo Origen","C****n Yo Puedo"
160,"Natasha Bedingfield","Unwritten"
161,"Rema","Calm Down"
162,"Rosa Linn","SNAP"
163,"Billy Idol","Eyes Without A Face"
164,"Kiss","I Was Made For Lovin' You"
165,"The Outfield","Your Love"
166,"Carin Leon & Grupo Yndio","Dame un Beso y Dime Adiós (En Vivo)"
167,"Melendi","Tu Jardín Con Enanitos"
168,"Cutting Crew","(I Just) Died in Your Arms"
169,"Humbe","fantasmas"
170,"Collie Buddz","Love & Reggae"
171,"Bee Gees","Stayin' Alive"
172,"Dei V","Trending Remix (feat. Myke Towers)"
173,"Cyndi Lauper","Girls Just Want to Have Fun"
174,"French Montana","Unforgettable (feat. Swae Lee)"
