Shazam Top 200 Croatia Chart
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"CYRIL","Stumblin' In"
2,"ZERB & Sofiya Nzau","Mwaki"
3,"Ofenbach","Overdrive (feat. Norma Jean Martine)"
4,"Teddy Swims","Lose Control"
5,"David Guetta & Kim Petras","When We Were Young (The Logical Song)"
6,"cassö, RAYE & D-Block Europe","Prada"
7,"Jack Harlow","Lovin On Me"
8,"Eliza Rose & Calvin Harris","Body Moving (Extended)"
9,"Miach","Led (feat. Grše)"
10,"Kids From The Sky","Znamo malo"
11,"R3HAB, Inna & Sash!","Rock My Body"
12,"John Summit & Hayla","Where You Are"
13,"eugen","tišine"
14,"J Balvin, USHER & DJ Khaled","Dientes"
15,"Jim James","State Of The Art (A.E.I.O.U.)"
16,"Kenya Grace","Strangers"
17,"James Hype & Kim Petras","Drums"
18,"BUNTAI & KUKU$","POPSTAR"
19,"Doja Cat","Paint The Town Red"
20,"Vatra","Slatke suze gorka ljubav"
21,"Baby Lasagna","Rim Tim Tagi Dim"
22,"Billy Gillies","DNA (Loving You) [feat. Hannah Boleyn]"
23,"Alok, The Chainsmokers & Mae Stephens","Jungle"
24,"z++","sedmo nebo"
25,"Toma","Prevari me osjećaj (Denis Goldin Remix, Extended)"
26,"BENNETT","Vois sur ton chemin (Techno Mix)"
27,"Tonči & Madre Badessa","Šta Mi Je?"
28,"Sia","Gimme Love"
29,"Ceca & Maya Berovic","Ne racunaj na mene"
30,"Edward Maya & Vika Jigulina","Stereo Love"
31,"Troye Sivan","Got Me Started"
32,"Tyla","Water"
33,"Tate McRae","greedy"
34,"ToMa","Prevari me osjećaj"
35,"The Weeknd & Madonna","Popular (feat. Playboi Carti) [Music from the HBO Original Series The Idol]"
36,"Dua Lipa","Houdini"
37,"Peggy Gou","(It Goes Like) Nanana (Edit)"
38,"Ricchi & Poveri","Sarà Perché Ti Amo"
39,"SNIK, TOQUEL & Voyage","OAED (feat. Ivan Greko & BeTaf Beats) [Remix]"
