Shazam Top 200 Czechia Chart
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"Ofenbach","Overdrive (feat. Norma Jean Martine)"
2,"Dimitri Vegas & Like Mike, Tiësto & Dido","Thank You (Not So Bad)"
3,"Kenya Grace","Strangers"
4,"Totally Nothin & DJ Kadr","Pondělí až neděle, Pt. 2"
5,"He Is We","I Wouldn't Mind"
6,"Mark Voss","V dolinách (feat. Karol Duchoň)"
7,"Natasha Bedingfield","Unwritten"
8,"Placebo","Running Up That Hill"
9,"blink-182","ONE MORE TIME"
10,"Sophie Ellis-Bextor","Murder On The Dancefloor"
11,"Imany","Wonderful Life (Stream Jockey Rework)"
12,"Cleffy","Meet you at the Graveyard"
13,"Jack Harlow","Lovin On Me"
14,"Mirai","summer love"
15,"Dua Lipa","Houdini"
16,"David Guetta & Kim Petras","When We Were Young (The Logical Song)"
17,"Cigarettes After Sex","Apocalypse"
18,"LXNGVX","Montagem Mysterious Game"
19,"Alok, Mondello'G & Ceres","LET'S GET FKD UP (feat. Tribbs)"
20,"DJ Shadow","Six Days (feat. Mos Def) [Remix]"
21,"Blanka","Rodeo"
22,"David Kushner","Daylight"
23,"Ицык Цыпер","Дымок (feat. Игорь Цыба)"
24,"twocolors, Safri Duo & Chris de Sarandy","Cynical"
25,"Poetika","MÁM POCIT, ŽE TĚ ZTRÁCÍM"
26,"Zara Larsson & David Guetta","On My Love"
27,"FAST BOY & Topic","Forget You"
28,"Yamê","Bécane - A Colors Show"
29,"Gym Class Heroes","Cupid's Chokehold / Breakfast In America"
30,"BENNETT","Vois sur ton chemin (Techno Mix)"
31,"Michael Schulte & R3HAB","Waterfall"
32,"Kateřina Marie Tichá","Plamen"
33,"Chris Brown","Angel Numbers / Ten Toes"
34,"Edward Maya & Vika Jigulina","Stereo Love"
35,"Empire of the Sun","We Are The People"
36,"alyona alyona & Jerry Heil","Teresa & Maria"
37,"Flume","Never Be Like You (feat. KAI)"
38,"Kendrick Lamar","Swimming Pools (Drank)"
39,"STEIN27","Adikts"
40,"Tate McRae","greedy"
41,"Sigma","The Corner (feat. Joe Devlin)"
42,"Billy Gillies","DNA (Loving You) [feat. Hannah Boleyn]"
43,"ADAM","Zhurek"
44,"Fred again.. & Baby Keem","leavemealone"
45,"Becky Hill & Chase & Status","Disconnect"
46,"Sunstroke Project","Run Away (feat. Olia Tira)"
47,"Jagwar Twin","Bad Feeling (Oompa Loompa)"
48,"Elton John","I'm Still Standing"
49,"Christell","Dubidubidu"
50,"Purple Disco Machine & Kungs","Substitution (feat. Julian Perretta)"
51,"Wenzl McGowen & Enisa","Disco Cone (Take It High)"
52,"DJ Snake","Let Me Love You (feat. Justin Bieber)"
53,"Miley Cyrus","Flowers"
54,"Tom Odell","Another Love"
55,"Conan Gray","Killing Me"
56,"Kateřina Marie Tichá","Zničená zem"
57,"Sam Feldt & Sofiloud","Memories"
58,"Gotye","Somebody That I Used to Know (feat. Kimbra)"
59,"Måneskin","HONEY (ARE U COMING?)"
60,"Lady Gaga","Bloody Mary"
61,"Ella Henderson","Alibi (feat. Rudimental)"
62,"The Weeknd & Madonna","Popular (feat. Playboi Carti) [Music from the HBO Original Series The Idol]"
63,"Katya Lel","Мой мармеладный (Я не права)"
64,"Teriyaki Boyz","Tokyo Drift"
65,"Gigi D'Agostino","L'amour Toujours"
66,"Ace of Base","Happy Nation"
67,"Grey256","cool"
68,"Lucenzo","Danza Kuduro (feat. Don Omar)"
69,"Doja Cat","Paint The Town Red"
70,"Benson Boone","Beautiful Things"
71,"LIZOT, SHIBUI & Barcode Brothers","Dooh Dooh (Stereo Sound)"
72,"Drake","Rich Baby Daddy (feat. Sexyy Red & SZA)"
73,"Simon & Garfunkel","El Condor Pasa (If I Could)"
74,"Oliver Tree & Robin Schulz","Miss You"
75,"cassö, RAYE & D-Block Europe","Prada"
76,"Peggy Gou","(It Goes Like) Nanana (Edit)"
77,"Stromae","Formidable"
78,"OneRepublic","I Ain't Worried"
79,"Loreen","Tattoo"
80,"Nickelback","How You Remind Me"
81,"Lost Frequencies","The Feeling"
82,"Lady Gaga","Hold My Hand"
83,"bbno$","edamame (feat. Rich Brian)"
84,"JID","Surround Sound (feat. 21 Savage & Baby Tate)"
85,"Lykke Li","I Follow Rivers (The Magician Remix)"
86,"shometyle","Alien Flame"
87,"Chris Avantgarde & Red Rosamond","Inside"
88,"Nikos Band","Georgian Disco (Live)"
89,"SIMILIVINLIFE","Pussy Power (feat. Porsche Boy)"
90,"Miroslav Žbirka","V slepých uličkách"
91,"George Michael","Careless Whisper"
92,"Chantal Acda","Endless"
93,"The Kolors","ITALODISCO"
94,"Dermot Kennedy","Kiss Me"
95,"Hozier","Take Me to Church"
96,"KALEO","Way Down We Go"
97,"Charlie Straight","Your House"
98,"Gala","Freed From Desire"
99,"Bobby Womack","Across 110th Street"
100,"Admiral Freebee","Coming of the Knight (Live Guitar Version)"
101,"CYRIL","Stumblin' In"
102,"Fleetwood Mac","Everywhere"
103,"FAST BOY","Good Life"
104,"Wohnout","Svaz českých bohémů"
105,"Shawn Mendes","There's Nothing Holdin' Me Back"
106,"Lucie Bílá","Děkuju Ti"
107,"MIKOLAS","Never Get Over You"
108,"Eslabon Armado & Peso Pluma","Ella Baila Sola"
109,"Sigma","Changing (feat. Paloma Faith)"
110,"The Wellermen, Ebucs, Eric Hollaway & Daniel Brevik","Hoist the Colours"
111,"Elley Duhé & Whethan","MONEY ON THE DASH (SPED UP)"
112,"Jax Jones, D.O.D & Ina Wroldsen","Won't Forget You"
113,"Sherine","Sabry 'Aalil"
114,"Alessandra","Queen of Kings"
115,"The Weeknd","House Of Balloons / Glass Table Girls (Original)"
116,"Chase & Status & Bou","Baddadan (feat. IRah, Flowdan, Trigga & Takura)"
117,"The Neighbourhood","Softcore"
118,"Clams Casino & Imogen Heap","I'm God"
119,"Passenger","Let Her Go"
120,"M.I.A.","Paper Planes"
121,"Ricchi & Poveri","Sarà Perché Ti Amo"
122,"overrated & Akucum","We Fell Apart - Slowed"
123,"Jim James","State Of The Art (A.E.I.O.U.)"
124,"Eminem","Mockingbird"
125,"Icona Pop","I Love It (feat. Charli XCX)"
126,"Sam Feldt, Jonas Blue, Endless Summer & Violet Days","Crying On The Dancefloor"
127,"Adam Mišík & Ben Cristovao","ZAPOMENOUT"
128,"Calin & Viktor Sheen","Safír"
129,"Trancecore Project","Mohicans (Pulsedriver Remix Edit)"
130,"Las Ketchup","Aserejé (Hippy)"
131,"GIMS","Est-ce que tu m'aimes ? (Pilule Bleue)"
132,"Rihanna","S&M"
133,"Mary J. Blige","Family Affair"
134,"Duke Dumont","Ocean Drive"
135,"Noah Cyrus","Again (feat. XXXTENTACION)"
136,"Cascada","Everytime We Touch"
137,"Måneskin","THE LONELIEST"
138,"DJ Tons","Always Remember Us This Way"
139,"mikeeysmind & SANIKWAVE","VVV"
140,"Wheatus","Teenage Dirtbag"
141,"P!nk","Runaway"
142,"Billie Eilish","What Was I Made For? (From The Motion Picture "Barbie")"
143,"Anna Ullrich, Bitschu Batschu & DREAM DJ TEAM","Wir haben Spass und ihr nicht (feat. Marie)"
144,"21 Savage","redrum"
145,"Jaques Raupé & Felix Harrer","3 Haselnüsse"
146,"Scarlett Johansson & Bono","I Still Haven’t Found What I’m Looking For (From Sing 2)"
147,"Sebastian","Asi jsem blázen"
148,"ADONXS","No Common Measure"
149,"The Rolling Stones","Ruby Tuesday"
150,"David Guetta","Lovers on the Sun (feat. Sam Martin)"
151,"Robin Schulz, Rita Ora & Tiago PZK","I'll Be There"
152,"David Guetta & Bebe Rexha","I'm Good (Blue)"
153,"Coldplay","Viva La Vida"
154,"Miroslav Žbirka","Mesačný svit"
155,"The Weeknd, JENNIE & Lily Rose Depp","One Of The Girls"
156,"Foreigner","I Want To Know What Love Is (Live)"
157,"Post Malone","Enough Is Enough"
158,"Tyla","Water"
159,"Creepy Nuts","Bling-Bang-Bang-Born"
160,"Camila Cabello","Shameless"
161,"Rammstein","Sonne"
162,"AronChupa & Little Sis Nora","The Woodchuck Song"
163,"Milky Chance","Stolen Dance"
164,"Rema","Calm Down"
165,"Sia","Gimme Love"
166,"Mirai","Tenkrát"
167,"Miroslav Žbirka","RÍŠA SNOV"
168,"Miley Cyrus","Used To Be Young"
169,"Giggs","Incredible Sauce (feat. Dave)"
170,"Capital Cities","Safe And Sound"
171,"Snap!","Rhythm Is a Dancer"
172,"Thirty Seconds to Mars","Seasons"
173,"ClockClock","Someone Else"
174,"Travis Scott","MY EYES"
175,"Xxanteria & isq","Funked Up (Slowed)"
176,"Anne-Marie","UNHEALTHY (feat. Shania Twain)"
177,"Marnik, Naeleck & Vinai","Boyz In Paris"
178,"OneRepublic, Assassin's Creed & Mishaal Tamer","Mirage (for Assassin's Creed Mirage)"
179,"Indila","Dernière Danse"
180,"Pitbull","Guantanamera (She's Hot)"
181,"O5 a Radeček","HORY"
182,"Lewis Capaldi","Someone You Loved"
183,"Ocean Alley","Confidence"
184,"Miyagi & Эндшпиль","I Got Love (feat. Рем Дигга)"
185,"DR. VODKA","Narkotyki"
186,"Lost Frequencies & Andromedik","The Feeling (Deluxe Mix)"
187,"Cutting Crew","(I Just) Died in Your Arms"
188,"Amy Macdonald","This Is The Life"
189,"Haddaway","What Is Love"
190,"MGMT","Time to Pretend"
191,"Tom Walker","Freaking Out"
192,"Katy Perry","Hot N Cold"
193,"ZERB & Sofiya Nzau","Mwaki"
194,"Wiz Khalifa","See You Again (feat. Charlie Puth)"
195,"Metallica","Nothing Else Matters"
196,"Bicep","Glue"
197,"Macklemore & Ryan Lewis","Can't Hold Us (feat. Ray Dalton)"
198,"Shaya Zamora","Cigarette"
199,"Rihanna","Talk That Talk (feat. JAY Z)"
200,"LP","Lost on You"
