Shazam Top 50 Copenhagen
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"ZERB & Sofiya Nzau","Mwaki"
2,"Mumle","Det Modsatte"
3,"Kalaset","Tag Mig Som Jeg Er"
4,"Uro","Godthåbsvej"
5,"Teddy Swims","Lose Control"
6,"Romy","She's On My Mind"
7,"Jim James","State Of The Art (A.E.I.O.U.)"
8,"Jack Harlow","Lovin On Me"
9,"cassö, RAYE & D-Block Europe","Prada"
10,"Noah Kahan","Stick Season"
11,"Paul Russell","Lil Boo Thang"
12,"*NSYNC & Justin Timberlake","Better Place (From TROLLS Band Together)"
13,"Malte Ebert & Svea S","Mindst Ondt"
14,"Blæst","Disko i KBH"
15,"Lil Nas X","J CHRIST"
16,"Kenya Grace","Strangers"
17,"D1MA","I KNOW"
18,"David Guetta, Ayra Starr & Lil Durk","Big FU (Extended)"
19,"Troye Sivan","Got Me Started"
20,"Dua Lipa","Houdini"
21,"Anne-Marie","UNHEALTHY (feat. Shania Twain)"
22,"Benjamin Hav","Første Dag (feat. Ella Augusta)"
23,"Kind mod Kind","Ung & Smuk"
24,"Baloosh","Danser Med Dæmoner (feat. OMAR)"
25,"Marshmello, P!nk & Sting","Dreaming"
26,"Annika Aakjær","Gode Nyheder"
27,"Duke Dumont","Ocean Drive"
28,"Ed Sheeran","American Town"
29,"Kevin de Vries & Mau P","Metro"
30,"Gilli & Kesi","555"
31,"Ida Laurberg","Mellem Mor Og Far"
32,"Sophie Ellis-Bextor","Murder On The Dancefloor"
33,"Charli XCX & Sam Smith","In The City"
34,"Bosh","Djomb (Bien ou quoi)"
35,"Dillistone & Medina","Weightless"
36,"Nathan Dawe & Bebe Rexha","Heart Still Beating"
37,"Tyla","Water"
38,"Tate McRae","greedy"
39,"Pil","Andre Venner"
40,"Uro","Føles Godt (feat. Mekdes)"
41,"Østen","Regn"
42,"Saint Clara","Progress (Crying Like a Bitch)"
43,"Zara Larsson & David Guetta","On My Love"
44,"Alex Vargas","Shine Your Way Out"
45,"Tems","Me & U"
46,"andreas odbjerg","benny"
47,"Dean Lewis","How Do I Say Goodbye"
48,"Rema","Calm Down"
49,"Switch Disco & Ella Henderson","REACT"
50,"Miss Li","Ålderdomshemmet"
