Shazam Top 200 Denmark Chart
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"Mumle","Det Modsatte"
2,"Uro","Godthåbsvej"
3,"Kalaset","Tag Mig Som Jeg Er"
4,"ZERB & Sofiya Nzau","Mwaki"
5,"Teddy Swims","Lose Control"
6,"Romy","She's On My Mind"
7,"Jack Harlow","Lovin On Me"
8,"Noah Kahan","Stick Season"
9,"cassö, RAYE & D-Block Europe","Prada"
10,"He Is We","I Wouldn't Mind"
11,"Sophie Ellis-Bextor","Murder On The Dancefloor"
12,"*NSYNC & Justin Timberlake","Better Place (From TROLLS Band Together)"
13,"Jim James","State Of The Art (A.E.I.O.U.)"
14,"Kenya Grace","Strangers"
15,"Malte Ebert & Svea S","Mindst Ondt"
16,"D1MA","I KNOW"
17,"Paul Russell","Lil Boo Thang"
18,"Benjamin Hav","Første Dag (feat. Ella Augusta)"
19,"Anne-Marie","UNHEALTHY (feat. Shania Twain)"
20,"Tate McRae","greedy"
21,"Gilli & Kesi","555"
22,"Blæst","Disko i KBH"
23,"Lil Nas X","J CHRIST"
24,"Ицык Цыпер","Дымок (feat. Игорь Цыба)"
25,"Baloosh","Danser Med Dæmoner (feat. OMAR)"
26,"Troye Sivan","Got Me Started"
27,"Dua Lipa","Houdini"
28,"Uro","Føles Godt (feat. Mekdes)"
29,"Charli XCX & Sam Smith","In The City"
30,"Ida Laurberg","Mellem Mor Og Far"
31,"Chris Brown","Angel Numbers / Ten Toes"
32,"Kind mod Kind","Ung & Smuk"
33,"Tyla","Water"
34,"Bosh","Djomb (Bien ou quoi)"
35,"Ed Sheeran","American Town"
36,"David Guetta, Ayra Starr & Lil Durk","Big FU (Extended)"
37,"Pil","Andre Venner"
38,"Marshmello, P!nk & Sting","Dreaming"
39,"Annika Aakjær","Gode Nyheder"
40,"Saint Clara","Progress (Crying Like a Bitch)"
41,"Yamê","Bécane - A Colors Show"
42,"Østen","Regn"
43,"Fraads","Papa du så flot (feat. Johnson)"
44,"The Weeknd & Madonna","Popular (feat. Playboi Carti) [Music from the HBO Original Series The Idol]"
45,"Ariana Grande","yes, and?"
46,"Duke Dumont","Ocean Drive"
47,"Dermot Kennedy","Kiss Me"
48,"Rema","Calm Down"
49,"Kevin de Vries & Mau P","Metro"
50,"Natasha Bedingfield","Unwritten"
51,"Artigeardit & Lamin","Sent"
52,"Tems","Me & U"
53,"Dillistone & Medina","Weightless"
54,"Switch Disco & Ella Henderson","REACT"
55,"Nathan Dawe & Bebe Rexha","Heart Still Beating"
56,"Sherine","Sabry 'Aalil"
57,"Tate McRae","exes"
58,"Zara Larsson & David Guetta","On My Love"
59,"Miley Cyrus","Used To Be Young"
60,"Dean Lewis","How Do I Say Goodbye"
61,"Gigi D'Agostino","L'amour Toujours"
62,"Carpark North","If I Were Your King"
63,"Ofenbach","Overdrive (feat. Norma Jean Martine)"
64,"Miss Li","Ålderdomshemmet"
65,"BENNETT","Vois sur ton chemin (Techno Mix)"
66,"Radiohead","Everything In Its Right Place"
67,"andreas odbjerg","benny"
68,"Peggy Gou","(It Goes Like) Nanana (Edit)"
69,"Pil","Dronning Af Månen"
70,"Hjalmer","Aldrig Alene"
71,"Ida Laurberg & andreas odbjerg","Jeg Ka' Rigtig Godt Li' Dig"
72,"Stromae","Formidable"
73,"Edward Maya & Vika Jigulina","Stereo Love"
74,"Benny Benassi & The Biz","Satisfaction (Justus Remix)"
75,"Benjamin Hav","Hurra (feat. Pind & Emil Kruse)"
76,"Cleffy","Meet you at the Graveyard"
77,"Sia","Gimme Love"
78,"Olivia Rodrigo","vampire"
79,"Aneeda","BARE FOR NU"
80,"Gobs","Tak For Sidst"
81,"Medina","Danser For Mig Selv"
82,"LXNGVX","Montagem Mysterious Game"
83,"Gilli","Skarpt Lys"
84,"Marcus.wav","Marcus og månen"
85,"Alex Vargas","Shine Your Way Out"
86,"Drake","Rich Baby Daddy (feat. Sexyy Red & SZA)"
87,"bbno$","edamame (feat. Rich Brian)"
88,"Zara Larsson","Can't Tame Her"
89,"Travis Scott","MY EYES"
90,"Dimitri Vegas & Like Mike, Tiësto & Dido","Thank You (Not So Bad)"
91,"Eliza Rose & Calvin Harris","Body Moving (Extended)"
92,"Flume","Never Be Like You (feat. KAI)"
93,"YG Marley","Praise Jah In the Moonlight"
94,"USSEL","oslo til københavn"
95,"Artigeardit & Lamin","hva status"
96,"P!nk","TRUSTFALL"
97,"Farruko","Pepas"
98,"Saint Clara","Oh My God"
99,"GIMS","Est-ce que tu m'aimes ? (Pilule Bleue)"
100,"Timbaland","The Way I Are (feat. Keri Hilson & D.O.E.)"
101,"DYSTINCT","La"
102,"OneRepublic","RUNAWAY"
103,"Loreen","Tattoo"
104,"The Weeknd, JENNIE & Lily Rose Depp","One Of The Girls"
105,"Giggs","Incredible Sauce (feat. Dave)"
106,"Lewis Capaldi","Forget Me"
107,"Område 69","Varm"
108,"Taylor Swift","Is It Over Now? (Taylor's Version) [From The Vault]"
109,"Jung Kook","Standing Next to You"
110,"Whiskey Myers","Stone"
111,"Jorja Smith","Feelings (feat. J Hus)"
112,"Zach Bryan","I Remember Everything (feat. Kacey Musgraves)"
113,"Winona Oak","Fire Escapes"
114,"Tom Odell","Another Love"
115,"Lvbel C5","DOĞUŞTAN BERİ HAKLIYIM (tmm)"
116,"The Allman Brothers Band","Whipping Post"
117,"JID","Surround Sound (feat. 21 Savage & Baby Tate)"
118,"21 Savage","redrum"
119,"Christopher","Hope This Song Is For You (From the Netflix Film ‘A Beautiful Life’)"
120,"Billie Eilish","bury a friend"
121,"Lukas Graham & Mickey Guyton","Home Movies"
122,"лампабикт & Элли на маковом поле","немерено"
123,"Sunstroke Project","Run Away (feat. Olia Tira)"
124,"Curtis Mayfield","Move On Up"
125,"D1MA","MOONLIGHT"
126,"Guldimund","Halskæde"
127,"Holly Humberstone","Into Your Room"
128,"DJ Snake","Let Me Love You (feat. Justin Bieber)"
129,"Loreen","Is It Love"
130,"Cartel de Santa","Shorty Party (feat. La Kelly)"
131,"Lykke Li","I Follow Rivers (The Magician Remix)"
132,"Barselona","Lyse Nætter"
133,"Macklemore & Ryan Lewis","Can't Hold Us (feat. Ray Dalton)"
134,"Hampenberg","Grab That Thing (Radio Edit)"
135,"Ameli Dot","Work It Out"
136,"Lady Gaga","Hold My Hand"
137,"August Høyen","Ærlig"
138,"4batz","Act ii: Date @ 8"
139,"Sort Sol","Let Your Fingers Do the Walking (Remastered)"
140,"Lynyrd Skynyrd","Simple Man"
141,"Doja Cat","Paint The Town Red"
142,"Pattesutter","Bajer & Streger"
143,"Tina Dico","All I See"
144,"Mary J. Blige","Family Affair"
145,"Rihanna","Stay (feat. Mikky Ekko)"
146,"Katya Lel","Мой мармеладный (Я не права)"
147,"Kind mod Kind","Love Isn't Easy (feat. Medina)"
148,"The Handsome Family","Far from Any Road"
149,"Mae Stephens","If We Ever Broke Up"
150,"Gotye","Somebody That I Used to Know (feat. Kimbra)"
151,"Nikos Band","Georgian Disco (Live)"
152,"DVBBS & Borgeous","Tsunami (Radio Edit)"
153,"Gym Class Heroes","Cupid's Chokehold / Breakfast In America"
154,"George Michael","Careless Whisper"
155,"Alok, Mondello'G & Ceres","LET'S GET FKD UP (feat. Tribbs)"
156,"Taylor Swift","Cruel Summer"
157,"Madison Beer","Sweet Relief"
158,"Marcus.wav","Jeg ved det godt"
159,"D-Block Europe & Central Cee","Overseas"
160,"Chase & Status & Bou","Baddadan (feat. IRah, Flowdan, Trigga & Takura)"
161,"Chris Isaak","Wicked Game"
162,"KOREL & NEEL","Она делит вайб"
163,"W&W & AXMO","Ritmo De La Noche (Vamos a La Playa)"
164,"The Unthanks","Magpie"
165,"Drake","Practice"
166,"Cigarettes After Sex","Apocalypse"
167,"Empire of the Sun","We Are The People"
168,"Jacob Dinesen & Siné","The Waiting Game"
169,"shometyle","Alien Flame"
170,"ADAM","Zhurek"
171,"Morad & GIMS","Seya"
172,"DON XHONI & Dhurata Dora","Lej"
173,"Limp Bizkit","Behind Blue Eyes"
174,"Ed Sheeran","Eyes Closed"
175,"Modjo","Lady (Hear Me Tonight)"
176,"Iñigo Quintero","Si No Estás"
177,"RAYE & 070 Shake","Escapism."
178,"Billie Eilish","What Was I Made For? (From The Motion Picture "Barbie")"
179,"Mimi Webb","Ghost of You"
180,"The Wellermen, Ebucs, Eric Hollaway & Daniel Brevik","Hoist the Colours"
181,"AV AV AV","Facts 2.0 (feat. Chino)"
182,"Cutting Crew","(I Just) Died in Your Arms"
183,"Imany","Wonderful Life (Stream Jockey Rework)"
184,"Don Diablo","Feelings"
185,"Lewis Capaldi","Someone You Loved"
186,"Shawn Mendes & Camila Cabello","I Know What You Did Last Summer"
187,"Cascada","Everytime We Touch"
188,"DJ Ötzi","Sweet Caroline (Single Version)"
189,"Elley Duhé & Whethan","MONEY ON THE DASH (SPED UP)"
190,"Kendrick Lamar","Swimming Pools (Drank)"
191,"Zeddy Will","Cha Cha"
192,"Wenzl McGowen & Enisa","Disco Cone (Take It High)"
193,"Christell","Dubidubidu"
194,"Keane","Somewhere Only We Know"
195,"Fred again.. & The Blessed Madonna","Marea (We’ve Lost Dancing)"
196,"Dua Lipa","Dance The Night (From Barbie The Album)"
197,"Technotronic","Pump Up The Jam (Remix) [Mixed]"
198,"Victor Leksell","Svag"
199,"Pitbull","Give Me Everything (feat. Ne-Yo, Afrojack & Nayer)"
200,"Karl William","For Stort Til Én (feat. August Høyen)"
