Shazam Top 200 Egypt Chart
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"Tamer Ashour","هيجيلي موجوع"
2,"Eslam Kabonga","ايويا يا حبيبتي وحشتيني (مهرجان - ايويا يا حبيبتي وحشتيني - اسلام كابونجا - كلوشه - توزيع فيجو الدخلاوي - مهرجانات 2023)"
3,"حمادة الليثي","Tareq El Andal (feat. Amr Salama)"
4,"Haifa Wehbe","Woseltelha"
5,"Eslam Kabonga","انا مش لومانجى ( نازل نيابه عندى جلسه ) [feat. Hoda Boda]"
6,"ZIAD ZAZA","سخنت (feat. Ismail Nosrat)"
7,"عصام صاصا","Moharefen ( Fe Hodorna El Donia Btetshaqleb)"
8,"امين خطاب","سيبك من كرته المواقع ( خد كشاف انا عارف انك ياض بتخاف )"
9,"Farid","اهي مشيت (feat. Ramy Gamal)"
10,"كلوشه & اسلام كابونجا","اللي نفسه فيا بيتي ميتوهش"
11,"Lege-Cy","Fel Galeed"
12,"Yamê","Bécane - A Colors Show"
13,"DYSTINCT","La"
14,"Eslam Kabonga","بونجور هلعب جولة وطفو النور"
15,"magdy el zahar & Islam Kabonga","زماني صابني عيار"
16,"siilawy","عشانك"
17,"عصام صاصا","شايف بط وغمزت غمزة (feat. Ahmed Hamoody)"
18,"Ferqet El Masryeen","Awaat Ashouf Malamhak"
19,"Tamer Hosny","Mawahashtkesh !!? (From Hormone El Saada Album)"
20,"Tootard","Kiss"
21,"MN Records","ريمكس اتنين تلاته مشيو - تسمحلي مش هغشك"
22,"البنات مجنناني.","‏اللي باعوني كثير"
23,"3ab3az","ناجتس (feat. Begad Osama)"
24,"Grupo Ecos de Sión","Mi Dios Solo Mi Dios"
25,"Farid","مرجعليش (feat. Muslim - مُسلِم)"
26,"Ferqet El Masryeen","Mousiqa Lounga 79"
27,"Muhab","YAZMEELY"
28,"Eslam Kabonga & Miso Misara","طب هص"
29,"Don Toliver","Private Landing (feat. Justin Bieber & Future)"
30,"Rashad ComBal","النجدة"
31,"Ramy Gamal","بعده فارق"
32,"Katya Lel","Мой мармеладный (Я не права)"
33,"Essam Saasa & كيمو الديب","مرض الزهايمر"
34,"مصطفي الجن","Darb El Hokma Mesh Eab We Haram(Ashab Baldna El Kol Aref) [feat. Hady El Saghier]"
35,"Nelly","Just a Dream (feat. Shireen Abdul Wahab) [Coke Studio Fusion Mix]"
36,"حودة بندق","Ana Lesa Baftekrak"
37,"Ramy Sabry","بين الحيطان"
38,"حوده بوده & اسلام كابونجا","يلا نلعبو جوله"
39,"Nancy Ajram","Yay"
40,"Sherine","Eh Eh"
41,"عصام صاصا","Lafet El Ayam We Daret We El Soha El Naqsah Garet( Kolo Kan Mazbot We Koyews)"
42,"Lege-Cy","99"
43,"The Weeknd & Madonna","Popular (feat. Playboi Carti) [Music from the HBO Original Series The Idol]"
44,"LXNGVX","Montagem Mysterious Game"
45,"Sherine","Sabry 'Aalil"
46,"Faraj Suleiman","Regret"
47,"Marwan Moussa","Volt 3Aly"
48,"magdy el zahar","اصحابي عطلانه"
49,"Rashad ComBal","لست أنا"
50,"ميمز","Forsa"
51,"Doja Cat","Agora Hills"
52,"JID","Surround Sound (feat. 21 Savage & Baby Tate)"
53,"Abd El Basset Hamouda, Mahmoud El lithy, Hamdy Batshan, Ali Rabee, Osos & Hassan El Kholaey","Satalana"
54,"Ahmad Amer","قاعد وبتفرج"
55,"Adele","Set Fire to the Rain"
56,"Ariana Grande","bloodline"
57,"Tony Production","Ya Amar"
58,"The Wellermen, Ebucs, Eric Hollaway & Daniel Brevik","Hoist the Colours"
59,"Repiet & Julia Kleijn","Feels Like (La La La)"
60,"Sunstroke Project","Run Away (feat. Olia Tira)"
61,"Tom Odell","Another Love"
62,"Teya Dora","Džanum"
63,"Sherine","El Watar El Hassas"
64,"Mitski","My Love Mine All Mine"
65,"2Pac","All Eyez On Me (feat. Big Syke)"
66,"Nour Al Nabawy & كزبره","Es’aal Anni"
67,"Modern Talking","Cheri Cheri Lady"
68,"كريم كريستيانو","Ana Baktaf El Anzar ( Shagel Demag Adaie)"
69,"Hamada El Laithy","انا اللى كان ليا (feat. Ahmed Abdo)"
70,"Ferqet El Masryeen","El Shawarea Hawadeet"
71,"Zerrin Özer","Basit Numaralar"
72,"Farid","مش حكاية"
73,"Eslam Bloka","لا حبيبك ولا قلبك"
74,"Marwan Pablo","Matafetch"
75,"احمد موزة","همومي غنوة بغنيها"
76,"Eslam Kabonga","El Arka Bdaaet ( Tab Bom Tesh Ala Qatea Wesh ) [feat. Kalosha]"
77,"Ramy Gamal","جيت متأخر"
78,"Muslim","Gheyrak Hawel"
79,"Reda El Bahrawy","Ammal Tqoul Ana W Ana (Ana El Hadota)"
80,"Abeer Nehme","Bi Saraha"
81,"Lady Gaga","Bloody Mary"
82,"EMIN & JONY","Камин"
83,"Roddy Ricch","The Box"
84,"Muslem","A3la Safqa (Gherak Hawel )"
85,"Gultrah Sound System","Win (Piano Version)"
86,"Ramy Sabry","بحكي عليكي"
87,"Dedublüman","Belki (Akustik)"
88,"Nawal","لسه شوفتوا حاجه"
89,"Balti","Allo"
90,"Giggs","Incredible Sauce (feat. Dave)"
91,"Jack Harlow","Lovin On Me"
92,"عصام صاصا","Nos Syto Mny(Ehna Sohab Bladna)"
93,"Edward Maya & Vika Jigulina","Stereo Love"
94,"21 Savage","redrum"
95,"Muslim - مُسلِم","Aleb Fel Dafater"
96,"The Weeknd, JENNIE & Lily Rose Depp","One Of The Girls"
97,"Pitbull","Fireball (feat. John Ryan)"
98,"مهرجان","المشاغبين (Almushaghibin) [feat. تيتو بندق, حوده ناصر & حوده بندق]"
99,"Hamo Bika","صورتك في حضني ( نور عيوني انتي صحبتي وبنتي ) [feat. Essam Sasa]"
100,"mikeeysmind & SANIKWAVE","VVV"
101,"احمد عبده & محمود معتمد","يا ضهري متنحنيش خليك ثابت"
102,"Hassan El Shafei","Mesh Shayfenhom ( Coke Studio Egypt 2023 ) [feat. Bosy & Double Zuksh]"
103,"Rio Romeo","Nothing's New"
104,"Tamer Ashour","Haji Aleh Nafsi"
105,"Hamo Bika","Wada3 Ya Donia Wada3"
106,"Empire of the Sun","We Are The People"
107,"Cigarettes After Sex","Apocalypse"
108,"Assala","3ayeshny Sawany"
109,"Stromae","Papaoutai"
110,"Travis Scott","MY EYES"
111,"Tate McRae","greedy"
112,"Wawi","Om Satori"
113,"Çağan Şengül","Çok Yazık"
114,"Argy & Omnya","Aria"
115,"Ramy Sabry","حلفتك بالليالي"
116,"Chris Brown","Angel Numbers / Ten Toes"
117,"Mert Demir","Ateşe Düştüm"
118,"Camila Cabello","Shameless"
119,"AL SHAMI","Ya Leil W Yal Ein"
120,"Creepy Nuts","Bling-Bang-Bang-Born"
121,"احمد عبده","2alo faqed (feat. Mahmoud Motamed)"
122,"DJ Snake","Let Me Love You (feat. Justin Bieber)"
123,"Nedaa Shrara","ومعاك"
124,"Indila","Dernière Danse"
125,"Joel Sunny","Luminary (Sped Up)"
126,"Abdullah Al Farwan","جمالك غير"
127,"Essam Saasa","Aly Ablek Kanet Nekadeya"
128,"Eminem","Without Me"
129,"George Michael","Careless Whisper"
130,"Daddy Yankee","Gasolina"
131,"He Is We","I Wouldn't Mind"
132,"Lady Gaga","Bad Romance"
133,"Egzod, Maestro Chives & Neoni","Royalty"
134,"Flo Milli","Never Lose Me"
135,"Amr Diab","Ya Habebi la"
136,"Iñigo Rave","Bloodland"
137,"Alok & Alan Walker","Headlights (feat. KIDDO)"
138,"Loreen","Tattoo"
139,"Rostëv","Im Good (Blue) (Speed Up) [Remix]"
140,"Ahmed Moza","Habeb Akhok Bataltha(Ossod Manhabsh Ya Dyabah)"
141,"Cigarettes After Sex","Cry"
142,"Bad Bunny","MONACO"
143,"Sherif Abdelmeged, Youcsef & SoulPhonic","Wa7ed Tany (feat. Lege-Cy)"
144,"Rihanna","Diamonds"
145,"Hammo Beka","Mahragan Hatly Vodka We Gevaz (feat. Hassan Shakoush, Ali Qadoura & Nour el Tot)"
146,"مصطفي الجن","Bemgard Ma Hatetqdar (feat. هادي الصغير & ايهاب البوب)"
147,"Cian Ducrot","Part Of Me"
148,"KALEO","Way Down We Go"
149,"Mohamed Hamaki","و افتكرت"
150,"Eslam Kabonga","اللي نفسه فيا بيتي ميتوهش"
151,"مهرجان","ايام سنين (feat. حوده بندق & تيتو بندق)"
152,"Gym Class Heroes","Stereo Hearts (feat. Adam Levine)"
153,"Eslam Kabonga","محبوب بيقولو عني حرامي قلوب"
154,"Amir Eid","Metkatef"
155,"Indila","Love Story"
156,"احمد تيتو","بفطر طعميه"
157,"Mary J. Blige","Family Affair"
158,"Akon","Smack That (feat. Eminem)"
159,"Ramy Gamal","لحظة بعادك"
160,"Tamer Hosny","Bood Moaakat"
161,"اوكا & اورتيجا","Hangover"
162,"Adele","Skyfall"
163,"shometyle","Alien Flame"
164,"G.Oka","Ana Msh Faker El Kobleh"
165,"Reda El Bahrawy","Daq El Hawa Daqa"
166,"MusicPRODUCTION","شايفك متابع عصام صاصا محمود الليثي"
167,"Jessica Baio","he loves me, he loves me not"
168,"Kenya Grace","Strangers"
169,"Beach House","Space Song"
170,"Mabel Matiz","Fırtınadayım"
171,"عصام صاصا","منجايه بلدي"
172,"Marwan Pablo","Masr7ya"
173,"كيمو الديب","Malak Ya Ayoun Leeh Betbky(El Boad Dah Khier) [feat. عصام صاصا]"
174,"Ludovico Einaudi, Daniel Hope & I Virtuosi Italiani","Experience"
