Shazam Top 200 Finland Chart
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"Inginmaa/Hypnomen","Kuollut mies"
2,"NEEA RIVER","Never Made It Out Alive"
3,"Olli Halonen","Miten käärmeet lisääntyy"
4,"Lvbel C5","DOĞUŞTAN BERİ HAKLIYIM (tmm)"
5,"Bee","Viimeisiä sanoja"
6,"Ofenbach","Overdrive (feat. Norma Jean Martine)"
7,"Bjorko","Värinvaihtaja (feat. Ismo Alanko)"
8,"Ицык Цыпер","Дымок (feat. Игорь Цыба)"
9,"Mirella","Timanttei"
10,"Teddy Swims","Lose Control"
11,"Thomas Ignatius","De longe de prope"
12,"Ahti","Väärään aikaan (feat. HUGO)"
13,"ZERB & Sofiya Nzau","Mwaki"
14,"Kenya Grace","Strangers"
15,"Sara Siipola","Paskana"
16,"Cleffy","Meet you at the Graveyard"
17,"Hugo","Taulut (feat. Costi)"
18,"Tate McRae","greedy"
19,"Aden Foyer","The Ballet Girl"
20,"Jack Harlow","Lovin On Me"
21,"Blanka","Rodeo"
22,"Tiësto & BIA","BOTH (with 21 Savage)"
23,"David Guetta & Kim Petras","When We Were Young (The Logical Song)"
24,"Sia","Gimme Love"
25,"twocolors, Safri Duo & Chris de Sarandy","Cynical"
26,"He Is We","I Wouldn't Mind"
27,"BEHM","Syntymäpäivä! (Vielä KRRAN jee)"
28,"Ariana Grande","yes, and?"
29,"Yamê","Bécane - A Colors Show"
30,"Isac Elliot","Sua Ei Oo"
31,"Calvin Harris & Sam Smith","Desire"
32,"Dua Lipa","Houdini"
33,"Cian Ducrot","Heaven"
34,"Sophie Ellis-Bextor","Murder On The Dancefloor"
35,"Alan Walker & Daya","Heart over Mind"
36,"Sherine","Sabry 'Aalil"
37,"Cartel de Santa","Shorty Party (feat. La Kelly)"
38,"cassö, RAYE & D-Block Europe","Prada"
39,"Windows95Man","No Rules!"
40,"Elastinen","Pimee (feat. BESS)"
41,"Nessa Barrett","dying on the inside"
42,"Takkatan Chonlada","บ่งึดจักเม็ด"
43,"лампабикт & Элли на маковом поле","немерено"
44,"Kuumaa","Satama"
45,"The Weeknd & Madonna","Popular (feat. Playboi Carti) [Music from the HBO Original Series The Idol]"
46,"Lost Frequencies & Tom Gregory","Dive"
47,"Ehsan Daryadel","Beyt"
48,"Rodrigo Amarante","Tuyo (Narcos Theme) [A Netflix Original Series Soundtrack]"
49,"David Kushner","Daylight"
50,"Jim James","State Of The Art (A.E.I.O.U.)"
51,"Nikos Band","Georgian Disco (Live)"
52,"Warmen","Warmen Are Here For None"
53,"JID","Surround Sound (feat. 21 Savage & Baby Tate)"
54,"LXNGVX","Montagem Mysterious Game"
55,"Jannika B","Paras osa"
56,"Stromae","Formidable"
57,"Michael Schulte & R3HAB","Waterfall"
58,"Doja Cat","Paint The Town Red"
59,"Edward Maya & Vika Jigulina","Stereo Love"
60,"Tyla","Water"
61,"Jason Derulo","When Love Sucks (feat. Dido)"
62,"Jenni Vartiainen","Lanka"
63,"Billy Gillies","DNA (Loving You) [feat. Hannah Boleyn]"
64,"Hurriganes","Keep on Movin' (Live)"
65,"Ellinoora","Matkalla (Vain elämää kausi 14)"
66,"Empire of the Sun","We Are The People"
67,"Zara Larsson & David Guetta","On My Love"
68,"Suvi Teräsniska","Seuraavassa elämässä"
69,"ADAM","Zhurek"
70,"Delain","Moth to a Flame (feat. Paolo Ribaldini)"
71,"DON XHONI & Dhurata Dora","Lej"
72,"Robin Schulz, Rita Ora & Tiago PZK","I'll Be There"
73,"Sophie and the Giants & Purple Disco Machine","Paradise"
74,"Prague Symphony Orchestra","ペールギュント 第2組曲:第4曲「ソルヴェイグの歌」"
75,"Christell","Dubidubidu"
76,"Anssi Kela","P niin kuin puukko"
77,"Gym Class Heroes","Cupid's Chokehold / Breakfast In America"
78,"koira","käpy"
79,"Katya Lel","Мой мармеладный (Я не права)"
80,"KOREL & NEEL","Она делит вайб"
81,"Kendrick Lamar","Swimming Pools (Drank)"
82,"Hamit Karadeniz","Leyla"
83,"Sliki","Toistoi"
84,"Tom Odell","Another Love"
85,"Within Temptation","Ritual"
86,"Amy Macdonald","This Is The Life"
87,"BEHM & Olavi Uusivirta","Viimeinen tanssi"
88,"Taylor Swift","Is It Over Now? (Taylor's Version) [From The Vault]"
89,"Cyan Kicks","Dancing With Demons"
90,"Jesse Markin","Glow"
91,"shometyle","Alien Flame"
92,"James Blunt","Beside You"
93,"Majid Razavi","Dooset Daram"
94,"Tapani Kansa","Kuljen Taas Kotiin Päin"
