Shazam Top 50 Bordeaux
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"Iñigo Quintero","Si No Estás"
2,"Teddy Swims","Lose Control"
3,"Jungeli, Imen Es & Alonzo","Petit génie (feat. Abou Debeing & Lossa)"
4,"SANTA","Popcorn Salé"
5,"Leony, Niklas Dee & VIZE","I Can Feel"
6,"Imany","Wonderful Life (Stream Jockey Rework)"
7,"Jeck","Parapluie"
8,"ZERB & Sofiya Nzau","Mwaki"
9,"Dadju & Tayc","I love you"
10,"Dimitri Vegas & Like Mike, Tiësto & Dido","Thank You (Not So Bad)"
11,"Sound Of Legend","You Keep Me Hangin' On"
12,"Jack Harlow","Lovin On Me"
13,"Naeleck & Vini Vici","Home Alone (with Marnik)"
14,"Loreen","Is It Love"
15,"Joseph Kamel","Celui qui part"
16,"Ofenbach","Overdrive (feat. Norma Jean Martine)"
17,"Outkast","Ms. Jackson"
18,"Imagine Dragons","Children of the Sky (a Starfield song)"
19,"Kaaris","Panama (feat. Hamza)"
20,"David Guetta & Kim Petras","When We Were Young (The Logical Song)"
21,"KeBlack","LAISSE MOI"
22,"Peter, Paul & Mary","Don't Think Twice, It's All Right"
23,"Sia","Gimme Love"
24,"Gaëtan Roussel","Crois-moi ! (feat. Adeline Lovo)"
25,"Cigarettes After Sex","Apocalypse"
26,"Dua Lipa","Houdini"
27,"Dinah Washington","What A Difference A Day Made"
28,"Mikl","On a changé"
29,"Vianney & Kendji Girac","Je suis fou (feat. Soprano)"
30,"Tate McRae","greedy"
31,"Vitaa","Je n'oublie pas"
32,"Kyo","Je cours (feat. Nuit Incolore)"
33,"Yamê","Bécane - A Colors Show"
34,"Doja Cat","Paint The Town Red"
35,"P!nk","All Out Of Fight"
36,"Slimane","Mon amour"
37,"Lewis Capaldi","Wish You The Best"
38,"PLK","Périph"
39,"BENNETT","Vois sur ton chemin (Techno Mix)"
40,"U2","Atomic City"
41,"Soolking, Lola Índigo & Rvfv","Casanova"
42,"Lynyrd Skynyrd","Simple Man"
43,"Aliocha Schneider","Ensemble"
44,"Marnik, Naeleck & Vinai","Boyz In Paris"
45,"Bad Bunny","MONACO"
46,"Amir & Jason Derulo","Il y a"
47,"Josiane","Lose It All"
48,"R3HAB & Pelican","Loca Loca"
49,"Zara Larsson","Lush Life"
50,"Zara Larsson & David Guetta","On My Love"
