Shazam Top 200 France Chart
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"Teddy Swims","Lose Control"
2,"Jungeli, Imen Es & Alonzo","Petit génie (feat. Abou Debeing & Lossa)"
3,"Iñigo Quintero","Si No Estás"
4,"Kaaris","Panama (feat. Hamza)"
5,"SANTA","Popcorn Salé"
6,"Dadju & Tayc","I love you"
7,"Leony, Niklas Dee & VIZE","I Can Feel"
8,"Jack Harlow","Lovin On Me"
9,"Jeck","Parapluie"
10,"Jul","J'fais plaisir à la zone (feat. SDM)"
11,"Outkast","Ms. Jackson"
12,"ZERB & Sofiya Nzau","Mwaki"
13,"Sophie Ellis-Bextor","Murder On The Dancefloor"
14,"Yamê","Bécane - A Colors Show"
15,"Naeleck & Vini Vici","Home Alone (with Marnik)"
16,"David Guetta & Kim Petras","When We Were Young (The Logical Song)"
17,"Ofenbach","Overdrive (feat. Norma Jean Martine)"
18,"Tam Sir","Coup du marteau (feat. Team Paiya, Ste Milano, Renard Barakissa, Tazeboy & PSK)"
19,"Imany","Wonderful Life (Stream Jockey Rework)"
20,"Tate McRae","greedy"
21,"Cleffy","Meet you at the Graveyard"
22,"AriBeatz, Nimo & Lacrim","J-Lo"
23,"Loreen","Is It Love"
24,"Imagine Dragons","Children of the Sky (a Starfield song)"
25,"Doja Cat","Paint The Town Red"
26,"Dua Lipa","Houdini"
27,"KeBlack","LAISSE MOI"
28,"Dimitri Vegas & Like Mike, Tiësto & Dido","Thank You (Not So Bad)"
29,"PLK","Périph"
30,"LXNGVX","Montagem Mysterious Game"
31,"Joseph Kamel","Celui qui part"
32,"Chris Brown","Angel Numbers / Ten Toes"
33,"Bad Bunny","MONACO"
34,"Sia","Gimme Love"
35,"Sound Of Legend","You Keep Me Hangin' On"
36,"Sherine","Sabry 'Aalil"
37,"Mikl","On a changé"
38,"Dj Kawest & Gaëlle","Serre-moi fort"
39,"Peter, Paul & Mary","Don't Think Twice, It's All Right"
40,"Kenya Grace","Strangers"
41,"Shay & Niska","Sans Cœur"
42,"Ицык Цыпер","Дымок (feat. Игорь Цыба)"
43,"Zola & Koba LaD","Temps en temps"
44,"Tyla","Water"
45,"Morad & GIMS","Seya"
46,"Gaëtan Roussel","Crois-moi ! (feat. Adeline Lovo)"
47,"Merveille","Citadelle"
48,"Emkal","Pépita"
49,"Dinah Washington","What A Difference A Day Made"
50,"Måneskin","VALENTINE"
51,"Werenoi","Chemin d'or"
52,"BENNETT","Vois sur ton chemin (Techno Mix)"
53,"Cigarettes After Sex","Apocalypse"
54,"Slimane","Mon amour"
55,"Kerchak & Killemv","T'aimerais (feat. Ziak)"
56,"Teddy Swims & Freak Freely","Lose Control (Live)"
57,"Lewis Capaldi","Wish You The Best"
58,"Kyo","Je cours (feat. Nuit Incolore)"
59,"Zara Larsson & David Guetta","On My Love"
60,"Loreen","Tattoo"
61,"Marnik, Naeleck & Vinai","Boyz In Paris"
62,"Olivia Rodrigo","Can’t Catch Me Now (from The Hunger Games: The Ballad of Songbirds & Snakes)"
63,"Vianney & Kendji Girac","Je suis fou (feat. Soprano)"
64,"Favé","Flashback (feat. Gazo)"
65,"Jul","Mon tiek ti amo (feat. Norey Fz)"
66,"Amir & Jason Derulo","Il y a"
67,"Vitaa","Je n'oublie pas"
68,"Werenoi","Tu connais"
69,"Eddy de Pretto","LOVE'n'TENDRESSE"
70,"Taylor Swift","Cruel Summer"
71,"Louane","Les étoiles"
72,"The Weeknd & Madonna","Popular (feat. Playboi Carti) [Music from the HBO Original Series The Idol]"
73,"Gazo & Tiakola","MAMI WATA"
74,"Gazo & Tiakola","NOTRE DAME"
75,"P!nk","All Out Of Fight"
76,"Zara Larsson","Lush Life"
77,"Soolking, Lola Índigo & Rvfv","Casanova"
78,"Aliocha Schneider","Ensemble"
79,"JID","Surround Sound (feat. 21 Savage & Baby Tate)"
80,"Lynyrd Skynyrd","Simple Man"
81,"King Serenity, Jahyanai & SenSey'","Bam Bam (Ma Jolie)"
82,"David Kushner","Daylight"
83,"Tom Odell","Another Love"
84,"JKSN","Christian Dior"
85,"UZI","Akrapo 7"
86,"U2","Atomic City"
87,"Dave & Tiakola","Meridian"
88,"Jul","Beuh d'Hollande"
89,"Curtis Mayfield","Move On Up"
90,"Kevinho","Olha a Explosão"
91,"Ninho & Ayra Starr","No love"
92,"Willy William","Life Is Life (C'est la vie)"
93,"Kerchak","Saison 2"
94,"R3HAB & Pelican","Loca Loca"
95,"Edward Maya & Vika Jigulina","Stereo Love"
96,"Sayko","Chui pas la"
97,"Kendrick Lamar","Swimming Pools (Drank)"
98,"Esmée","Memento"
99,"Ariana Grande","yes, and?"
100,"Tianaa","Compliqué"
101,"Zaho de Sagazan","La symphonie des éclairs"
102,"Flume","Never Be Like You (feat. KAI)"
103,"Empire of the Sun","We Are The People"
