Shazam Top 50 Le Havre
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"Teddy Swims","Lose Control"
2,"Jungeli, Imen Es & Alonzo","Petit génie (feat. Abou Debeing & Lossa)"
3,"SANTA","Popcorn Salé"
4,"Iñigo Quintero","Si No Estás"
5,"Leony, Niklas Dee & VIZE","I Can Feel"
6,"Jeck","Parapluie"
7,"Imany","Wonderful Life (Stream Jockey Rework)"
8,"Outkast","Ms. Jackson"
9,"Dadju & Tayc","I love you"
10,"Jack Harlow","Lovin On Me"
11,"ZERB & Sofiya Nzau","Mwaki"
12,"Kaaris","Panama (feat. Hamza)"
13,"Dimitri Vegas & Like Mike, Tiësto & Dido","Thank You (Not So Bad)"
14,"Peter, Paul & Mary","Don't Think Twice, It's All Right"
15,"Naeleck & Vini Vici","Home Alone (with Marnik)"
16,"Loreen","Is It Love"
17,"David Guetta & Kim Petras","When We Were Young (The Logical Song)"
18,"Ofenbach","Overdrive (feat. Norma Jean Martine)"
19,"Joseph Kamel","Celui qui part"
20,"Gaëtan Roussel","Crois-moi ! (feat. Adeline Lovo)"
21,"Sound Of Legend","You Keep Me Hangin' On"
22,"Dua Lipa","Houdini"
23,"Sia","Gimme Love"
24,"Mikl","On a changé"
25,"Tate McRae","greedy"
26,"Imagine Dragons","Children of the Sky (a Starfield song)"
27,"Eddy de Pretto","LOVE'n'TENDRESSE"
28,"Jul","J'fais plaisir à la zone (feat. SDM)"
29,"Cigarettes After Sex","Apocalypse"
30,"Bad Bunny","MONACO"
31,"Dinah Washington","What A Difference A Day Made"
32,"Aliocha Schneider","Ensemble"
33,"PLK","Périph"
34,"Marnik, Naeleck & Vinai","Boyz In Paris"
35,"Slimane","Mon amour"
36,"Zara Larsson","Lush Life"
37,"Vianney & Kendji Girac","Je suis fou (feat. Soprano)"
38,"KeBlack","LAISSE MOI"
39,"Shay & Niska","Sans Cœur"
40,"Yamê","Bécane - A Colors Show"
41,"Måneskin","VALENTINE"
42,"Teddy Swims & Freak Freely","Lose Control (Live)"
43,"Zara Larsson & David Guetta","On My Love"
44,"Amir & Jason Derulo","Il y a"
45,"Vitaa","Je n'oublie pas"
46,"Doja Cat","Paint The Town Red"
47,"King Serenity, Jahyanai & SenSey'","Bam Bam (Ma Jolie)"
48,"David Kushner","Daylight"
49,"Tianaa","Compliqué"
50,"Kyo","Je cours (feat. Nuit Incolore)"
