Shazam Top 50 Lyon
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"Teddy Swims","Lose Control"
2,"Iñigo Quintero","Si No Estás"
3,"Jungeli, Imen Es & Alonzo","Petit génie (feat. Abou Debeing & Lossa)"
4,"SANTA","Popcorn Salé"
5,"Jack Harlow","Lovin On Me"
6,"Jeck","Parapluie"
7,"Imany","Wonderful Life (Stream Jockey Rework)"
8,"Leony, Niklas Dee & VIZE","I Can Feel"
9,"ZERB & Sofiya Nzau","Mwaki"
10,"Loreen","Is It Love"
11,"Kaaris","Panama (feat. Hamza)"
12,"Sound Of Legend","You Keep Me Hangin' On"
13,"David Guetta & Kim Petras","When We Were Young (The Logical Song)"
14,"Dua Lipa","Houdini"
15,"Ofenbach","Overdrive (feat. Norma Jean Martine)"
16,"Dimitri Vegas & Like Mike, Tiësto & Dido","Thank You (Not So Bad)"
17,"Jul","J'fais plaisir à la zone (feat. SDM)"
18,"Doja Cat","Paint The Town Red"
19,"PLK","Périph"
20,"KeBlack","LAISSE MOI"
21,"Naeleck & Vini Vici","Home Alone (with Marnik)"
22,"Outkast","Ms. Jackson"
23,"Dadju & Tayc","I love you"
24,"Tate McRae","greedy"
25,"Joseph Kamel","Celui qui part"
26,"Imagine Dragons","Children of the Sky (a Starfield song)"
27,"Sia","Gimme Love"
28,"Peter, Paul & Mary","Don't Think Twice, It's All Right"
29,"Zara Larsson & David Guetta","On My Love"
30,"Cigarettes After Sex","Apocalypse"
31,"Teddy Swims & Freak Freely","Lose Control (Live)"
32,"Lewis Capaldi","Wish You The Best"
33,"Tyla","Water"
34,"Kerchak & Killemv","T'aimerais (feat. Ziak)"
35,"Mikl","On a changé"
36,"Sophie Ellis-Bextor","Murder On The Dancefloor"
37,"BENNETT","Vois sur ton chemin (Techno Mix)"
38,"Vianney & Kendji Girac","Je suis fou (feat. Soprano)"
39,"Gaëtan Roussel","Crois-moi ! (feat. Adeline Lovo)"
40,"Yamê","Bécane - A Colors Show"
41,"Billy Gillies","DNA (Loving You) [feat. Hannah Boleyn]"
42,"Kyo","Je cours (feat. Nuit Incolore)"
43,"Kenya Grace","Strangers"
44,"Slimane","Mon amour"
45,"Jung Kook","Standing Next to You"
46,"Kimberose","You Made Me Pray"
47,"R3HAB & Pelican","Loca Loca"
48,"Soolking, Lola Índigo & Rvfv","Casanova"
49,"Dinah Washington","What A Difference A Day Made"
50,"Esmée","Memento"
