Shazam Top 50 Marseille
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"Teddy Swims","Lose Control"
2,"Iñigo Quintero","Si No Estás"
3,"ZERB & Sofiya Nzau","Mwaki"
4,"Jungeli, Imen Es & Alonzo","Petit génie (feat. Abou Debeing & Lossa)"
5,"SANTA","Popcorn Salé"
6,"Jack Harlow","Lovin On Me"
7,"Imany","Wonderful Life (Stream Jockey Rework)"
8,"Outkast","Ms. Jackson"
9,"Kaaris","Panama (feat. Hamza)"
10,"Leony, Niklas Dee & VIZE","I Can Feel"
11,"Dadju & Tayc","I love you"
12,"Loreen","Is It Love"
13,"Dua Lipa","Houdini"
14,"Jeck","Parapluie"
15,"Imagine Dragons","Children of the Sky (a Starfield song)"
16,"KeBlack","LAISSE MOI"
17,"Doja Cat","Paint The Town Red"
18,"Ofenbach","Overdrive (feat. Norma Jean Martine)"
19,"Tate McRae","greedy"
20,"Naeleck & Vini Vici","Home Alone (with Marnik)"
21,"Sound Of Legend","You Keep Me Hangin' On"
22,"Jul","J'fais plaisir à la zone (feat. SDM)"
23,"PLK","Périph"
24,"Mikl","On a changé"
25,"David Guetta & Kim Petras","When We Were Young (The Logical Song)"
26,"Lewis Capaldi","Wish You The Best"
27,"Slimane","Mon amour"
28,"Peter, Paul & Mary","Don't Think Twice, It's All Right"
29,"Sia","Gimme Love"
30,"Bad Bunny","MONACO"
31,"Zara Larsson & David Guetta","On My Love"
32,"Joseph Kamel","Celui qui part"
33,"Vitaa","Je n'oublie pas"
34,"Dinah Washington","What A Difference A Day Made"
35,"Cigarettes After Sex","Apocalypse"
36,"Tyla","Water"
37,"Kenya Grace","Strangers"
38,"Dimitri Vegas & Like Mike, Tiësto & Dido","Thank You (Not So Bad)"
39,"BENNETT","Vois sur ton chemin (Techno Mix)"
40,"Teddy Swims & Freak Freely","Lose Control (Live)"
41,"Kyo","Je cours (feat. Nuit Incolore)"
42,"Curtis Mayfield","Move On Up"
43,"Eddy de Pretto","LOVE'n'TENDRESSE"
44,"Taylor Swift","Cruel Summer"
45,"Vianney & Kendji Girac","Je suis fou (feat. Soprano)"
46,"Shay & Niska","Sans Cœur"
47,"Morad & GIMS","Seya"
48,"P!nk","All Out Of Fight"
49,"Loreen","Tattoo"
50,"Werenoi","Chemin d'or"
