Shazam Top 50 Montpellier
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"Teddy Swims","Lose Control"
2,"Iñigo Quintero","Si No Estás"
3,"Jungeli, Imen Es & Alonzo","Petit génie (feat. Abou Debeing & Lossa)"
4,"SANTA","Popcorn Salé"
5,"ZERB & Sofiya Nzau","Mwaki"
6,"Leony, Niklas Dee & VIZE","I Can Feel"
7,"Imany","Wonderful Life (Stream Jockey Rework)"
8,"Jeck","Parapluie"
9,"David Guetta & Kim Petras","When We Were Young (The Logical Song)"
10,"Jack Harlow","Lovin On Me"
11,"Kaaris","Panama (feat. Hamza)"
12,"Loreen","Is It Love"
13,"Ofenbach","Overdrive (feat. Norma Jean Martine)"
14,"Naeleck & Vini Vici","Home Alone (with Marnik)"
15,"Outkast","Ms. Jackson"
16,"Dadju & Tayc","I love you"
17,"Sound Of Legend","You Keep Me Hangin' On"
18,"Sia","Gimme Love"
19,"Dua Lipa","Houdini"
20,"Imagine Dragons","Children of the Sky (a Starfield song)"
21,"Doja Cat","Paint The Town Red"
22,"Mikl","On a changé"
23,"Dimitri Vegas & Like Mike, Tiësto & Dido","Thank You (Not So Bad)"
24,"Tate McRae","greedy"
25,"Bad Bunny","MONACO"
26,"PLK","Périph"
27,"Dinah Washington","What A Difference A Day Made"
28,"Soolking, Lola Índigo & Rvfv","Casanova"
29,"BENNETT","Vois sur ton chemin (Techno Mix)"
30,"KeBlack","LAISSE MOI"
31,"Kyo","Je cours (feat. Nuit Incolore)"
32,"Slimane","Mon amour"
33,"R3HAB & Pelican","Loca Loca"
34,"Peter, Paul & Mary","Don't Think Twice, It's All Right"
35,"Amir & Jason Derulo","Il y a"
36,"Teddy Swims & Freak Freely","Lose Control (Live)"
37,"Vianney & Kendji Girac","Je suis fou (feat. Soprano)"
38,"Eddy de Pretto","LOVE'n'TENDRESSE"
39,"Cigarettes After Sex","Apocalypse"
40,"Joseph Kamel","Celui qui part"
41,"Gaëtan Roussel","Crois-moi ! (feat. Adeline Lovo)"
42,"Loreen","Tattoo"
43,"Vitaa","Je n'oublie pas"
44,"Zara Larsson & David Guetta","On My Love"
45,"TR3NACRIA & StereoKilla","La Foule (Le Monde Mix)"
46,"Lewis Capaldi","Wish You The Best"
47,"Becky G","Arranca (feat. Omega)"
48,"Måneskin","VALENTINE"
49,"Kenya Grace","Strangers"
50,"Yamê","Bécane - A Colors Show"
