Shazam Top 50 Nantes
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"Teddy Swims","Lose Control"
2,"Iñigo Quintero","Si No Estás"
3,"Jungeli, Imen Es & Alonzo","Petit génie (feat. Abou Debeing & Lossa)"
4,"SANTA","Popcorn Salé"
5,"Leony, Niklas Dee & VIZE","I Can Feel"
6,"Jeck","Parapluie"
7,"Naeleck & Vini Vici","Home Alone (with Marnik)"
8,"ZERB & Sofiya Nzau","Mwaki"
9,"Outkast","Ms. Jackson"
10,"Imany","Wonderful Life (Stream Jockey Rework)"
11,"Loreen","Is It Love"
12,"Jack Harlow","Lovin On Me"
13,"Ofenbach","Overdrive (feat. Norma Jean Martine)"
14,"David Guetta & Kim Petras","When We Were Young (The Logical Song)"
15,"Dadju & Tayc","I love you"
16,"Mikl","On a changé"
17,"Gaëtan Roussel","Crois-moi ! (feat. Adeline Lovo)"
18,"Dimitri Vegas & Like Mike, Tiësto & Dido","Thank You (Not So Bad)"
19,"Kaaris","Panama (feat. Hamza)"
20,"Doja Cat","Paint The Town Red"
21,"Joseph Kamel","Celui qui part"
22,"PLK","Périph"
23,"Aliocha Schneider","Ensemble"
24,"Sound Of Legend","You Keep Me Hangin' On"
25,"Imagine Dragons","Children of the Sky (a Starfield song)"
26,"Dua Lipa","Houdini"
27,"Peter, Paul & Mary","Don't Think Twice, It's All Right"
28,"Jul","J'fais plaisir à la zone (feat. SDM)"
29,"Dinah Washington","What A Difference A Day Made"
30,"Teddy Swims & Freak Freely","Lose Control (Live)"
31,"Zaho de Sagazan","La symphonie des éclairs"
32,"P!nk","All Out Of Fight"
33,"Kyo","Je cours (feat. Nuit Incolore)"
34,"Amir & Jason Derulo","Il y a"
35,"Bad Bunny","MONACO"
36,"Vianney & Kendji Girac","Je suis fou (feat. Soprano)"
37,"Slimane","Mon amour"
38,"Cigarettes After Sex","Apocalypse"
39,"Sia","Gimme Love"
40,"Josiane","Lose It All"
41,"Marnik, Naeleck & Vinai","Boyz In Paris"
42,"Eddy de Pretto","LOVE'n'TENDRESSE"
43,"KeBlack","LAISSE MOI"
44,"Yamê","Bécane - A Colors Show"
45,"R3HAB & Pelican","Loca Loca"
46,"Tate McRae","greedy"
47,"Vitaa","Je n'oublie pas"
48,"Lewis Capaldi","Wish You The Best"
49,"Zara Larsson & David Guetta","On My Love"
50,"Måneskin","VALENTINE"
