Shazam Top 50 Nice
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"Teddy Swims","Lose Control"
2,"ZERB & Sofiya Nzau","Mwaki"
3,"Jungeli, Imen Es & Alonzo","Petit génie (feat. Abou Debeing & Lossa)"
4,"Iñigo Quintero","Si No Estás"
5,"SANTA","Popcorn Salé"
6,"Jack Harlow","Lovin On Me"
7,"Jeck","Parapluie"
8,"Imany","Wonderful Life (Stream Jockey Rework)"
9,"Dua Lipa","Houdini"
10,"Dadju & Tayc","I love you"
11,"Ofenbach","Overdrive (feat. Norma Jean Martine)"
12,"Dinah Washington","What A Difference A Day Made"
13,"Sia","Gimme Love"
14,"Imagine Dragons","Children of the Sky (a Starfield song)"
15,"David Guetta & Kim Petras","When We Were Young (The Logical Song)"
16,"Mikl","On a changé"
17,"Outkast","Ms. Jackson"
18,"Zara Larsson & David Guetta","On My Love"
19,"Louane","Les étoiles"
20,"Loreen","Is It Love"
21,"Doja Cat","Paint The Town Red"
22,"Tate McRae","greedy"
23,"Leony, Niklas Dee & VIZE","I Can Feel"
24,"Kaaris","Panama (feat. Hamza)"
25,"Teddy Swims & Freak Freely","Lose Control (Live)"
26,"Eddy de Pretto","LOVE'n'TENDRESSE"
27,"Joseph Kamel","Celui qui part"
28,"Sound Of Legend","You Keep Me Hangin' On"
29,"Peter, Paul & Mary","Don't Think Twice, It's All Right"
30,"Vitaa","Je n'oublie pas"
31,"PLK","Périph"
32,"Bad Bunny","MONACO"
33,"Slimane","Mon amour"
34,"Lewis Capaldi","Wish You The Best"
35,"Tyla","Water"
36,"Jung Kook","Standing Next to You"
37,"Curtis Mayfield","Move On Up"
38,"KeBlack","LAISSE MOI"
39,"Jul","J'fais plaisir à la zone (feat. SDM)"
40,"Taylor Swift","Cruel Summer"
41,"Kenya Grace","Strangers"
42,"Naeleck & Vini Vici","Home Alone (with Marnik)"
43,"Sophie Ellis-Bextor","Murder On The Dancefloor"
44,"Cigarettes After Sex","Apocalypse"
45,"BENNETT","Vois sur ton chemin (Techno Mix)"
46,"Kyo","Je cours (feat. Nuit Incolore)"
47,"Ariana Grande","yes, and?"
48,"Zara Larsson","Lush Life"
49,"Billy Gillies","DNA (Loving You) [feat. Hannah Boleyn]"
50,"Morad & GIMS","Seya"
