Shazam Top 50 Paris
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"Jungeli, Imen Es & Alonzo","Petit génie (feat. Abou Debeing & Lossa)"
2,"Teddy Swims","Lose Control"
3,"Iñigo Quintero","Si No Estás"
4,"SANTA","Popcorn Salé"
5,"Imany","Wonderful Life (Stream Jockey Rework)"
6,"Jack Harlow","Lovin On Me"
7,"Outkast","Ms. Jackson"
8,"Dadju & Tayc","I love you"
9,"KeBlack","LAISSE MOI"
10,"Peter, Paul & Mary","Don't Think Twice, It's All Right"
11,"Doja Cat","Paint The Town Red"
12,"Bad Bunny","MONACO"
13,"Dinah Washington","What A Difference A Day Made"
14,"Tyla","Water"
15,"Dua Lipa","Houdini"
16,"Kaaris","Panama (feat. Hamza)"
17,"Mikl","On a changé"
18,"ZERB & Sofiya Nzau","Mwaki"
19,"Jul","J'fais plaisir à la zone (feat. SDM)"
20,"Curtis Mayfield","Move On Up"
21,"Tate McRae","greedy"
22,"Cigarettes After Sex","Apocalypse"
23,"Ofenbach","Overdrive (feat. Norma Jean Martine)"
24,"PLK","Périph"
25,"Imagine Dragons","Children of the Sky (a Starfield song)"
26,"Sophie Ellis-Bextor","Murder On The Dancefloor"
27,"Sia","Gimme Love"
28,"Yamê","Bécane - A Colors Show"
29,"Teddy Swims & Freak Freely","Lose Control (Live)"
30,"Jeck","Parapluie"
31,"Kenya Grace","Strangers"
32,"Leony, Niklas Dee & VIZE","I Can Feel"
33,"Sound Of Legend","You Keep Me Hangin' On"
34,"Zara Larsson","Lush Life"
35,"Romy","She's On My Mind"
36,"King Serenity, Jahyanai & SenSey'","Bam Bam (Ma Jolie)"
37,"Daniil Trifonov","Fantaisie-Impromptu in C-Sharp Minor, Op. 66"
38,"Tam Sir","Coup du marteau (feat. Team Paiya, Ste Milano, Renard Barakissa, Tazeboy & PSK)"
39,"Loreen","Is It Love"
40,"David Guetta & Kim Petras","When We Were Young (The Logical Song)"
41,"Slimane","Mon amour"
42,"Melody Gardot","You Never Ask (from 'Madame Sean Connery')"
43,"Zara Larsson & David Guetta","On My Love"
44,"Morad & GIMS","Seya"
45,"Shay & Niska","Sans Cœur"
46,"Jogga","SKEU SKEU (feat. wilsko & 7ia)"
47,"Joseph Kamel","Celui qui part"
48,"Dave & Tiakola","Meridian"
49,"Merveille","Citadelle"
50,"JID","Surround Sound (feat. 21 Savage & Baby Tate)"
