Shazam Top 50 Strasbourg
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"Teddy Swims","Lose Control"
2,"Leony, Niklas Dee & VIZE","I Can Feel"
3,"Iñigo Quintero","Si No Estás"
4,"Jungeli, Imen Es & Alonzo","Petit génie (feat. Abou Debeing & Lossa)"
5,"Ofenbach","Overdrive (feat. Norma Jean Martine)"
6,"David Guetta & Kim Petras","When We Were Young (The Logical Song)"
7,"SANTA","Popcorn Salé"
8,"Naeleck & Vini Vici","Home Alone (with Marnik)"
9,"Imany","Wonderful Life (Stream Jockey Rework)"
10,"Jack Harlow","Lovin On Me"
11,"Dimitri Vegas & Like Mike, Tiësto & Dido","Thank You (Not So Bad)"
12,"Outkast","Ms. Jackson"
13,"Jeck","Parapluie"
14,"Imagine Dragons","Children of the Sky (a Starfield song)"
15,"Loreen","Is It Love"
16,"ZERB & Sofiya Nzau","Mwaki"
17,"Tate McRae","greedy"
18,"Sound Of Legend","You Keep Me Hangin' On"
19,"Måneskin","VALENTINE"
20,"Dua Lipa","Houdini"
21,"Dadju & Tayc","I love you"
22,"Cigarettes After Sex","Apocalypse"
23,"Dinah Washington","What A Difference A Day Made"
24,"Joseph Kamel","Celui qui part"
25,"Sia","Gimme Love"
26,"Doja Cat","Paint The Town Red"
27,"Kaaris","Panama (feat. Hamza)"
28,"P!nk","All Out Of Fight"
29,"Kenya Grace","Strangers"
30,"Slimane","Mon amour"
31,"Kyo","Je cours (feat. Nuit Incolore)"
32,"Amir & Jason Derulo","Il y a"
33,"Vitaa","Je n'oublie pas"
34,"Peter, Paul & Mary","Don't Think Twice, It's All Right"
35,"BENNETT","Vois sur ton chemin (Techno Mix)"
36,"PLK","Périph"
37,"Mikl","On a changé"
38,"Gaëtan Roussel","Crois-moi ! (feat. Adeline Lovo)"
39,"KeBlack","LAISSE MOI"
40,"Lewis Capaldi","Wish You The Best"
41,"Soolking, Lola Índigo & Rvfv","Casanova"
42,"Jul","J'fais plaisir à la zone (feat. SDM)"
43,"Zara Larsson & David Guetta","On My Love"
44,"Vianney & Kendji Girac","Je suis fou (feat. Soprano)"
45,"Eddy de Pretto","LOVE'n'TENDRESSE"
46,"Teddy Swims & Freak Freely","Lose Control (Live)"
47,"Bad Bunny","MONACO"
48,"Taylor Swift","Cruel Summer"
49,"Celestal","Beautiful Lie"
50,"Marnik, Naeleck & Vinai","Boyz In Paris"
