Shazam Top 50 Toulouse
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"Iñigo Quintero","Si No Estás"
2,"Teddy Swims","Lose Control"
3,"Jungeli, Imen Es & Alonzo","Petit génie (feat. Abou Debeing & Lossa)"
4,"ZERB & Sofiya Nzau","Mwaki"
5,"SANTA","Popcorn Salé"
6,"Imany","Wonderful Life (Stream Jockey Rework)"
7,"Jack Harlow","Lovin On Me"
8,"Jeck","Parapluie"
9,"Leony, Niklas Dee & VIZE","I Can Feel"
10,"Ofenbach","Overdrive (feat. Norma Jean Martine)"
11,"David Guetta & Kim Petras","When We Were Young (The Logical Song)"
12,"Loreen","Is It Love"
13,"Dua Lipa","Houdini"
14,"Kaaris","Panama (feat. Hamza)"
15,"Doja Cat","Paint The Town Red"
16,"Dadju & Tayc","I love you"
17,"Naeleck & Vini Vici","Home Alone (with Marnik)"
18,"Joseph Kamel","Celui qui part"
19,"Sound Of Legend","You Keep Me Hangin' On"
20,"Outkast","Ms. Jackson"
21,"Tate McRae","greedy"
22,"Imagine Dragons","Children of the Sky (a Starfield song)"
23,"Dimitri Vegas & Like Mike, Tiësto & Dido","Thank You (Not So Bad)"
24,"Tyla","Water"
25,"Sia","Gimme Love"
26,"Zara Larsson & David Guetta","On My Love"
27,"Bad Bunny","MONACO"
28,"PLK","Périph"
29,"Marnik, Naeleck & Vinai","Boyz In Paris"
30,"Yamê","Bécane - A Colors Show"
31,"Mikl","On a changé"
32,"Jul","J'fais plaisir à la zone (feat. SDM)"
33,"Taylor Swift","Cruel Summer"
34,"BADDIES ONLY","Set Fire to the Rain X BADDIES ONLY"
35,"Peter, Paul & Mary","Don't Think Twice, It's All Right"
36,"Dinah Washington","What A Difference A Day Made"
37,"Lynyrd Skynyrd","Simple Man"
38,"Kenya Grace","Strangers"
39,"Cigarettes After Sex","Apocalypse"
40,"KeBlack","LAISSE MOI"
41,"Måneskin","VALENTINE"
42,"R3HAB & Pelican","Loca Loca"
43,"BENNETT","Vois sur ton chemin (Techno Mix)"
44,"Vitaa","Je n'oublie pas"
45,"Curtis Mayfield","Move On Up"
46,"Lewis Capaldi","Wish You The Best"
47,"P!nk","All Out Of Fight"
48,"Aliocha Schneider","Ensemble"
49,"Louane","Les étoiles"
50,"Lady","Easy Love (Radio Edit)"
