Shazam Top 50 Berlin
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"CYRIL","Stumblin' In"
2,"ZERB & Sofiya Nzau","Mwaki"
3,"Teddy Swims","Lose Control"
4,"BENNETT","Vois sur ton chemin (Techno Mix)"
5,"Ofenbach","Overdrive (feat. Norma Jean Martine)"
6,"Imany","Wonderful Life (Stream Jockey Rework)"
7,"Jack Harlow","Lovin On Me"
8,"Kris Kross Amsterdam, SERA & Conor Maynard","Stay (Never Leave)"
9,"Kenya Grace","Strangers"
10,"cassö, RAYE & D-Block Europe","Prada"
11,"Doja Cat","Paint The Town Red"
12,"Jonas Kaufmann, Orchestra dell'Accademia Nazionale di Santa Cecilia, Coro Dell'Accademia Nazionale Di Santa Cecilia & Antonio Pappano","Turandot, Atto III: "Nessun Dorma""
13,"Cigarettes After Sex","Apocalypse"
14,"Robin Schulz, Rita Ora & Tiago PZK","I'll Be There"
15,"Tyla","Water"
16,"Tomcraft","Loneliness (Radio Cut)"
17,"Tate McRae","greedy"
18,"Lost Frequencies & Bastille","Head Down"
19,"Jim James","State Of The Art (A.E.I.O.U.)"
20,"Dua Lipa","Houdini"
21,"Taylor Swift","Is It Over Now? (Taylor's Version) [From The Vault]"
22,"Eliza Rose & Calvin Harris","Body Moving (Extended)"
23,"Cutting Crew","(I Just) Died in Your Arms"
24,"Sophie Ellis-Bextor","Murder On The Dancefloor"
25,"Udo Lindenberg & Apache 207","Komet"
26,"Marshmello, P!nk & Sting","Dreaming"
27,"Lynyrd Skynyrd","Simple Man"
28,"Erasure","Oh L'Amour"
29,"James Hype & Kim Petras","Drums"
30,"Billie Eilish","bury a friend"
31,"twocolors, Safri Duo & Chris de Sarandy","Cynical"
32,"The Weeknd & Madonna","Popular (feat. Playboi Carti) [Music from the HBO Original Series The Idol]"
33,"Jonas Kaufmann, Czech National Symphony Orchestra, Jochen Rieder & The Czech National Symphony Choir","E più ti penso (From "Once Upon a Time in America")"
34,"Sia","Gimme Love"
35,"Luciano, Hurts, 6PM RECORDS & SIRA","WONDERFUL LIFE"
36,"Radiohead","Everything In Its Right Place"
37,"Ray Dalton","Do It Again"
38,"David Guetta & Kim Petras","When We Were Young (The Logical Song)"
39,"Fleetwood Mac","Everywhere"
40,"Dinah Washington","What A Difference A Day Made"
41,"Alok, Mondello'G & Ceres","LET'S GET FKD UP (feat. Tribbs)"
42,"The Handsome Family","Far from Any Road"
43,"The Rolling Stones & Purple Disco Machine","Mess It Up (Purple Disco Machine Remix)"
44,"Curtis Mayfield","Move On Up"
45,"Loi","Am I Enough"
46,"Peso Pluma & Anitta","BELLAKEO"
47,"Sandra","Sterne Sehen"
48,"Gloria Gaynor","I Will Survive"
49,"Rema","Calm Down"
50,"Tiësto","Lay Low"
