Shazam Top 50 Düsseldorf
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"CYRIL","Stumblin' In"
2,"Teddy Swims","Lose Control"
3,"BENNETT","Vois sur ton chemin (Techno Mix)"
4,"Ofenbach","Overdrive (feat. Norma Jean Martine)"
5,"Tyla","Water"
6,"Jack Harlow","Lovin On Me"
7,"David Guetta & Kim Petras","When We Were Young (The Logical Song)"
8,"Marshmello, P!nk & Sting","Dreaming"
9,"twocolors, Safri Duo & Chris de Sarandy","Cynical"
10,"Eliza Rose & Calvin Harris","Body Moving (Extended)"
11,"Kenya Grace","Strangers"
12,"Dua Lipa","Houdini"
13,"ZERB & Sofiya Nzau","Mwaki"
14,"Imany","Wonderful Life (Stream Jockey Rework)"
15,"Taylor Swift","Is It Over Now? (Taylor's Version) [From The Vault]"
16,"Robin Schulz, Rita Ora & Tiago PZK","I'll Be There"
17,"cassö, RAYE & D-Block Europe","Prada"
18,"Cutting Crew","(I Just) Died in Your Arms"
19,"Jonas Kaufmann, Czech National Symphony Orchestra, Jochen Rieder & The Czech National Symphony Choir","E più ti penso (From "Once Upon a Time in America")"
20,"Noah Kahan","Stick Season"
21,"AYLIVA","Hässlich"
22,"Jonas Kaufmann, Orchestra dell'Accademia Nazionale di Santa Cecilia, Coro Dell'Accademia Nazionale Di Santa Cecilia & Antonio Pappano","Turandot, Atto III: "Nessun Dorma""
23,"James Hype & Kim Petras","Drums"
24,"Sia","Gimme Love"
25,"Doja Cat","Paint The Town Red"
26,"Purple Disco Machine, Duke Dumont & Nothing But Thieves","Something On My Mind (Extended)"
27,"Erasure","Oh L'Amour"
28,"Lynyrd Skynyrd","Simple Man"
29,"Loi","Am I Enough"
30,"Disclosure","You & Me (feat. Eliza Doolittle) [Rivo Remix]"
31,"Sophie Ellis-Bextor","Murder On The Dancefloor"
32,"Jungeli, Imen Es & Alonzo","Petit génie (feat. Abou Debeing & Lossa)"
33,"Tate McRae","greedy"
34,"Felix Jaehn & Jonas Blue","Past Life"
35,"Luciano, Hurts, 6PM RECORDS & SIRA","WONDERFUL LIFE"
36,"ÁSDÍS","Angel Eyes"
37,"Fleetwood Mac","Everywhere"
38,"Glockenbach & Ella Henderson","Lifeline"
39,"Curtis Mayfield","Move On Up"
40,"Thirty Seconds to Mars","Seasons"
41,"Cigarettes After Sex","Apocalypse"
42,"Celeste","Strange"
43,"Gloria Gaynor","I Will Survive"
44,"Tomcraft","Loneliness (Radio Cut)"
45,"Jim Croce","Time In a Bottle"
46,"Fred again.. & Baby Keem","leavemealone"
47,"Argy & Omnya","Aria"
48,"The Rolling Stones & Purple Disco Machine","Mess It Up (Purple Disco Machine Remix)"
49,"Olivia Rodrigo","vampire"
50,"James Arthur","Blindside"
