Shazam Top 50 Essen
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"CYRIL","Stumblin' In"
2,"BENNETT","Vois sur ton chemin (Techno Mix)"
3,"Ofenbach","Overdrive (feat. Norma Jean Martine)"
4,"Teddy Swims","Lose Control"
5,"David Guetta & Kim Petras","When We Were Young (The Logical Song)"
6,"Marshmello, P!nk & Sting","Dreaming"
7,"Jack Harlow","Lovin On Me"
8,"Eliza Rose & Calvin Harris","Body Moving (Extended)"
9,"Robin Schulz, Rita Ora & Tiago PZK","I'll Be There"
10,"twocolors, Safri Duo & Chris de Sarandy","Cynical"
11,"Jonas Kaufmann, Orchestra dell'Accademia Nazionale di Santa Cecilia, Coro Dell'Accademia Nazionale Di Santa Cecilia & Antonio Pappano","Turandot, Atto III: "Nessun Dorma""
12,"Taylor Swift","Is It Over Now? (Taylor's Version) [From The Vault]"
13,"Dua Lipa","Houdini"
14,"ZERB & Sofiya Nzau","Mwaki"
15,"Kenya Grace","Strangers"
16,"Imany","Wonderful Life (Stream Jockey Rework)"
17,"Tyla","Water"
18,"cassö, RAYE & D-Block Europe","Prada"
19,"Noah Kahan","Stick Season"
20,"Tate McRae","greedy"
21,"Doja Cat","Paint The Town Red"
22,"James Hype & Kim Petras","Drums"
23,"Lynyrd Skynyrd","Simple Man"
24,"Cutting Crew","(I Just) Died in Your Arms"
25,"Purple Disco Machine, Duke Dumont & Nothing But Thieves","Something On My Mind (Extended)"
26,"Sia","Gimme Love"
27,"AYLIVA","Hässlich"
28,"Loi","Am I Enough"
29,"Felix Jaehn & Jonas Blue","Past Life"
30,"The Rolling Stones & Purple Disco Machine","Mess It Up (Purple Disco Machine Remix)"
31,"ÁSDÍS","Angel Eyes"
32,"Jonas Kaufmann, Czech National Symphony Orchestra, Jochen Rieder & The Czech National Symphony Choir","E più ti penso (From "Once Upon a Time in America")"
33,"Erasure","Oh L'Amour"
34,"Fred again.. & Baby Keem","leavemealone"
35,"James Arthur","Blindside"
36,"Billy Gillies","DNA (Loving You) [feat. Hannah Boleyn]"
37,"Alle Farben & Lewis Thompson","Love Hurt Repeat (feat. Mae Muller)"
38,"Cigarettes After Sex","Apocalypse"
39,"Felix Jaehn & Leony","Waking Up"
40,"Iñigo Quintero","Si No Estás"
41,"Lost Frequencies","The Feeling"
42,"Zoe Wees","Lightning"
43,"Jim Croce","Time In a Bottle"
44,"Thirty Seconds to Mars","Seasons"
45,"Nico Santos & FAST BOY","Where You Are"
46,"Yamê","Bécane - A Colors Show"
47,"Kris Kross Amsterdam, SERA & Conor Maynard","Stay (Never Leave)"
48,"Kungs, David Guetta & Izzy Bizu","All Night Long (Extended)"
49,"Glockenbach & Ella Henderson","Lifeline"
50,"Luciano, Hurts, 6PM RECORDS & SIRA","WONDERFUL LIFE"
