Shazam Top 50 Frankfurt am Main
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"BENNETT","Vois sur ton chemin (Techno Mix)"
2,"Ofenbach","Overdrive (feat. Norma Jean Martine)"
3,"Kenya Grace","Strangers"
4,"Jonas Kaufmann, Orchestra dell'Accademia Nazionale di Santa Cecilia, Coro Dell'Accademia Nazionale Di Santa Cecilia & Antonio Pappano","Turandot, Atto III: "Nessun Dorma""
5,"Jack Harlow","Lovin On Me"
6,"cassö, RAYE & D-Block Europe","Prada"
7,"Imany","Wonderful Life (Stream Jockey Rework)"
8,"CYRIL","Stumblin' In"
9,"Marshmello, P!nk & Sting","Dreaming"
10,"J Balvin, USHER & DJ Khaled","Dientes"
11,"Tyla","Water"
12,"twocolors, Safri Duo & Chris de Sarandy","Cynical"
13,"ZERB & Sofiya Nzau","Mwaki"
14,"Loreen","Tattoo"
15,"David Guetta & Kim Petras","When We Were Young (The Logical Song)"
16,"Lynyrd Skynyrd","Simple Man"
17,"Robin Schulz, Rita Ora & Tiago PZK","I'll Be There"
18,"Sia","Gimme Love"
19,"Jonas Kaufmann, Czech National Symphony Orchestra, Jochen Rieder & The Czech National Symphony Choir","E più ti penso (From "Once Upon a Time in America")"
20,"Eliza Rose & Calvin Harris","Body Moving (Extended)"
21,"Loi","Am I Enough"
22,"Erasure","Oh L'Amour"
23,"The Weeknd & Madonna","Popular (feat. Playboi Carti) [Music from the HBO Original Series The Idol]"
24,"Dua Lipa","Houdini"
25,"Tate McRae","greedy"
26,"Lost Frequencies & Bastille","Head Down"
27,"Radiohead","Everything In Its Right Place"
28,"Cigarettes After Sex","Apocalypse"
29,"Teddy Swims","Lose Control"
30,"Ed Sheeran","American Town"
31,"Sophie Ellis-Bextor","Murder On The Dancefloor"
32,"Tomcraft","Loneliness (Radio Cut)"
33,"Curtis Mayfield","Move On Up"
34,"Udo Lindenberg & Apache 207","Komet"
35,"The Rolling Stones & Purple Disco Machine","Mess It Up (Purple Disco Machine Remix)"
36,"ÁSDÍS","Angel Eyes"
37,"Taylor Swift","Is It Over Now? (Taylor's Version) [From The Vault]"
38,"Zara Larsson","Memory Lane"
39,"Felix Jaehn & Leony","Waking Up"
40,"Cat Burns","know that you're not alone (acoustic)"
41,"Purple Disco Machine, Duke Dumont & Nothing But Thieves","Something On My Mind (Extended)"
42,"Fleetwood Mac","Everywhere"
43,"Doja Cat","Paint The Town Red"
44,"Alle Farben & Lewis Thompson","Love Hurt Repeat (feat. Mae Muller)"
45,"bbno$","edamame (feat. Rich Brian)"
46,"Iñigo Quintero","Si No Estás"
47,"Tiësto","Lay Low"
48,"Alle Farben, James Carter & VARGEN","Wanna Dance"
49,"Cutting Crew","(I Just) Died in Your Arms"
50,"The Rolling Stones","Mess It Up"
