Shazam Top 200 Germany Chart
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"CYRIL","Stumblin' In"
2,"BENNETT","Vois sur ton chemin (Techno Mix)"
3,"Ofenbach","Overdrive (feat. Norma Jean Martine)"
4,"Jack Harlow","Lovin On Me"
5,"ZERB & Sofiya Nzau","Mwaki"
6,"Kenya Grace","Strangers"
7,"Teddy Swims","Lose Control"
8,"Lvbel C5","DOĞUŞTAN BERİ HAKLIYIM (tmm)"
9,"cassö, RAYE & D-Block Europe","Prada"
10,"Sophie Ellis-Bextor","Murder On The Dancefloor"
11,"Yamê","Bécane - A Colors Show"
12,"He Is We","I Wouldn't Mind"
13,"David Guetta & Kim Petras","When We Were Young (The Logical Song)"
14,"Robin Schulz, Rita Ora & Tiago PZK","I'll Be There"
15,"Marshmello, P!nk & Sting","Dreaming"
16,"Ицык Цыпер","Дымок (feat. Игорь Цыба)"
17,"Tate McRae","greedy"
18,"LXNGVX","Montagem Mysterious Game"
19,"Tyla","Water"
20,"Imany","Wonderful Life (Stream Jockey Rework)"
21,"Jonas Kaufmann, Orchestra dell'Accademia Nazionale di Santa Cecilia, Coro Dell'Accademia Nazionale Di Santa Cecilia & Antonio Pappano","Turandot, Atto III: "Nessun Dorma""
22,"Sherine","Sabry 'Aalil"
23,"twocolors, Safri Duo & Chris de Sarandy","Cynical"
24,"Alok, Mondello'G & Ceres","LET'S GET FKD UP (feat. Tribbs)"
25,"Eliza Rose & Calvin Harris","Body Moving (Extended)"
26,"Natasha Bedingfield","Unwritten"
27,"James Hype & Kim Petras","Drums"
28,"Sia","Gimme Love"
29,"Cleffy","Meet you at the Graveyard"
30,"The Weeknd & Madonna","Popular (feat. Playboi Carti) [Music from the HBO Original Series The Idol]"
31,"Dua Lipa","Houdini"
32,"Doja Cat","Paint The Town Red"
33,"Lost Frequencies & Bastille","Head Down"
34,"Empire of the Sun","We Are The People"
35,"Loi","Am I Enough"
36,"Iñigo Quintero","Si No Estás"
37,"Drake","Rich Baby Daddy (feat. Sexyy Red & SZA)"
38,"Edward Maya & Vika Jigulina","Stereo Love"
39,"Taylor Swift","Is It Over Now? (Taylor's Version) [From The Vault]"
40,"Lynyrd Skynyrd","Simple Man"
41,"Chris Brown","Angel Numbers / Ten Toes"
42,"Erasure","Oh L'Amour"
43,"Cigarettes After Sex","Apocalypse"
44,"Cutting Crew","(I Just) Died in Your Arms"
45,"Maxwell","Safari (feat. Raf Camora & Bonez MC)"
46,"JID","Surround Sound (feat. 21 Savage & Baby Tate)"
