Shazam Top 50 Hamburg
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"BENNETT","Vois sur ton chemin (Techno Mix)"
2,"CYRIL","Stumblin' In"
3,"Ofenbach","Overdrive (feat. Norma Jean Martine)"
4,"ZERB & Sofiya Nzau","Mwaki"
5,"Robin Schulz, Rita Ora & Tiago PZK","I'll Be There"
6,"Kenya Grace","Strangers"
7,"The Rolling Stones & Purple Disco Machine","Mess It Up (Purple Disco Machine Remix)"
8,"Imany","Wonderful Life (Stream Jockey Rework)"
9,"Jonas Kaufmann, Orchestra dell'Accademia Nazionale di Santa Cecilia, Coro Dell'Accademia Nazionale Di Santa Cecilia & Antonio Pappano","Turandot, Atto III: "Nessun Dorma""
10,"Tate McRae","greedy"
11,"cassö, RAYE & D-Block Europe","Prada"
12,"Teddy Swims","Lose Control"
13,"twocolors, Safri Duo & Chris de Sarandy","Cynical"
14,"James Hype & Kim Petras","Drums"
15,"Tyla","Water"
16,"Eliza Rose & Calvin Harris","Body Moving (Extended)"
17,"Lynyrd Skynyrd","Simple Man"
18,"Sia","Gimme Love"
19,"Ed Sheeran","American Town"
20,"Jack Harlow","Lovin On Me"
21,"Lost Frequencies & Bastille","Head Down"
22,"Loi","Am I Enough"
23,"The Rolling Stones","Mess It Up"
24,"Dua Lipa","Houdini"
25,"Cigarettes After Sex","Apocalypse"
26,"Doja Cat","Paint The Town Red"
27,"Tiësto & FAST BOY","All My Life"
28,"Leony, Niklas Dee & VIZE","I Can Feel"
29,"David Guetta & Kim Petras","When We Were Young (The Logical Song)"
30,"Marshmello, P!nk & Sting","Dreaming"
31,"AYLIVA","Hässlich"
32,"Jonas Kaufmann, Czech National Symphony Orchestra, Jochen Rieder & The Czech National Symphony Choir","E più ti penso (From "Once Upon a Time in America")"
33,"James Arthur","Blindside"
34,"Erasure","Oh L'Amour"
35,"Cutting Crew","(I Just) Died in Your Arms"
36,"Michael Schulte & Norma Jean Martine","If you love me"
37,"Fleetwood Mac","Everywhere"
38,"Curtis Mayfield","Move On Up"
39,"Jim James","State Of The Art (A.E.I.O.U.)"
40,"David Kushner","Daylight"
41,"ÁSDÍS","Angel Eyes"
42,"Gloria Gaynor","I Will Survive"
43,"SIRA, Bausa & badchieff","9 bis 9"
44,"Ingrid Andress","Feel Like This"
45,"Radiohead","Everything In Its Right Place"
46,"Quaker City Night Hawks","Beat the Machine"
47,"Tomcraft","Loneliness (Radio Cut)"
48,"Jim Croce","Time In a Bottle"
49,"Celeste","Strange"
50,"The Rolling Stones","Sympathy For The Devil"
