Shazam Top 50 Hannover
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"CYRIL","Stumblin' In"
2,"BENNETT","Vois sur ton chemin (Techno Mix)"
3,"ZERB & Sofiya Nzau","Mwaki"
4,"Ofenbach","Overdrive (feat. Norma Jean Martine)"
5,"David Guetta & Kim Petras","When We Were Young (The Logical Song)"
6,"Jack Harlow","Lovin On Me"
7,"Robin Schulz, Rita Ora & Tiago PZK","I'll Be There"
8,"James Hype & Kim Petras","Drums"
9,"Teddy Swims","Lose Control"
10,"Kenya Grace","Strangers"
11,"Jonas Kaufmann, Orchestra dell'Accademia Nazionale di Santa Cecilia, Coro Dell'Accademia Nazionale Di Santa Cecilia & Antonio Pappano","Turandot, Atto III: "Nessun Dorma""
12,"cassö, RAYE & D-Block Europe","Prada"
13,"Loi","Am I Enough"
14,"The Rolling Stones & Purple Disco Machine","Mess It Up (Purple Disco Machine Remix)"
15,"Eliza Rose & Calvin Harris","Body Moving (Extended)"
16,"Leony, Niklas Dee & VIZE","I Can Feel"
17,"Ed Sheeran","American Town"
18,"Dua Lipa","Houdini"
19,"Sia","Gimme Love"
20,"Tate McRae","greedy"
21,"AYLIVA","Hässlich"
22,"Taylor Swift","Is It Over Now? (Taylor's Version) [From The Vault]"
23,"Erasure","Oh L'Amour"
24,"The Rolling Stones","Mess It Up"
25,"Marshmello, P!nk & Sting","Dreaming"
26,"Zara Larsson","Memory Lane"
27,"Lost Frequencies & Bastille","Head Down"
28,"Cutting Crew","(I Just) Died in Your Arms"
29,"Lynyrd Skynyrd","Simple Man"
30,"Demi Lovato","Stone Cold"
31,"Jonas Kaufmann, Czech National Symphony Orchestra, Jochen Rieder & The Czech National Symphony Choir","E più ti penso (From "Once Upon a Time in America")"
32,"Imany","Wonderful Life (Stream Jockey Rework)"
33,"twocolors, Safri Duo & Chris de Sarandy","Cynical"
34,"Tyla","Water"
35,"Tiësto & FAST BOY","All My Life"
36,"The Rolling Stones","Sympathy For The Devil"
37,"Doja Cat","Paint The Town Red"
38,"David Kushner","Daylight"
39,"James Arthur","Blindside"
40,"Purple Disco Machine, Duke Dumont & Nothing But Thieves","Something On My Mind (Extended)"
41,"Quaker City Night Hawks","Beat the Machine"
42,"Jim Croce","Time In a Bottle"
43,"Gloria Gaynor","I Will Survive"
44,"Tom Walker","Freaking Out"
45,"Malik Harris","Sticks & Stones"
46,"Tomcraft","Loneliness (Radio Cut)"
47,"Cigarettes After Sex","Apocalypse"
48,"Celeste","Strange"
49,"Zara Larsson & David Guetta","On My Love"
50,"Nico Santos & FAST BOY","Where You Are"
