Shazam Top 50 Köln
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"CYRIL","Stumblin' In"
2,"BENNETT","Vois sur ton chemin (Techno Mix)"
3,"Ofenbach","Overdrive (feat. Norma Jean Martine)"
4,"Teddy Swims","Lose Control"
5,"Marshmello, P!nk & Sting","Dreaming"
6,"Jack Harlow","Lovin On Me"
7,"Eliza Rose & Calvin Harris","Body Moving (Extended)"
8,"David Guetta & Kim Petras","When We Were Young (The Logical Song)"
9,"twocolors, Safri Duo & Chris de Sarandy","Cynical"
10,"Tyla","Water"
11,"ZERB & Sofiya Nzau","Mwaki"
12,"Imany","Wonderful Life (Stream Jockey Rework)"
13,"Kenya Grace","Strangers"
14,"Jonas Kaufmann, Orchestra dell'Accademia Nazionale di Santa Cecilia, Coro Dell'Accademia Nazionale Di Santa Cecilia & Antonio Pappano","Turandot, Atto III: "Nessun Dorma""
15,"Robin Schulz, Rita Ora & Tiago PZK","I'll Be There"
16,"cassö, RAYE & D-Block Europe","Prada"
17,"Dua Lipa","Houdini"
18,"Doja Cat","Paint The Town Red"
19,"James Hype & Kim Petras","Drums"
20,"Taylor Swift","Is It Over Now? (Taylor's Version) [From The Vault]"
21,"Sia","Gimme Love"
22,"AYLIVA","Hässlich"
23,"Tate McRae","greedy"
24,"Jonas Kaufmann, Czech National Symphony Orchestra, Jochen Rieder & The Czech National Symphony Choir","E più ti penso (From "Once Upon a Time in America")"
25,"Lynyrd Skynyrd","Simple Man"
26,"Cigarettes After Sex","Apocalypse"
27,"bbno$","edamame (feat. Rich Brian)"
28,"Lost Frequencies & Bastille","Head Down"
29,"Purple Disco Machine, Duke Dumont & Nothing But Thieves","Something On My Mind (Extended)"
30,"Jim James","State Of The Art (A.E.I.O.U.)"
31,"Iñigo Quintero","Si No Estás"
32,"Erasure","Oh L'Amour"
33,"Noah Kahan","Stick Season"
34,"Loi","Am I Enough"
35,"Udo Lindenberg & Apache 207","Komet"
36,"Fred again.. & Baby Keem","leavemealone"
37,"The Rolling Stones & Purple Disco Machine","Mess It Up (Purple Disco Machine Remix)"
38,"Sophie Ellis-Bextor","Murder On The Dancefloor"
39,"Cutting Crew","(I Just) Died in Your Arms"
40,"Lost Frequencies","The Feeling"
41,"Disclosure","You & Me (feat. Eliza Doolittle) [Rivo Remix]"
42,"Tomcraft","Loneliness (Radio Cut)"
43,"Curtis Mayfield","Move On Up"
44,"Jim Croce","Time In a Bottle"
45,"Zara Larsson & David Guetta","On My Love"
46,"Fleetwood Mac","Everywhere"
47,"Celeste","Strange"
48,"Radiohead","Everything In Its Right Place"
49,"Nico Santos & FAST BOY","Where You Are"
50,"Gloria Gaynor","I Will Survive"
