Shazam Top 50 Mannheim
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"BENNETT","Vois sur ton chemin (Techno Mix)"
2,"Ofenbach","Overdrive (feat. Norma Jean Martine)"
3,"ZERB & Sofiya Nzau","Mwaki"
4,"Kenya Grace","Strangers"
5,"Jack Harlow","Lovin On Me"
6,"CYRIL","Stumblin' In"
7,"Teddy Swims","Lose Control"
8,"Jonas Kaufmann, Orchestra dell'Accademia Nazionale di Santa Cecilia, Coro Dell'Accademia Nazionale Di Santa Cecilia & Antonio Pappano","Turandot, Atto III: "Nessun Dorma""
9,"Lost Frequencies & Bastille","Head Down"
10,"cassö, RAYE & D-Block Europe","Prada"
11,"Doja Cat","Paint The Town Red"
12,"Tyla","Water"
13,"Marshmello, P!nk & Sting","Dreaming"
14,"twocolors, Safri Duo & Chris de Sarandy","Cynical"
15,"James Hype & Kim Petras","Drums"
16,"Imany","Wonderful Life (Stream Jockey Rework)"
17,"Zara Larsson","Memory Lane"
18,"Iñigo Quintero","Si No Estás"
19,"Tate McRae","greedy"
20,"Jonas Kaufmann, Czech National Symphony Orchestra, Jochen Rieder & The Czech National Symphony Choir","E più ti penso (From "Once Upon a Time in America")"
21,"David Guetta & Kim Petras","When We Were Young (The Logical Song)"
22,"Loi","Am I Enough"
23,"Purple Disco Machine, Duke Dumont & Nothing But Thieves","Something On My Mind (Extended)"
24,"Robin Schulz, Rita Ora & Tiago PZK","I'll Be There"
25,"Eliza Rose & Calvin Harris","Body Moving (Extended)"
26,"Dua Lipa","Houdini"
27,"Lynyrd Skynyrd","Simple Man"
28,"JID","Surround Sound (feat. 21 Savage & Baby Tate)"
29,"Taylor Swift","Is It Over Now? (Taylor's Version) [From The Vault]"
30,"Cigarettes After Sex","Apocalypse"
31,"Erasure","Oh L'Amour"
32,"The Weeknd & Madonna","Popular (feat. Playboi Carti) [Music from the HBO Original Series The Idol]"
33,"Luciano, Hurts, 6PM RECORDS & SIRA","WONDERFUL LIFE"
34,"Sia","Gimme Love"
35,"Demi Lovato","Stone Cold"
36,"Gloria Gaynor","I Will Survive"
37,"Cutting Crew","(I Just) Died in Your Arms"
38,"Udo Lindenberg & Apache 207","Komet"
39,"Jim Croce","Time In a Bottle"
40,"Celeste","Strange"
41,"Alok, Mondello'G & Ceres","LET'S GET FKD UP (feat. Tribbs)"
42,"Nazareth","Love Hurts"
43,"Kris Kross Amsterdam, SERA & Conor Maynard","Stay (Never Leave)"
44,"Leony, Niklas Dee & VIZE","I Can Feel"
45,"Sophie Ellis-Bextor","Murder On The Dancefloor"
46,"bbno$","edamame (feat. Rich Brian)"
47,"Apache 207","Breaking your heart"
48,"Fleetwood Mac","Everywhere"
49,"Whiskey Myers","Stone"
50,"Queen","Bohemian Rhapsody"
