Shazam Top 50 Munich
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"Ofenbach","Overdrive (feat. Norma Jean Martine)"
2,"CYRIL","Stumblin' In"
3,"Jonas Kaufmann, Orchestra dell'Accademia Nazionale di Santa Cecilia, Coro Dell'Accademia Nazionale Di Santa Cecilia & Antonio Pappano","Turandot, Atto III: "Nessun Dorma""
4,"Robin Schulz, Rita Ora & Tiago PZK","I'll Be There"
5,"Jack Harlow","Lovin On Me"
6,"ZERB & Sofiya Nzau","Mwaki"
7,"Kenya Grace","Strangers"
8,"Marshmello, P!nk & Sting","Dreaming"
9,"BENNETT","Vois sur ton chemin (Techno Mix)"
10,"Jonas Kaufmann, Czech National Symphony Orchestra, Jochen Rieder & The Czech National Symphony Choir","E più ti penso (From "Once Upon a Time in America")"
11,"cassö, RAYE & D-Block Europe","Prada"
12,"twocolors, Safri Duo & Chris de Sarandy","Cynical"
13,"Tate McRae","greedy"
14,"Lynyrd Skynyrd","Simple Man"
15,"Imany","Wonderful Life (Stream Jockey Rework)"
16,"Sia","Gimme Love"
17,"Doja Cat","Paint The Town Red"
18,"Iñigo Quintero","Si No Estás"
19,"Felix Jaehn & Leony","Waking Up"
20,"Purple Disco Machine, Duke Dumont & Nothing But Thieves","Something On My Mind (Extended)"
21,"Kris Kross Amsterdam, SERA & Conor Maynard","Stay (Never Leave)"
22,"Cat Burns","know that you're not alone (acoustic)"
23,"David Guetta & Kim Petras","When We Were Young (The Logical Song)"
24,"Erasure","Oh L'Amour"
25,"Loi","Am I Enough"
26,"Jonas Kaufmann, Orchestra del Teatro Massimo di Palermo & Asher Fisch","Con te partirò"
27,"James Arthur","Blindside"
28,"Dua Lipa","Houdini"
29,"Lost Frequencies & Bastille","Head Down"
30,"Cigarettes After Sex","Apocalypse"
31,"Tyla","Water"
32,"Olivia Rodrigo","vampire"
33,"Jim James","State Of The Art (A.E.I.O.U.)"
34,"Ludovico Einaudi","Una Mattina"
35,"James Hype & Kim Petras","Drums"
36,"Eliza Rose & Calvin Harris","Body Moving (Extended)"
37,"Tiësto","Lay Low"
38,"Teddy Swims","Lose Control"
39,"Tomcraft","Loneliness (Radio Cut)"
40,"Cutting Crew","(I Just) Died in Your Arms"
41,"Michael Schulte & R3HAB","Better Me"
42,"Sophie Ellis-Bextor","Murder On The Dancefloor"
43,"Alle Farben, James Carter & VARGEN","Wanna Dance"
44,"Harry Styles","Sign of the Times"
45,"Lost Frequencies","The Feeling"
46,"Purple Disco Machine & Kungs","Substitution (feat. Julian Perretta)"
47,"Fleetwood Mac","Everywhere"
48,"Taylor Swift","Is It Over Now? (Taylor's Version) [From The Vault]"
49,"Radiohead","Everything In Its Right Place"
50,"bbno$","edamame (feat. Rich Brian)"
