Shazam Top 50 Stuttgart
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"BENNETT","Vois sur ton chemin (Techno Mix)"
2,"ZERB & Sofiya Nzau","Mwaki"
3,"Ofenbach","Overdrive (feat. Norma Jean Martine)"
4,"Lost Frequencies & Bastille","Head Down"
5,"cassö, RAYE & D-Block Europe","Prada"
6,"Teddy Swims","Lose Control"
7,"Zara Larsson","Memory Lane"
8,"Iñigo Quintero","Si No Estás"
9,"Jonas Kaufmann, Orchestra dell'Accademia Nazionale di Santa Cecilia, Coro Dell'Accademia Nazionale Di Santa Cecilia & Antonio Pappano","Turandot, Atto III: "Nessun Dorma""
10,"Kenya Grace","Strangers"
11,"Doja Cat","Paint The Town Red"
12,"Loi","Am I Enough"
13,"Jack Harlow","Lovin On Me"
14,"Robin Schulz, Rita Ora & Tiago PZK","I'll Be There"
15,"Tate McRae","greedy"
16,"Tyla","Water"
17,"James Hype & Kim Petras","Drums"
18,"David Guetta & Kim Petras","When We Were Young (The Logical Song)"
19,"Imany","Wonderful Life (Stream Jockey Rework)"
20,"Marshmello, P!nk & Sting","Dreaming"
21,"Lynyrd Skynyrd","Simple Man"
22,"JID","Surround Sound (feat. 21 Savage & Baby Tate)"
23,"Taylor Swift","Is It Over Now? (Taylor's Version) [From The Vault]"
24,"Marlon Roudette","No Water"
25,"Kris Kross Amsterdam, SERA & Conor Maynard","Stay (Never Leave)"
26,"Purple Disco Machine, Duke Dumont & Nothing But Thieves","Something On My Mind (Extended)"
27,"twocolors, Safri Duo & Chris de Sarandy","Cynical"
28,"CYRIL","Stumblin' In"
29,"Cigarettes After Sex","Apocalypse"
30,"Erasure","Oh L'Amour"
31,"Gloria Gaynor","I Will Survive"
32,"ÁSDÍS","Angel Eyes"
33,"Alle Farben, James Carter & VARGEN","Wanna Dance"
34,"Jonas Kaufmann, Czech National Symphony Orchestra, Jochen Rieder & The Czech National Symphony Choir","E più ti penso (From "Once Upon a Time in America")"
35,"Dua Lipa","Houdini"
36,"The Weeknd & Madonna","Popular (feat. Playboi Carti) [Music from the HBO Original Series The Idol]"
37,"Sia","Gimme Love"
38,"Cutting Crew","(I Just) Died in Your Arms"
39,"Alok, Mondello'G & Ceres","LET'S GET FKD UP (feat. Tribbs)"
40,"Nazareth","Love Hurts"
41,"Queen","Bohemian Rhapsody"
42,"Kiss","I Was Made For Lovin' You"
43,"Celeste","Strange"
44,"Leony, Niklas Dee & VIZE","I Can Feel"
45,"Lost Frequencies","The Feeling"
46,"Whiskey Myers","Stone"
47,"Jim Croce","Time In a Bottle"
48,"Thirty Seconds to Mars","Seasons"
49,"Demi Lovato","Stone Cold"
50,"Albert Hammond","It Never Rains In Southern California"
