Shazam Top 200 Ghana Chart
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"Safo Newman","Akokoa"
2,"ODUMODUBLVCK & Black Sherif","WOTOWOTO SEASONING"
3,"Reggie, O'Kenneth & xlimkid","Sa Me (feat. City Boy)"
4,"Chike & MohBad","Egwu"
5,"Black Sherif","January 9th"
6,"Kizz Daniel","Twe Twe"
7,"Smallgod & Black Sherif","Fallen Angel"
8,"Amerado","Abronoma"
9,"Shallipopi","Cast (feat. ODUMODUBLVCK)"
10,"The Real Prechly, Dj Lux & Dj Guti BPM","A Collision of Two Worlds"
11,"Omah Lay","Holy Ghost"
12,"Boy Spyce","Pepe"
13,"Sarkodie","Otan"
14,"DJ Vyrusky","Broken Heart (feat. Kuami Eugene)"
15,"Lyrical Joe","Enter (feat. Kuami Eugene)"
16,"O'Kenneth & xlimkid","LONELY ROAD"
17,"Nyashinski","Malaika"
18,"Diana Hamilton","The Doing of the Lord (feat. Mercy Chinwo)"
19,"Skyface SDW & Kwaku DMC","Taste (Tokoro) [feat. O'Kenneth, Beeztrap Kotm, Jay Bahd & Reggie]"
20,"Nasboi","Umbrella (feat. Wande Coal)"
21,"Crayon & Ayra Starr","Ngozi"
22,"Lord Kossity","Can't Talk To We"
23,"Oseikrom Sikanii","Ting Ting"
24,"SevenKizs","Picture"
25,"SPINALL & Fireboy DML","Sere"
26,"Tyler ICU & Tumelo.za","Mnike (feat. DJ Maphorisa, Nandipha808, Ceeka RSA & Tyron Dee)"
27,"Nawtyboi Tattoo","Btc"
28,"Chris Brown","Angel Numbers / Ten Toes"
29,"Gyakie","Rent Free"
30,"Kuami Eugene","Monica"
31,"Kweku Smoke","Lamborghini"
32,"Akon","Right Now (Na Na Na)"
33,"Kamo Mphela, Tyler ICU & Khalil Harrison","Dalie (feat. Baby S.O.N)"
34,"Mr. Monrovia","Tight Skirt"
35,"Flavour","Big Baller"
36,"Amerado","Kwaku Ananse (feat. Fameye) [Remix]"
37,"Akwaboah","Pressure"
38,"Tyla","Water"
39,"Lil Tjay","2 Grown (feat. The Kid LAROI)"
40,"Asake","Lonely At The Top"
41,"Symple","Adiza (feat. Sarkodie)"
42,"Asake","Only Me"
43,"Omah Lay","reason"
44,"Tim Godfrey X Fearless Community","Big God (feat. Anderson)"
45,"King Paluta","Sika Aba Fie"
46,"Kay Ken","No more (feat. Oyensem)"
47,"Yamê","Bécane - A Colors Show"
48,"Victony & Tempoe","Soweto (Sped up)"
49,"Teejay & Davido","Drift (Remix)"
50,"KWESI AMEWUGA","Ase3"
51,"Khaid","Anabella"
52,"Phyno & Burna Boy","Do I (Remix)"
53,"Tam Sir","Coup du marteau (feat. Team Paiya, Ste Milano, Renard Barakissa, Tazeboy & PSK)"
54,"Piesie Esther","Mo"
55,"Everlasting Tiki","Hustle (Acoustic Version)"
