Shazam Top 200 Greece Chart
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"ZERB & Sofiya Nzau","Mwaki"
2,"Argy & Omnya","Aria"
3,"Lava, ROPEX LATERIO & Paris Kalpos","Balkan Disco"
4,"The Weeknd & Madonna","Popular (feat. Playboi Carti) [Music from the HBO Original Series The Idol]"
5,"Joezi","7 Seconds (feat. Coco & Pape Diouf)"
6,"Teddy Swims","Lose Control"
7,"Jack Harlow","Lovin On Me"
8,"Alex Sid, Quasamodo & Man Called Shadow","Blazing"
9,"Tyla","Water"
10,"TH;EN","Katania"
11,"Tate McRae","greedy"
12,"Sicario","ISOS"
13,"Kenya Grace","Strangers"
14,"Tripolism, Nandu & Radeckt","Dope Dance"
15,"Ofenbach","Overdrive (feat. Norma Jean Martine)"
16,"Doja Cat","Paint The Town Red"
17,"Nikos Oikonomopoulos","Ekptotos Aggelos"
18,"Loreen","Tattoo"
19,"Haris Alexiou & Christos Mastoras","Esy Me Xereis Pio Poly (Reworks)"
20,"Nico de Andrea & Vanetty","Ethnica"
21,"TOQUEL, LILA & Beyond","Allou"
22,"Petros Iakovidis","Pes Mou Kati"
23,"SNIK, TOQUEL & Voyage","OAED (feat. Ivan Greko & BeTaf Beats) [Remix]"
24,"Purple Disco Machine & Kungs","Substitution (feat. Julian Perretta)"
25,"DAMIANO","Guestlist"
26,"Sherine","Sabry 'Aalil"
27,"Sophie Ellis-Bextor","Murder On The Dancefloor"
28,"Peggy Gou","(It Goes Like) Nanana (Edit)"
29,"Chris Brown","Angel Numbers / Ten Toes"
30,"cassö, RAYE & D-Block Europe","Prada"
31,"Dua Lipa","Houdini"
32,"Antonis Remos","Xilia Spirta"
33,"Haris Alexiou & Lex","Fyge (Reworks)"
34,"Pan Pan","Ανισόπεδη Ντίσκο (feat. Kalliopi Mitropoulou)"
35,"Troye Sivan","One Of Your Girls"
36,"David Guetta & Kim Petras","When We Were Young (The Logical Song)"
37,"He Is We","I Wouldn't Mind"
38,"Disclosure","You & Me (feat. Eliza Doolittle) [Rivo Remix]"
39,"Konstantinos Argiros","Einai Pou Akoma S' Agapo (Pt. 3 - Energia)"
40,"ZAF & Christos Mastoras","Pes"
41,"Nicos Terzis, Giorgos Stratakis & Nikos Stratakis","Ekei Pou Klaine Oi Aetoi (feat. Yiannis Kotsiras) [From Original Tv Series "Sasmos" Soundtrack]"
42,"Claude","Ladada (Mes Derniers Mots)"
43,"ADAM","Zhurek"
44,"Giorgos Mazonakis","Na Pernas"
45,"Yamê","Bécane - A Colors Show"
46,"James Mac & Vall","The Boy Is Mine (feat. Rosalie)"
47,"BENNETT","Vois sur ton chemin (Techno Mix)"
48,"21 Savage","redrum"
49,"Gianni Romano & Emanuele Esposito","It's Not Right (feat. Helen Tesfazghi)"
50,"Paola & George Theofanous","Se Xreiazomai"
51,"Abd El Basset Hamouda, Mahmoud El lithy, Hamdy Batshan, Ali Rabee, Osos & Hassan El Kholaey","Satalana"
52,"Alex Sid","Spinner"
53,"FLY LO","Magia"
54,"Coi Leray","Players"
55,"Tiësto","Lay Low"
56,"APON & Eleni Foureira","Gdysou"
57,"EDE","Do My Thing (Dixon Rework - Edit)"
58,"Purple Disco Machine & Sophie and the Giants","In The Dark"
59,"The Beatles","Now And Then"
60,"Edward Maya & Vika Jigulina","Stereo Love"
61,"Loreen","Is It Love"
62,"The Wellermen, Ebucs, Eric Hollaway & Daniel Brevik","Hoist the Colours"
63,"Tom Odell","Another Love"
64,"James Hype & Kim Petras","Drums"
65,"Mina","Ancora, ancora, ancora (Radio Edit) [Mark Ronson Remix]"
66,"Jain","Makeba"
67,"MR.BLACK & Offer Nissim","Mucho Bien (Joezi Remix)"
68,"TH;EN","Lullaby (Radio Mix)"
69,"Empire of the Sun","We Are The People"
70,"Georgios Sabanis","Rota"
71,"Fivos Delivorias","Gospel"
72,"Giannis Ploutarhos","Papse Epitelous"
73,"Sophie and the Giants & Purple Disco Machine","Paradise"
74,"&ME & Black Coffee","The Rapture Pt. III"
75,"The Weeknd, JENNIE & Lily Rose Depp","One Of The Girls"
76,"DON XHONI & Dhurata Dora","Lej"
77,"Anna Vissi","Lekes"
78,"Gala","Freed From Desire"
79,"Bad Bunny","MONACO"
80,"Michalis Hatzigiannis","Oti Thes (Vasilias)"
81,"JID","Surround Sound (feat. 21 Savage & Baby Tate)"
82,"Ahmed Spins","Anchor Point (feat. Stevo Atambire)"
83,"Giorgos Kakosaios","Siko Kardia Mou"
84,"Panos Kiamos","Mia Mikri Zimia"
85,"Sadam, HGEMONA$ & Mike G","Ekato"
86,"Cigarettes After Sex","Apocalypse"
87,"Despina Vandi","S' Agapao Kai Den Pao Kala"
88,"Chris IDH","Buya (feat. Kwezi)"
89,"Playmen & Klavdia","Movin' Too Fast"
90,"Roi 6/12","Love Me"
91,"Playmen & Hadley","Luv You (Extended Version)"
92,"KAROL G & Shakira","TQG"
93,"Josephine","Moira"
94,"Eleni Foureira & Display","Kolima"
95,"Katerina Lioliou","I Gineka Tis Zois Sou"
96,"George Michael","Careless Whisper"
97,"Martha Frintzila & Orestis Ntantos","Nero Sti Varka"
98,"Anastasia","Floga"
99,"Giorgos Livanis & Dirty Harry","An Sto Heri Sou Ine"
100,"Katya Lel","Мой мармеладный (Я не права)"
101,"Telenova","Bones"
102,"Sunstroke Project","Run Away (feat. Olia Tira)"
103,"Bicep","Glue"
104,"Dire Straits","Sultans of Swing"
105,"LILA, Sin Laurent & Beyond","ANASAINO KAI ZALIZOMAI"
106,"TOQUEL & Beyond","Drive By"
107,"Mary J. Blige","Family Affair"
108,"Claydee, Dappy & Dae","Lonely"
109,"Ivi Adamou, Trannos & Foivos","Ti Sou Kanei"
110,"Lost Frequencies, Elley Duhé & X Ambassadors","Back To You"
111,"SNIK, Ivan Greko & BeTaf Beats","OAED"
112,"Switch Disco & Ella Henderson","REACT"
113,"Purple Disco Machine, Duke Dumont & Nothing But Thieves","Something On My Mind (Extended)"
114,"Danny Dimitroff & Yassen Drumev","Jelka"
115,"Sakis Rouvas & 3SUM","Thema"
116,"Zozefina Genovezou, Nasos Fakidis & Mi Pechtaridis","O Tzoutzoukos"
117,"Kali Uchis","Te Mata"
118,"Ioulia Kallimani & Michael Touratzidis","Efyge? (Medley)"
119,"Cafe De Anatolia, Christos Papadopoulos, Dim Angelo & Alex Mihalakis","Sunset In Aegean"
120,"Miley Cyrus","Flowers"
121,"Anastasia","Simadi"
122,"Rema","Calm Down"
123,"Voyage & Nucci","Gad"
124,"Nikos Apergis","Xilia Xronia"
125,"D-Block Europe & Central Cee","Overseas"
126,"Kid Francescoli","Nopalitos"
127,"Morad & GIMS","Seya"
128,"Troye Sivan","Rush"
129,"Radiohead","Street Spirit (Fade Out)"
130,"New Order","Blue Monday"
131,"Simon & Garfunkel","El Condor Pasa (If I Could)"
132,"Georgios Sabanis","Alli Mia Agapi (Miso Tsigaro)"
133,"Harry Styles","As It Was"
134,"Sia","Gimme Love"
135,"Nitefreak & Emmanuel Jal","Gorah"
136,"Yannis Parios","Horis Esena Den Iparho"
137,"RAYE & 070 Shake","Escapism."
138,"Inna & Bob Taylor","Deja Vu (feat. Bob Taylor)"
139,"Light","Allegra (N1)"
140,"Offset","Clout (feat. Cardi B)"
141,"Lynyrd Skynyrd","Simple Man"
142,"Moojo & Da Capo","Secret ID"
143,"Katy Garbi, Konstantinos Argiros & Foivos","Hamena"
144,"Ionut Cercel","Made in Romania"
145,"Snoh Aalegra","Nothing Burns Like The Cold (feat. Vince Staples)"
146,"Made By Pete & Zoe Kypri","Horizon Red"
147,"Bob Sinclar & Matia Bazar","Ti Sento (feat. Antonella Ruggiero)"
148,"Michalis Hatzigiannis","Ola Poli"
149,"Coldplay","Trouble"
150,"Rihanna","Talk That Talk (feat. JAY Z)"
151,"Verde","ARAI"
152,"Stromae","Formidable"
153,"Metro Boomin, The Weeknd & Diddy","Creepin' (Remix) [feat. 21 Savage]"
154,"Kutiman & DEKEL","My Everything"
155,"Chris Isaak","Wicked Game"
156,"Melisses","30-40"
157,"Peggy Gou & Lenny Kravitz","I Believe In Love Again"
158,"Calvin Harris & Ellie Goulding","Miracle"
159,"Imany","Wonderful Life (Stream Jockey Rework)"
160,"Sam Smith & Kim Petras","Unholy"
161,"Maria Mena","Just Hold Me"
162,"James","Getting Away With It (All Messed Up)"
163,"Rosa Linn","SNAP"
164,"Iñigo Quintero","Si No Estás"
165,"Flo Milli","Never Lose Me"
166,"Jung Kook & Jack Harlow","3D"
167,"Until June","Sleepless"
168,"Elli Kokkinou & Nikos Apergis","Thelo Tosa Na Sou Po (Live)"
169,"Ariana Grande","yes, and?"
170,"Cutting Crew","(I Just) Died in Your Arms"
171,"Swedish House Mafia & The Weeknd","Moth To A Flame"
172,"David Guetta & Bebe Rexha","I'm Good (Blue)"
173,"Kidd & Oge","NA PAS"
174,"Paul Weller","You Do Something To Me"
175,"Gym Class Heroes","Cupid's Chokehold / Breakfast In America"
176,"The Weeknd","Blinding Lights"
177,"Indila","Dernière Danse"
178,"Billie Eilish & Khalid","lovely"
179,"Daryl Hall & John Oates","Out of Touch (Avangart Tabldot Remix)"
180,"Taylor Swift","Cruel Summer"
181,"Fred again.. & The Blessed Madonna","Marea (We’ve Lost Dancing)"
182,"Teya Dora","Džanum"
183,"Vintage Culture & James Hype","You Give Me a Feeling"
184,"loera, ZETH INC. & Flexyz","Montagem Coral"
185,"Natasa Theodoridou & Foivos","Ena Lathos"
186,"Gotye","Somebody That I Used to Know (feat. Kimbra)"
187,"Gunna","fukumean"
188,"Curtis Mayfield","Move On Up"
189,"Vasilis Skoulas & Nicos Terzis","Ta Antitheta (Original Tv Series "Sasmos" Soundtrack)"
190,"Xenia Ghali & Kid Moxie","New God (Radio Edit)"
191,"Cleffy","Meet you at the Graveyard"
192,"Chris Avantgarde & Red Rosamond","Inside"
193,"Jax Jones & Calum Scott","Whistle"
194,"shometyle","Alien Flame"
195,"Kelis","Milkshake 20 (Alex Wann Remix)"
196,"Giorgos Kakosaios","Savvato Vrady"
197,"Roni Iron","Fovame (feat. Jennie Nega)"
198,"Minos Matsas & Kostas Triantafillidis","Istoria"
199,"Ilias Kampakakis","Nihta M' Akous?"
200,"Passenger","Let Her Go"
