Shazam Top 200 Hungary Chart
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"Ray Dalton","Do It Again"
2,"Ofenbach","Overdrive (feat. Norma Jean Martine)"
3,"Akon","Ghetto"
4,"Tate McRae","greedy"
5,"Alan Walker, Dash Berlin & Vikkstar","Better Off (Alone, Pt. III)"
6,"Lost Frequencies","The Feeling"
7,"Natasha Bedingfield","Unwritten"
8,"He Is We","I Wouldn't Mind"
9,"Zara Larsson","Can't Tame Her"
10,"Argy & Omnya","Aria"
11,"CYRIL","Stumblin' In"
12,"Imany","Wonderful Life (Stream Jockey Rework)"
13,"Robin Schulz","Sweet Goodbye"
14,"T. Danny & Young Fly","No Woman No Cry"
15,"Ricchi & Poveri","Sarà Perché Ti Amo"
16,"BENNETT","Vois sur ton chemin (Techno Mix)"
17,"Alok & Ava Max","Car Keys (Ayla)"
18,"Chris Brown","Angel Numbers / Ten Toes"
19,"Calvin Harris & Sam Smith","Desire"
20,"Purple Disco Machine & Kungs","Substitution (feat. Julian Perretta)"
21,"Kenya Grace","Strangers"
22,"Switch Disco & Ella Henderson","REACT"
23,"Yamê","Bécane - A Colors Show"
24,"Sophie Ellis-Bextor","Murder On The Dancefloor"
25,"ADAM","Zhurek"
26,"Bazsi","HENN (SANDELA)"
27,"Alan Walker & Sasha Alex Sloan","Hero"
28,"Roof Rats & Giusepperino","Dale Pa Tra"
29,"Edward Maya & Vika Jigulina","Stereo Love"
30,"Tiësto","Lay Low"
31,"The Weeknd & Madonna","Popular (feat. Playboi Carti) [Music from the HBO Original Series The Idol]"
32,"Chrstphr & chriss jay","Rabbit Hole"
33,"Sherine","Sabry 'Aalil"
34,"The Wellermen, Ebucs, Eric Hollaway & Daniel Brevik","Hoist the Colours"
35,"Miyagi & Эндшпиль","I Got Love (feat. Рем Дигга)"
36,"R3HAB, Inna & Sash!","Rock My Body"
37,"DJ Tons","Always Remember Us This Way"
38,"Paul Kalkbrenner","No Goodbye"
39,"bbno$","edamame (feat. Rich Brian)"
40,"Sophie and the Giants & Purple Disco Machine","Paradise"
41,"C-Block & Charming Horses","Summertime (VIP Mix)"
42,"ZAYN","Dusk Till Dawn (feat. Sia)"
43,"Gypo Circus","Gyere kicsi (feat. Szirota Jennifer)"
44,"Gym Class Heroes","Cupid's Chokehold / Breakfast In America"
45,"Jack Harlow","Lovin On Me"
46,"Latto","Lottery (feat. LU KALA)"
47,"David Guetta & Kim Petras","When We Were Young (The Logical Song)"
48,"Jagwar Twin","Bad Feeling (Oompa Loompa)"
49,"Ace of Base","Happy Nation"
50,"Willy William","Ego (Radio Edit)"
51,"ZERB & Sofiya Nzau","Mwaki"
52,"Peggy Gou","(It Goes Like) Nanana (Edit)"
53,"Regan Lili","Dreamin' (feat. Sara)"
54,"Zaporozsec","L'amour Toujours"
55,"Nuz Queen","Laze Lavuka Idimoni Lami"
56,"Dua Lipa","Houdini"
57,"Chris Avantgarde & Red Rosamond","Inside"
58,"cassö, RAYE & D-Block Europe","Prada"
59,"JID","Surround Sound (feat. 21 Savage & Baby Tate)"
60,"The Kolors","ITALODISCO"
61,"Katya Lel","Мой мармеладный (Я не права)"
62,"Cigarettes After Sex","Apocalypse"
63,"L.L. Junior, KKevin & Rytmus","Cigány-ügy (feat. Érdi Baba)"
64,"Rúzsa Magdolna & Lotfi Begi","Rosszlány (remix)"
65,"LXNGVX","Montagem Mysterious Game"
66,"Kendrick Lamar","Swimming Pools (Drank)"
67,"Flume","Never Be Like You (feat. KAI)"
68,"cassö & RAYE","Prada (feat. D-Block Europe) [David Guetta & Hypaton Remix]"
69,"Paulina","Odaadom"
70,"Jim James","State Of The Art (A.E.I.O.U.)"
