Shazam Top 50 Delhi
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"Savi Kahlon","Apa Fer Milaange (LIVE)"
2,"Karan Aujla & Ikky","Softly"
3,"Karan Kanchan, Rashmeet Kaur & Yashraj","Ishq Nachaawe"
4,"Afsana Khan","Koi Si"
5,"Anuv Jain","Husn"
6,"Shubh","King Shit"
7,"Sukha, Chani Nattan & prodGK","8 ASLE (feat. Gurlej Akhtar)"
8,"Pritam, Arijit Singh, Antara Mitra & Varun Grover","Raat Akeli Thi (From "Merry Christmas")"
9,"Diljit Dosanjh","Love Ya"
10,"AUR","Tu hai kahan"
11,"Vishal Mishra","Pehle Bhi Main (From "Animal")"
12,"Roach Killa, Arif Lohar & Deep Jandu","Aa"
13,"Ahmed Spins","Anchor Point (feat. Stevo Atambire)"
14,"Diljit Dosanjh","Lalkara (feat. Sultaan)"
15,"Nina Simone","Sinnerman"
16,"Pritam, Arijit Singh & Irshad Kamil","O Maahi (From "Dunki")"
17,"bbno$","edamame (feat. Rich Brian)"
18,"Karun & Lambo Drive","Maharani (feat. Arpit Bala & ReVo LEKHAK)"
19,"Hasan Raheem, Umair & Talwiinder","Wishes"
20,"King","Tu Jaana Na Piya"
21,"Nirvana","Something In the Way"
22,"MONU KUSHWAH","Bhole Charniy Aaradhana (feat. Muktidan Gadhvi)"
23,"Diljit Dosanjh, Sia & Greg Kurstin","Hass Hass"
24,"M.I.A.","Time Traveller"
25,"Shubh","One Love"
26,"Pritam, Papon & Varun Grover","Nazar Teri Toofan (From "Merry Christmas")"
27,"Sachin-Jigar, Saba Azad & Ankur Tewari","I Wanna See You Dance"
28,"Masaba & Akshay & IP","Raanjhan Aaya"
29,"Vishal Mishra","Ram Aayenge"
30,"PARVEJ MANCHI","Jale 2 Haryanvi song"
31,"Hassan & Roshaan & Amna Riaz","Duur Se"
32,"Raj Mawar & Manisha Sharma","Matak Chalungi (feat. Aman Jaji & Sapna Chaudhary)"
33,"Sunanda Sharma","Chandigarh Ka Chokra"
34,"Sachet Tandon & Parampara Tandon","Malang Sajna"
35,"Lady Gaga","Bloody Mary"
36,"Jubin Nautiyal","Mere Ghar Ram Aaye Hain"
37,"Yamê","Bécane - A Colors Show"
38,"Kushal Grumpy","Paisaa"
39,"Arijit Singh, Shreyas Puranik & Siddharth-Garima","Satranga (From "Animal")"
40,"Darko","21"
41,"Harshavardhan Rameshwar","Abrar’s Entry Jamal Kudu (From "Animal")"
42,"Diljit Dosanjh","Kinni Kinni"
43,"Badshah, Uchana Amit & Hiten","Koi Na"
44,"Shubh","You and Me"
45,"Eden Shalev","Papi (Bhabi)"
46,"Avvy Sra & Karan Aujla","White Brown Black"
47,"Saad Lamjarred & Shreya Ghoshal","Guli Mata (feat. Rajat Nagpal)"
48,"Swati Mishra","Ram Aayenge"
49,"Karan Aujla & Ikky","Admirin' You (feat. Preston Pablo)"
50,"Kenya Grace","Strangers"
